elapsed_s,mass,unit,stable
0.219,0.5897,g,True
0.422,0.5897,g,True
0.641,0.5897,g,True
0.844,0.5897,g,True
0.844,0.5897,g,True
1.062,0.5897,g,True
1.266,0.5897,g,True
1.469,0.5897,g,True
1.469,0.5897,g,True
1.687,0.5897,g,True
1.891,0.5897,g,True
2.109,0.5897,g,True
2.109,0.5897,g,True
2.328,0.5897,g,True
2.531,0.5897,g,True
2.734,0.5897,g,True
2.734,0.5897,g,True
2.937,0.5897,g,True
3.156,0.5897,g,True
3.359,0.5897,g,True
3.562,0.5897,g,True
3.562,0.5897,g,True
3.766,0.5897,g,True
3.969,0.5897,g,True
4.187,0.5897,g,True
4.187,0.5897,g,True
4.391,0.5897,g,True
4.594,0.5897,g,True
4.797,0.5897,g,True
5.016,0.5897,g,True
5.016,0.5897,g,True
5.219,0.5897,g,True
5.437,0.5897,g,True
5.641,0.5897,g,True
5.641,0.5897,g,True
5.828,0.5897,g,True
6.266,0.0,g,True
6.266,0.0,g,True
6.469,0.0,g,True
6.687,0.0,g,True
6.906,0.0,g,True
6.906,0.0,g,True
7.094,0.0,g,True
7.312,0.0,g,True
7.516,0.0,g,True
7.719,0.0,g,True
7.719,0.0,g,True
7.922,0.0,g,True
8.141,0.0,g,True
8.344,0.0,g,True
8.344,0.0,g,True
8.547,0.0,g,True
8.766,0.0,g,True
8.984,0.0,g,True
8.984,0.0,g,True
9.187,0.0,g,True
9.391,0.0,g,True
9.594,0.0001,g,True
9.797,0.0001,g,True
9.797,0.0001,g,True
10.016,0.0001,g,True
10.234,0.0001,g,True
10.437,0.0001,g,True
10.437,0.0001,g,True
10.641,0.0001,g,True
10.844,0.0001,g,True
11.062,0.0001,g,True
11.266,0.0001,g,True
11.469,0.0001,g,True
11.469,0.0001,g,True
11.672,0.0001,g,True
11.875,0.0001,g,True
12.094,0.0001,g,True
12.094,0.0001,g,True
12.297,0.0001,g,True
12.516,0.0001,g,True
12.719,0.0001,g,True
12.922,0.0001,g,True
13.125,0.0001,g,True
13.125,0.0001,g,True
13.344,0.0001,g,True
13.547,0.0001,g,True
13.75,0.0001,g,True
13.953,0.0001,g,True
13.953,0.0001,g,True
14.156,0.0001,g,True
14.375,0.0001,g,True
14.594,0.0001,g,True
14.812,0.0001,g,True
14.812,0.0001,g,True
15.016,0.0001,g,True
15.219,0.0001,g,True
15.422,0.0001,g,True
15.641,0.0001,g,True
15.859,0.0001,g,True
15.859,0.0001,g,True
16.062,0.0001,g,True
16.266,0.0001,g,True
16.469,0.0001,g,True
16.672,0.0001,g,True
16.672,0.0001,g,True
16.891,0.0001,g,True
17.109,0.0001,g,True
17.312,0.0001,g,True
17.531,0.0001,g,True
17.531,0.0001,g,True
17.719,0.0001,g,True
17.937,0.0001,g,True
18.156,0.0001,g,True
18.359,0.0001,g,True
18.359,0.0001,g,True
18.578,0.0001,g,True
18.781,0.0001,g,True
18.984,0.0001,g,True
19.203,0.0001,g,True
19.203,0.0001,g,True
19.406,0.0001,g,True
19.625,0.0001,g,True
19.828,0.0001,g,True
20.031,0.0001,g,True
20.031,0.0001,g,True
20.234,0.0001,g,True
20.453,0.0001,g,True
20.656,0.0001,g,True
20.875,0.0001,g,True
21.078,0.0001,g,True
21.078,0.0001,g,True
21.281,0.0001,g,True
21.484,0.0001,g,True
21.687,0.0001,g,True
21.687,0.0001,g,True
21.906,0.0001,g,True
22.109,0.0001,g,True
22.312,0.0001,g,True
22.516,0.0001,g,True
22.734,0.0001,g,True
22.734,0.0001,g,True
22.937,0.0001,g,True
23.156,0.0002,g,True
23.359,0.0002,g,True
23.562,0.0002,g,True
23.562,0.0002,g,True
23.766,0.0002,g,True
23.984,0.0002,g,True
24.187,0.0002,g,True
24.187,0.0002,g,True
24.391,0.0002,g,True
24.594,0.0002,g,True
24.812,0.0002,g,True
25.016,0.0002,g,True
25.016,0.0002,g,True
25.219,0.0002,g,True
25.422,0.0002,g,True
25.641,0.0002,g,True
25.641,0.0002,g,True
25.844,0.0002,g,True
26.047,0.0002,g,True
26.266,0.0002,g,True
26.469,0.0002,g,True
26.469,0.0002,g,True
26.672,0.0002,g,True
26.875,0.0002,g,True
27.094,0.0002,g,True
27.094,0.0002,g,True
27.297,0.0002,g,True
27.5,0.0002,g,True
27.719,0.0002,g,True
27.719,0.0002,g,True
27.922,0.0002,g,True
28.141,0.0002,g,True
28.359,0.0002,g,True
28.359,0.0002,g,True
28.562,0.0002,g,True
28.781,0.0002,g,True
28.984,0.0002,g,True
28.984,0.0002,g,True
29.203,0.0002,g,True
29.406,0.0002,g,True
29.609,0.0002,g,True
29.812,0.0002,g,True
29.812,0.0002,g,True
30.031,0.0002,g,True
30.234,0.0002,g,True
30.437,0.0002,g,True
30.437,0.0002,g,True
30.656,0.0002,g,True
30.859,0.0002,g,True
31.062,0.0002,g,True
31.062,0.0002,g,True
31.281,0.0002,g,True
31.484,0.0002,g,True
31.687,0.0002,g,True
31.891,0.0002,g,True
31.891,0.0002,g,True
32.109,0.0002,g,True
32.312,0.0002,g,True
32.516,0.0002,g,True
32.516,0.0002,g,True
32.734,0.0002,g,True
32.937,0.0002,g,True
33.141,0.0002,g,True
33.141,0.0002,g,True
33.344,0.0002,g,True
33.562,0.0002,g,True
33.766,0.0002,g,True
33.969,0.0002,g,True
33.969,0.0002,g,True
34.187,0.0002,g,True
34.391,0.0002,g,True
34.594,0.0002,g,True
34.594,0.0002,g,True
34.797,0.0002,g,True
35.016,0.0002,g,True
35.219,0.0002,g,True
35.422,0.0002,g,True
35.422,0.0002,g,True
35.641,0.0002,g,True
35.844,0.0002,g,True
36.047,0.0002,g,True
36.047,0.0002,g,True
36.25,0.0002,g,True
36.469,0.0002,g,True
36.672,0.0002,g,True
36.672,0.0002,g,True
36.875,0.0002,g,True
37.094,0.0002,g,True
37.297,0.0002,g,True
37.5,0.0002,g,True
37.5,0.0002,g,True
37.719,0.0002,g,True
37.922,0.0002,g,True
38.125,0.0002,g,True
38.125,0.0002,g,True
38.328,0.0002,g,True
38.547,0.0002,g,True
38.75,0.0002,g,True
38.953,0.0002,g,True
38.953,0.0002,g,True
39.172,0.0002,g,True
39.375,0.0002,g,True
39.578,0.0002,g,True
39.578,0.0003,g,True
39.781,0.0003,g,True
39.984,0.0003,g,True
40.203,0.0003,g,True
40.203,0.0003,g,True
40.406,0.0003,g,True
40.609,0.0003,g,True
40.828,0.0003,g,True
41.031,0.0003,g,True
41.031,0.0003,g,True
41.234,0.0003,g,True
41.453,0.0003,g,True
41.656,0.0003,g,True
41.656,0.0003,g,True
41.859,0.0003,g,True
42.062,0.0003,g,True
42.281,0.0003,g,True
42.281,0.0003,g,True
42.484,0.0003,g,True
42.687,0.0003,g,True
42.906,0.0003,g,True
43.109,0.0003,g,True
43.109,0.0003,g,True
43.312,0.0003,g,True
43.531,0.0003,g,True
43.734,0.0003,g,True
43.734,0.0003,g,True
43.937,0.0003,g,True
44.141,0.0003,g,True
44.375,0.0003,g,True
44.375,0.0003,g,True
44.578,0.0003,g,True
44.781,0.0003,g,True
44.984,0.0003,g,True
44.984,0.0003,g,True
45.203,0.0004,g,True
45.406,0.0004,g,True
45.609,0.0004,g,True
45.812,0.0004,g,True
45.812,0.0004,g,True
46.031,0.0004,g,True
46.234,0.0004,g,True
46.437,0.0004,g,True
46.437,0.0004,g,True
46.656,0.0004,g,True
46.859,0.0004,g,True
47.062,0.0004,g,True
47.281,0.0004,g,True
47.281,0.0004,g,True
47.484,0.0004,g,True
47.687,0.0004,g,True
47.891,0.0004,g,True
47.891,0.0004,g,True
48.109,0.0004,g,True
48.312,0.0004,g,True
48.516,0.0004,g,True
48.516,0.0004,g,True
48.734,0.0004,g,True
48.937,0.0004,g,True
49.141,0.0004,g,True
49.359,0.0004,g,True
49.359,0.0004,g,True
49.562,0.0004,g,True
49.766,0.0004,g,True
49.969,0.0004,g,True
49.969,0.0004,g,True
50.187,0.0004,g,True
50.391,0.0004,g,True
50.594,0.0004,g,True
50.594,0.0004,g,True
50.797,0.0004,g,True
51.016,0.0004,g,True
51.219,0.0004,g,True
51.422,0.0004,g,True
51.422,0.0005,g,True
51.641,0.0005,g,True
51.844,0.0005,g,True
52.047,0.0005,g,True
52.047,0.0005,g,True
52.266,0.0005,g,True
52.469,0.0005,g,True
52.672,0.0005,g,True
52.672,0.0005,g,True
52.891,0.0005,g,True
53.094,0.0005,g,True
53.297,0.0005,g,True
53.5,0.0005,g,True
53.5,0.0005,g,True
53.719,0.0005,g,True
53.922,0.0005,g,True
54.125,0.0005,g,True
54.125,0.0005,g,True
54.344,0.0005,g,True
54.547,0.0005,g,True
54.75,0.0005,g,True
54.75,0.0005,g,True
54.953,0.0005,g,True
55.172,0.0005,g,True
55.375,0.0005,g,True
55.578,0.0005,g,True
55.578,0.0005,g,True
55.781,0.0005,g,True
56.0,0.0005,g,True
56.203,0.0005,g,True
56.203,0.0005,g,True
56.406,0.0005,g,True
56.625,0.0005,g,True
56.828,0.0005,g,True
56.828,0.0005,g,True
57.031,0.0005,g,True
57.234,0.0005,g,True
57.453,0.0005,g,True
57.656,0.0005,g,True
57.656,0.0005,g,True
57.859,0.0005,g,True
58.078,0.0005,g,True
58.281,0.0005,g,True
58.281,0.0005,g,True
58.484,0.0005,g,True
58.687,0.0005,g,True
58.906,0.0005,g,True
59.109,0.0005,g,True
59.109,0.0005,g,True
59.312,0.0005,g,True
59.516,0.0005,g,True
59.734,0.0005,g,True
59.734,0.0005,g,True
59.937,0.0005,g,True
60.141,0.0005,g,True
60.359,0.0005,g,True
60.359,0.0005,g,True
60.562,0.0005,g,True
60.766,0.0005,g,True
60.969,0.0005,g,True
61.187,0.0005,g,True
61.187,0.0005,g,True
61.391,0.0005,g,True
61.594,0.0005,g,True
61.812,0.0005,g,True
61.812,0.0005,g,True
62.016,0.0005,g,True
62.219,0.0005,g,True
62.437,0.0005,g,True
62.437,0.0005,g,True
62.641,0.0005,g,True
62.844,0.0005,g,True
63.062,0.0005,g,True
63.266,0.0005,g,True
63.266,0.0005,g,True
63.469,0.0005,g,True
63.672,0.0005,g,True
63.891,0.0005,g,True
63.891,0.0005,g,True
64.094,0.0005,g,True
64.297,0.0005,g,True
64.516,0.0005,g,True
64.516,0.0005,g,True
64.719,0.0005,g,True
64.922,0.0005,g,True
65.125,0.0005,g,True
65.344,0.0005,g,True
65.344,0.0005,g,True
65.547,0.0005,g,True
65.75,0.0005,g,True
65.953,0.0005,g,True
65.953,0.0005,g,True
66.172,0.0005,g,True
66.375,0.0005,g,True
66.578,0.0005,g,True
66.578,0.0005,g,True
66.797,0.0005,g,True
67.0,0.0005,g,True
67.203,0.0005,g,True
67.406,0.0005,g,True
67.406,0.0005,g,True
67.625,0.0005,g,True
67.828,0.0005,g,True
68.031,0.0005,g,True
68.031,0.0005,g,True
68.266,0.0005,g,True
68.469,0.0005,g,True
68.672,0.0005,g,True
68.672,0.0005,g,True
68.875,0.0005,g,True
69.094,0.0005,g,True
69.297,0.0005,g,True
69.5,0.0005,g,True
69.5,0.0005,g,True
69.703,0.0005,g,True
69.922,0.0005,g,True
70.125,0.0005,g,True
70.125,0.0005,g,True
70.328,0.0005,g,True
70.547,0.0005,g,True
70.75,0.0005,g,True
70.75,0.0005,g,True
70.953,0.0005,g,True
71.156,0.0005,g,True
71.375,0.0005,g,True
71.578,0.0005,g,True
71.578,0.0005,g,True
71.781,0.0005,g,True
71.984,0.0005,g,True
72.219,0.0005,g,True
72.219,0.0005,g,True
72.422,0.0005,g,True
72.625,0.0005,g,True
72.844,0.0005,g,True
72.844,0.0005,g,True
73.047,0.0005,g,True
73.25,0.0005,g,True
73.453,0.0005,g,True
73.453,0.0005,g,True
73.672,0.0005,g,True
73.875,0.0005,g,True
74.078,0.0005,g,True
74.297,0.0005,g,True
74.297,0.0005,g,True
74.5,0.0005,g,True
74.703,0.0005,g,True
74.906,0.0005,g,True
74.906,0.0005,g,True
75.125,0.0005,g,True
75.328,0.0005,g,True
75.531,0.0005,g,True
75.75,0.0005,g,True
75.75,0.0005,g,True
75.953,0.0005,g,True
76.156,0.0005,g,True
76.359,0.0005,g,True
76.359,0.0005,g,True
76.562,0.0005,g,True
76.781,0.0005,g,True
76.984,0.0005,g,True
76.984,0.0005,g,True
77.187,0.0006,g,True
77.391,0.0006,g,True
77.609,0.0006,g,True
77.812,0.0006,g,True
77.812,0.0006,g,True
78.016,0.0006,g,True
78.234,0.0006,g,True
78.437,0.0006,g,True
78.437,0.0006,g,True
78.641,0.0006,g,True
78.844,0.0006,g,True
79.062,0.0006,g,True
79.062,0.0006,g,True
79.266,0.0006,g,True
79.469,0.0006,g,True
79.687,0.0006,g,True
79.891,0.0006,g,True
79.891,0.0006,g,True
80.094,0.0006,g,True
80.297,0.0006,g,True
80.516,0.0006,g,True
80.516,0.0006,g,True
80.719,0.0006,g,True
80.922,0.0006,g,True
81.125,0.0006,g,True
81.344,0.0006,g,True
81.344,0.0006,g,True
81.547,0.0006,g,True
81.75,0.0006,g,True
81.969,0.0006,g,True
81.969,0.0006,g,True
82.172,0.0006,g,True
82.375,0.0006,g,True
82.578,0.0006,g,True
82.578,0.0006,g,True
82.797,0.0006,g,True
83.0,0.0007,g,True
83.203,0.0007,g,True
83.422,0.0007,g,True
83.422,0.0007,g,True
83.625,0.0007,g,True
83.828,0.0007,g,True
84.047,0.0007,g,True
84.047,0.0007,g,True
84.25,0.0008,g,True
