elapsed_s,mass,unit,stable
0.188,0.4203,g,True
0.407,0.4203,g,True
0.61,0.4203,g,True
0.61,0.4203,g,True
0.813,0.4203,g,True
1.032,0.4203,g,True
1.235,0.4203,g,True
1.438,0.4203,g,True
1.438,0.4203,g,True
1.657,0.4203,g,True
1.86,0.4203,g,True
2.079,0.4203,g,True
2.079,0.4203,g,True
2.297,0.4203,g,True
2.516,0.4203,g,True
2.719,0.4203,g,True
2.719,0.4203,g,True
2.922,0.4203,g,True
3.141,0.4203,g,True
3.344,0.4203,g,True
3.344,0.4203,g,True
3.563,0.4203,g,True
3.766,0.4203,g,True
3.969,0.4203,g,True
3.969,0.4203,g,True
4.172,0.4203,g,True
4.391,0.4203,g,True
4.61,0.4203,g,True
4.813,0.0,g,True
5.016,0.0,g,True
5.032,0.0,g,True
5.219,0.0,g,True
5.422,0.0,g,True
5.641,0.0,g,True
5.844,0.0,g,True
5.844,0.0,g,True
6.063,0.0,g,True
6.266,0.0,g,True
6.469,0.0,g,True
6.469,0.0,g,True
6.688,0.0,g,True
6.891,0.0,g,True
7.11,0.0,g,True
7.11,0.0,g,True
7.297,0.0,g,True
7.516,0.0001,g,True
7.719,0.0001,g,True
7.938,0.0001,g,True
7.938,0.0001,g,True
8.157,0.0001,g,True
8.36,0.0001,g,True
8.563,0.0001,g,True
8.766,0.0001,g,True
8.985,0.0001,g,True
8.985,0.0001,g,True
9.188,0.0001,g,True
9.407,0.0001,g,True
9.61,0.0001,g,True
9.813,0.0001,g,True
9.813,0.0001,g,True
10.032,0.0001,g,True
10.235,0.0001,g,True
10.454,0.0001,g,True
10.657,0.0001,g,True
10.657,0.0001,g,True
10.86,0.0001,g,True
11.063,0.0001,g,True
11.266,0.0001,g,True
11.469,0.0001,g,True
11.688,0.0001,g,True
11.688,0.0001,g,True
11.891,0.0001,g,True
12.11,0.0002,g,True
12.313,0.0002,g,True
12.313,0.0002,g,True
12.516,0.0002,g,True
12.719,0.0003,g,True
12.938,0.0004,g,True
12.938,0.0025,g,True
13.141,0.0034,g,True
13.344,0.0045,g,True
13.547,0.0057,g,True
13.75,0.007,g,True
13.75,0.0083,g,True
13.969,0.0097,g,True
14.188,0.011,g,True
14.407,0.0122,g,True
14.407,0.0133,g,True
14.61,0.0142,g,True
14.813,0.015,g,True
15.032,0.0156,g,True
15.032,0.0162,g,True
15.25,0.0166,g,True
15.454,0.0169,g,True
15.657,0.0171,g,True
15.657,0.0173,g,True
15.86,0.0175,g,True
16.063,0.0176,g,True
16.282,0.0177,g,True
16.282,0.0177,g,True
16.485,0.0177,g,True
16.704,0.0178,g,True
16.891,0.0178,g,True
17.11,0.0178,g,True
17.11,0.0178,g,True
17.313,0.0178,g,True
17.532,0.0178,g,True
17.75,0.0178,g,True
17.75,0.0178,g,True
17.985,0.0178,g,True
18.188,0.0178,g,True
18.391,0.0179,g,True
18.391,0.0179,g,True
18.594,0.0179,g,True
18.813,0.0179,g,True
19.032,0.0179,g,True
19.032,0.0179,g,True
19.235,0.018,g,True
19.438,0.018,g,True
19.641,0.018,g,True
19.844,0.018,g,True
19.844,0.018,g,True
20.047,0.018,g,True
20.25,0.018,g,True
20.469,0.018,g,True
20.469,0.0181,g,True
20.672,0.0181,g,True
20.891,0.0181,g,True
21.094,0.0181,g,True
21.297,0.0181,g,True
21.297,0.0181,g,True
21.516,0.0181,g,True
21.719,0.0181,g,True
21.922,0.0181,g,True
21.922,0.0181,g,True
22.125,0.0181,g,True
22.329,0.0181,g,True
22.547,0.0181,g,True
22.547,0.0181,g,True
22.75,0.0181,g,True
22.969,0.0181,g,True
23.172,0.0181,g,True
23.375,0.0181,g,True
23.375,0.0181,g,True
23.594,0.0181,g,True
23.797,0.0181,g,True
24.0,0.0181,g,True
24.0,0.0181,g,True
24.204,0.0181,g,True
24.422,0.0181,g,True
24.625,0.0181,g,True
24.625,0.0181,g,True
24.829,0.0181,g,True
25.032,0.0181,g,True
25.25,0.0182,g,True
25.469,0.0182,g,True
25.469,0.0182,g,True
25.672,0.0182,g,True
25.875,0.0182,g,True
26.094,0.0182,g,True
26.094,0.0182,g,True
26.297,0.0182,g,True
26.5,0.0182,g,True
26.719,0.0182,g,True
26.719,0.0182,g,True
26.922,0.0182,g,True
27.125,0.0182,g,True
27.329,0.0182,g,True
27.329,0.0182,g,True
27.547,0.0182,g,True
27.75,0.0182,g,True
27.954,0.0182,g,True
28.157,0.0182,g,True
28.157,0.0182,g,True
28.375,0.0182,g,True
28.579,0.0182,g,True
28.782,0.0182,g,True
28.782,0.0183,g,True
28.985,0.0183,g,True
29.204,0.0183,g,True
29.407,0.0183,g,True
29.61,0.0183,g,True
29.61,0.0183,g,True
29.829,0.0183,g,True
30.032,0.0183,g,True
30.25,0.0183,g,True
30.25,0.0183,g,True
30.454,0.0183,g,True
30.657,0.0183,g,True
30.86,0.0183,g,True
30.86,0.0183,g,True
31.094,0.0183,g,True
31.297,0.0183,g,True
31.5,0.0183,g,True
31.5,0.0183,g,True
31.719,0.0183,g,True
31.922,0.0183,g,True
32.125,0.0183,g,True
32.329,0.0183,g,True
32.329,0.0183,g,True
32.547,0.0183,g,True
32.75,0.0183,g,True
32.954,0.0183,g,True
32.954,0.0183,g,True
33.172,0.0183,g,True
33.375,0.0183,g,True
33.579,0.0183,g,True
33.579,0.0184,g,True
33.782,0.0184,g,True
34.0,0.0184,g,True
34.204,0.0184,g,True
34.407,0.0184,g,True
34.407,0.0184,g,True
34.61,0.0184,g,True
34.829,0.0184,g,True
35.047,0.0184,g,True
35.047,0.0184,g,True
35.25,0.0184,g,True
35.469,0.0184,g,True
35.672,0.0184,g,True
35.672,0.0184,g,True
35.875,0.0184,g,True
36.094,0.0184,g,True
36.297,0.0184,g,True
36.297,0.0184,g,True
36.5,0.0184,g,True
36.719,0.0184,g,True
36.922,0.0184,g,True
37.125,0.0184,g,True
37.125,0.0184,g,True
37.329,0.0184,g,True
37.547,0.0184,g,True
37.75,0.0184,g,True
37.75,0.0184,g,True
37.954,0.0184,g,True
38.172,0.0184,g,True
38.375,0.0184,g,True
38.375,0.0184,g,True
38.579,0.0184,g,True
38.782,0.0184,g,True
39.0,0.0184,g,True
39.204,0.0184,g,True
39.204,0.0184,g,True
39.407,0.0184,g,True
39.625,0.0184,g,True
39.829,0.0184,g,True
39.829,0.0184,g,True
40.032,0.0184,g,True
40.235,0.0184,g,True
40.454,0.0184,g,True
40.657,0.0184,g,True
40.657,0.0184,g,True
40.86,0.0184,g,True
41.063,0.0184,g,True
41.282,0.0184,g,True
41.282,0.0184,g,True
41.485,0.0184,g,True
41.688,0.0184,g,True
41.907,0.0184,g,True
41.907,0.0184,g,True
42.11,0.0184,g,True
42.313,0.0184,g,True
42.516,0.0184,g,True
42.735,0.0184,g,True
42.735,0.0184,g,True
42.938,0.0185,g,True
43.141,0.0185,g,True
43.344,0.0185,g,True
43.344,0.0185,g,True
43.563,0.0185,g,True
43.766,0.0185,g,True
43.969,0.0185,g,True
43.969,0.0185,g,True
44.188,0.0185,g,True
44.391,0.0185,g,True
44.594,0.0185,g,True
44.797,0.0185,g,True
44.797,0.0185,g,True
45.016,0.0185,g,True
45.219,0.0185,g,True
45.422,0.0185,g,True
45.422,0.0185,g,True
45.657,0.0186,g,True
45.86,0.0186,g,True
46.063,0.0186,g,True
46.063,0.0186,g,True
46.282,0.0186,g,True
46.5,0.0186,g,True
46.704,0.0186,g,True
46.704,0.0186,g,True
46.907,0.0186,g,True
47.11,0.0186,g,True
47.329,0.0186,g,True
47.532,0.0186,g,True
47.532,0.0186,g,True
47.735,0.0186,g,True
47.954,0.0186,g,True
48.157,0.0186,g,True
48.157,0.0186,g,True
48.36,0.0186,g,True
48.579,0.0186,g,True
48.782,0.0186,g,True
48.782,0.0186,g,True
48.985,0.0186,g,True
49.188,0.0186,g,True
49.391,0.0186,g,True
49.61,0.0186,g,True
49.61,0.0186,g,True
49.813,0.0186,g,True
50.016,0.0186,g,True
50.235,0.0186,g,True
50.235,0.0186,g,True
50.438,0.0186,g,True
50.641,0.0186,g,True
50.86,0.0186,g,True
50.86,0.0186,g,True
51.063,0.0186,g,True
51.266,0.0186,g,True
51.469,0.0186,g,True
51.688,0.0186,g,True
51.688,0.0186,g,True
51.891,0.0186,g,True
52.094,0.0186,g,True
52.297,0.0186,g,True
52.297,0.0186,g,True
52.516,0.0186,g,True
52.719,0.0186,g,True
52.922,0.0186,g,True
53.125,0.0186,g,True
53.125,0.0186,g,True
53.344,0.0186,g,True
53.547,0.0186,g,True
53.75,0.0186,g,True
53.75,0.0186,g,True
53.969,0.0186,g,True
54.172,0.0186,g,True
54.375,0.0186,g,True
54.375,0.0186,g,True
54.594,0.0186,g,True
