elapsed_s,mass,unit,stable
0.281,0.0031,g,True
0.5,0.0032,g,True
0.703,0.0032,g,True
0.718,0.0033,g,True
0.937,0.0033,g,True
1.14,0.0034,g,True
1.359,0.0034,g,True
1.359,0.0034,g,True
1.562,0.0034,g,True
1.781,0.0035,g,True
1.984,0.0035,g,True
1.984,0.0036,g,True
2.187,0.0036,g,True
2.39,0.0037,g,True
2.609,0.0037,g,True
2.609,0.0038,g,True
2.812,0.0038,g,True
3.015,0.0039,g,True
3.234,0.0039,g,True
3.422,0.004,g,True
3.625,0.004,g,True
3.625,0.0041,g,True
3.843,0.0041,g,True
4.062,0.0042,g,True
4.265,0.0042,g,True
4.468,0.0043,g,True
4.468,0.0043,g,True
4.672,0.0044,g,True
4.89,0.0044,g,True
5.109,0.0045,g,True
5.109,0.0046,g,True
5.328,0.0046,g,True
5.531,0.0047,g,True
5.75,0.0047,g,True
5.75,0.0048,g,True
5.968,0.0048,g,True
6.172,0.0049,g,True
6.375,0.0049,g,True
6.593,0.005,g,True
6.593,0.005,g,True
6.797,0.0051,g,True
7.0,0.0051,g,True
7.218,0.0051,g,True
7.437,0.0051,g,True
7.437,0.0052,g,True
7.64,0.0052,g,True
7.843,0.0053,g,True
8.047,0.0053,g,True
8.047,0.0054,g,True
8.25,0.0054,g,True
8.468,0.0055,g,True
8.687,0.0055,g,True
8.687,0.0056,g,True
8.89,0.0056,g,True
9.093,0.0057,g,True
9.297,0.0057,g,True
9.515,0.0058,g,True
9.515,0.0058,g,True
9.718,0.0059,g,True
9.922,0.0059,g,True
10.109,0.006,g,True
10.109,0.006,g,True
10.328,0.0061,g,True
10.531,0.0061,g,True
10.734,0.0062,g,True
10.937,0.0062,g,True
11.14,0.0063,g,True
11.14,0.0063,g,True
11.343,0.0063,g,True
11.547,0.0063,g,True
11.75,0.0064,g,True
11.75,0.0064,g,True
11.968,0.0065,g,True
12.187,0.0065,g,True
12.375,0.0066,g,True
12.593,0.0066,g,True
12.593,0.0067,g,True
12.812,0.0067,g,True
13.015,0.0068,g,True
13.234,0.0068,g,True
13.234,0.0069,g,True
13.437,0.0069,g,True
13.64,0.007,g,True
13.859,0.007,g,True
14.062,0.0071,g,True
14.062,0.0071,g,True
14.265,0.0072,g,True
14.484,0.0072,g,True
14.672,0.0073,g,True
14.875,0.0073,g,True
14.875,0.0073,g,True
15.093,0.0073,g,True
15.297,0.0074,g,True
15.515,0.0074,g,True
15.515,0.0075,g,True
15.718,0.0075,g,True
15.922,0.0076,g,True
16.125,0.0076,g,True
16.328,0.0077,g,True
16.547,0.0077,g,True
16.547,0.0078,g,True
16.765,0.0078,g,True
16.968,0.0079,g,True
17.172,0.0079,g,True
