elapsed_s,mass,unit,stable
0.219,0.3304,g,True
0.422,0.3305,g,True
0.609,0.3305,g,True
0.828,0.3305,g,True
1.031,0.3305,g,True
1.031,0.3305,g,True
1.25,0.3305,g,True
1.469,0.3305,g,True
1.672,0.3305,g,True
1.672,0.3305,g,True
1.875,0.3305,g,True
2.078,0.3305,g,True
2.281,0.3305,g,True
2.484,0.3305,g,True
2.484,0.3305,g,True
2.687,0.3305,g,True
2.89,0.3305,g,True
3.094,0.3305,g,True
3.094,0.3305,g,True
3.312,0.3305,g,True
3.515,0.3305,g,True
3.734,0.3305,g,True
3.734,0.3305,g,True
3.922,0.3305,g,True
4.125,0.3305,g,True
4.344,0.3305,g,True
4.547,0.3305,g,True
4.547,0.3305,g,True
4.765,0.3305,g,True
4.969,0.3305,g,True
5.172,0.3305,g,True
5.172,0.3305,g,True
5.375,0.3305,g,True
5.578,0.3305,g,True
5.797,0.3305,g,True
6.0,0.3305,g,True
6.0,0.3305,g,True
6.203,0.3306,g,True
6.406,0.3306,g,True
6.609,0.3306,g,True
6.609,0.3306,g,True
6.828,0.3306,g,True
7.031,0.3306,g,True
7.25,0.3306,g,True
7.453,0.3306,g,True
7.453,0.3306,g,True
7.656,0.3306,g,True
7.859,0.3306,g,True
8.062,0.3306,g,True
8.062,0.3306,g,True
8.265,0.3306,g,True
8.469,0.3306,g,True
8.672,0.3306,g,True
8.89,0.3306,g,True
8.89,0.3306,g,True
9.109,0.3306,g,True
9.312,0.3306,g,True
9.531,0.3306,g,True
9.531,0.3306,g,True
9.719,0.3306,g,True
9.937,0.3306,g,True
10.156,0.3306,g,True
10.156,0.3306,g,True
10.359,0.3306,g,True
10.578,0.3306,g,True
10.781,0.3306,g,True
10.781,0.3306,g,True
10.984,0.3306,g,True
11.203,0.3306,g,True
11.422,0.3306,g,True
11.422,0.3306,g,True
11.625,0.3306,g,True
11.828,0.3306,g,True
12.031,0.3306,g,True
12.25,0.3306,g,True
12.25,0.3306,g,True
12.453,0.3306,g,True
12.656,0.3306,g,True
12.875,0.3306,g,True
12.875,0.3306,g,True
13.078,0.3306,g,True
13.281,0.3306,g,True
13.5,0.3306,g,True
13.5,0.3306,g,True
13.719,0.3306,g,True
13.937,0.3306,g,True
14.14,0.3306,g,True
14.14,0.3306,g,True
14.344,0.3306,g,True
14.547,0.3306,g,True
14.765,0.3306,g,True
14.969,0.3306,g,True
14.969,0.3306,g,True
15.172,0.3306,g,True
15.375,0.3306,g,True
15.578,0.3306,g,True
15.578,0.3306,g,True
15.797,0.3306,g,True
16.0,0.3306,g,True
16.203,0.3306,g,True
16.203,0.3306,g,True
16.422,0.3306,g,True
16.625,0.3306,g,True
16.828,0.3306,g,True
17.047,0.3306,g,True
17.047,0.3306,g,True
17.25,0.3306,g,True
17.437,0.3306,g,True
17.656,0.3306,g,True
17.656,0.3306,g,True
17.859,0.3306,g,True
18.078,0.3306,g,True
18.281,0.3306,g,True
18.281,0.3306,g,True
18.484,0.3306,g,True
18.703,0.3306,g,True
18.906,0.3306,g,True
19.109,0.3306,g,True
19.109,0.3306,g,True
19.312,0.3306,g,True
19.515,0.3306,g,True
19.734,0.3306,g,True
19.734,0.3307,g,True
19.937,0.3307,g,True
20.14,0.3307,g,True
20.359,0.3307,g,True
20.562,0.3307,g,True
20.562,0.3307,g,True
20.781,0.3307,g,True
20.984,0.3307,g,True
21.187,0.3307,g,True
21.187,0.3307,g,True
21.406,0.3307,g,True
21.625,0.3307,g,True
21.828,0.3307,g,True
21.828,0.3307,g,True
22.031,0.3307,g,True
22.219,0.3307,g,True
22.422,0.3307,g,True
22.64,0.3307,g,True
22.64,0.3307,g,True
22.859,0.3307,g,True
23.078,0.3308,g,True
23.297,0.3308,g,True
23.297,0.3308,g,True
23.5,0.3308,g,True
23.719,0.3308,g,True
23.922,0.3308,g,True
23.922,0.3308,g,True
24.125,0.3308,g,True
24.328,0.3309,g,True
24.547,0.333,g,True
24.547,0.3343,g,True
24.734,0.3358,g,True
24.953,0.3374,g,True
25.156,0.3389,g,True
25.359,0.3403,g,True
25.359,0.3415,g,True
25.562,0.3426,g,True
25.765,0.3434,g,True
25.984,0.3441,g,True
25.984,0.3447,g,True
26.203,0.3452,g,True
26.422,0.3455,g,True
26.625,0.3457,g,True
26.625,0.3459,g,True
26.828,0.3461,g,True
27.047,0.3462,g,True
27.25,0.3463,g,True
27.25,0.3463,g,True
27.453,0.3463,g,True
27.656,0.3463,g,True
27.859,0.3463,g,True
28.078,0.3463,g,True
28.078,0.3463,g,True
28.281,0.3463,g,True
28.484,0.3463,g,True
28.703,0.3463,g,True
28.703,0.3464,g,True
28.906,0.3464,g,True
29.109,0.3464,g,True
29.297,0.3464,g,True
29.5,0.3464,g,True
29.5,0.3464,g,True
29.719,0.3464,g,True
29.937,0.3464,g,True
30.14,0.3464,g,True
30.14,0.3464,g,True
30.344,0.3464,g,True
30.547,0.3465,g,True
30.765,0.3465,g,True
30.765,0.3465,g,True
30.984,0.3465,g,True
31.187,0.3465,g,True
31.39,0.3465,g,True
31.594,0.3465,g,True
31.594,0.3465,g,True
31.812,0.3465,g,True
32.015,0.3465,g,True
32.219,0.3465,g,True
32.219,0.3465,g,True
32.422,0.3465,g,True
32.625,0.3465,g,True
32.828,0.3465,g,True
33.031,0.3465,g,True
33.031,0.3465,g,True
33.25,0.3465,g,True
33.453,0.3465,g,True
33.656,0.3465,g,True
33.656,0.3465,g,True
33.859,0.3465,g,True
34.078,0.3465,g,True
34.281,0.3465,g,True
34.281,0.3465,g,True
34.484,0.3465,g,True
34.703,0.3465,g,True
34.906,0.3465,g,True
35.109,0.3465,g,True
35.109,0.3465,g,True
35.312,0.3465,g,True
35.531,0.3465,g,True
35.734,0.3465,g,True
35.734,0.3465,g,True
35.937,0.3465,g,True
36.156,0.3465,g,True
36.359,0.3465,g,True
36.359,0.3465,g,True
36.562,0.3465,g,True
36.781,0.3465,g,True
36.984,0.3465,g,True
37.187,0.3465,g,True
37.187,0.3465,g,True
37.39,0.3466,g,True
37.609,0.3466,g,True
37.812,0.3466,g,True
37.812,0.3466,g,True
38.015,0.3466,g,True
38.234,0.3466,g,True
38.437,0.3466,g,True
38.437,0.3466,g,True
38.64,0.3466,g,True
38.859,0.3466,g,True
39.062,0.3466,g,True
39.265,0.3466,g,True
39.265,0.3466,g,True
39.469,0.3466,g,True
39.687,0.3466,g,True
39.89,0.3466,g,True
39.89,0.3466,g,True
40.094,0.3466,g,True
40.312,0.3466,g,True
40.515,0.3466,g,True
40.719,0.3466,g,True
40.719,0.3466,g,True
40.922,0.3466,g,True
41.14,0.3466,g,True
41.344,0.3466,g,True
41.344,0.3466,g,True
41.547,0.3466,g,True
41.765,0.3466,g,True
41.969,0.3466,g,True
41.969,0.3466,g,True
42.172,0.3467,g,True
42.375,0.3467,g,True
42.594,0.3467,g,True
42.797,0.3467,g,True
42.797,0.3467,g,True
43.0,0.3467,g,True
43.219,0.3467,g,True
43.422,0.3467,g,True
43.422,0.3467,g,True
43.625,0.3467,g,True
43.828,0.3467,g,True
44.047,0.3467,g,True
44.047,0.3467,g,True
44.25,0.3467,g,True
44.453,0.3467,g,True
44.672,0.3467,g,True
44.875,0.3467,g,True
44.875,0.3467,g,True
45.078,0.3467,g,True
45.281,0.3467,g,True
45.5,0.3467,g,True
45.5,0.3467,g,True
45.703,0.3467,g,True
45.906,0.3467,g,True
46.125,0.3467,g,True
46.125,0.3467,g,True
46.328,0.3467,g,True
46.531,0.3467,g,True
46.75,0.3467,g,True
46.953,0.3467,g,True
46.953,0.3467,g,True
47.156,0.3467,g,True
47.359,0.3467,g,True
47.578,0.3467,g,True
47.578,0.3467,g,True
47.781,0.3467,g,True
47.984,0.3467,g,True
48.203,0.3467,g,True
48.203,0.3467,g,True
48.406,0.3467,g,True
48.609,0.3467,g,True
48.812,0.3467,g,True
49.031,0.3467,g,True
49.031,0.3467,g,True
49.234,0.3467,g,True
49.453,0.3467,g,True
49.656,0.3468,g,True
49.656,0.3468,g,True
49.859,0.3468,g,True
50.078,0.3468,g,True
50.281,0.3468,g,True
50.281,0.3468,g,True
50.484,0.3468,g,True
50.687,0.3468,g,True
50.906,0.3468,g,True
51.109,0.3468,g,True
51.109,0.3468,g,True
51.312,0.3468,g,True
51.531,0.3468,g,True
51.734,0.3468,g,True
51.734,0.3468,g,True
51.937,0.3468,g,True
52.156,0.3468,g,True
52.359,0.3468,g,True
52.359,0.3468,g,True
52.562,0.3468,g,True
52.765,0.3468,g,True
52.984,0.3468,g,True
53.187,0.3468,g,True
53.187,0.3468,g,True
53.39,0.3468,g,True
53.609,0.3468,g,True
53.812,0.3468,g,True
53.812,0.3468,g,True
54.015,0.3468,g,True
54.219,0.3468,g,True
54.437,0.3468,g,True
54.437,0.3468,g,True
54.64,0.3468,g,True
54.844,0.3468,g,True
55.062,0.3468,g,True
55.265,0.3468,g,True
55.265,0.3468,g,True
55.469,0.3468,g,True
55.687,0.3468,g,True
55.89,0.3468,g,True
55.89,0.3468,g,True
56.094,0.3468,g,True
56.297,0.3468,g,True
56.515,0.3468,g,True
56.719,0.3468,g,True
56.719,0.3468,g,True
56.922,0.3468,g,True
57.14,0.3468,g,True
57.344,0.3468,g,True
57.344,0.3468,g,True
57.547,0.3468,g,True
57.765,0.3468,g,True
57.969,0.3468,g,True
57.969,0.3468,g,True
58.172,0.3468,g,True
58.375,0.3468,g,True
58.594,0.3468,g,True
58.797,0.3468,g,True
58.797,0.3468,g,True
59.0,0.3468,g,True
59.219,0.3468,g,True
59.422,0.3468,g,True
59.422,0.3468,g,True
59.625,0.3468,g,True
59.828,0.3469,g,True
60.047,0.347,g,True
60.25,0.3491,g,True
60.25,0.3504,g,True
60.453,0.352,g,True
60.672,0.3538,g,True
60.875,0.3555,g,True
60.875,0.3572,g,True
61.078,0.3587,g,True
61.281,0.36,g,True
61.5,0.361,g,True
61.5,0.3619,g,True
61.703,0.3626,g,True
61.906,0.3631,g,True
62.125,0.3635,g,True
62.328,0.3639,g,True
62.328,0.3641,g,True
62.531,0.3643,g,True
62.734,0.3644,g,True
62.953,0.3645,g,True
62.953,0.3645,g,True
63.156,0.3646,g,True
63.359,0.3646,g,True
63.578,0.3646,g,True
63.578,0.3647,g,True
63.781,0.3647,g,True
63.984,0.3647,g,True
64.203,0.3647,g,True
64.406,0.3647,g,True
64.406,0.3648,g,True
64.609,0.3648,g,True
64.812,0.3648,g,True
65.031,0.3648,g,True
65.031,0.3648,g,True
65.234,0.3648,g,True
65.437,0.3648,g,True
65.64,0.3648,g,True
65.64,0.3648,g,True
65.844,0.3648,g,True
66.047,0.3648,g,True
66.265,0.3648,g,True
66.484,0.3648,g,True
66.484,0.3648,g,True
66.687,0.3648,g,True
66.89,0.3648,g,True
67.094,0.3648,g,True
67.094,0.3648,g,True
67.312,0.3648,g,True
67.515,0.3648,g,True
67.719,0.3648,g,True
67.719,0.3648,g,True
67.937,0.3648,g,True
68.14,0.3648,g,True
68.344,0.3649,g,True
68.547,0.3649,g,True
68.562,0.3649,g,True
68.765,0.3649,g,True
68.984,0.3649,g,True
69.187,0.3649,g,True
69.187,0.3649,g,True
69.39,0.3649,g,True
69.609,0.365,g,True
69.812,0.365,g,True
69.812,0.365,g,True
70.015,0.365,g,True
70.234,0.365,g,True
70.437,0.365,g,True
70.64,0.365,g,True
70.64,0.365,g,True
70.859,0.365,g,True
71.078,0.365,g,True
71.078,0.365,g,True
71.281,0.365,g,True
71.5,0.365,g,True
71.703,0.365,g,True
71.906,0.365,g,True
71.906,0.365,g,True
72.109,0.365,g,True
72.312,0.365,g,True
72.515,0.365,g,True
72.515,0.365,g,True
72.75,0.365,g,True
72.953,0.365,g,True
73.156,0.365,g,True
73.156,0.365,g,True
73.359,0.365,g,True
73.578,0.365,g,True
73.765,0.365,g,True
73.969,0.365,g,True
73.969,0.365,g,True
74.187,0.365,g,True
74.406,0.365,g,True
74.625,0.365,g,True
74.625,0.365,g,True
74.812,0.365,g,True
75.031,0.365,g,True
75.234,0.365,g,True
75.234,0.365,g,True
75.437,0.3651,g,True
75.64,0.3651,g,True
75.859,0.3651,g,True
76.062,0.3651,g,True
76.062,0.3651,g,True
76.281,0.3651,g,True
76.484,0.3651,g,True
76.687,0.3651,g,True
76.687,0.3651,g,True
76.906,0.3651,g,True
77.109,0.3651,g,True
77.328,0.3651,g,True
77.328,0.3651,g,True
77.531,0.3651,g,True
77.734,0.3651,g,True
77.937,0.3651,g,True
78.14,0.3651,g,True
78.14,0.3651,g,True
78.344,0.3651,g,True
78.547,0.3651,g,True
78.75,0.3651,g,True
78.75,0.3651,g,True
78.969,0.3651,g,True
79.187,0.3651,g,True
79.39,0.3651,g,True
79.609,0.3651,g,True
79.609,0.3651,g,True
79.797,0.3651,g,True
80.015,0.3651,g,True
80.219,0.3651,g,True
80.219,0.3651,g,True
80.437,0.3651,g,True
80.64,0.3651,g,True
80.859,0.3651,g,True
80.859,0.3651,g,True
81.062,0.3651,g,True
81.265,0.3651,g,True
81.469,0.3651,g,True
81.672,0.3651,g,True
81.672,0.3651,g,True
81.89,0.3651,g,True
82.094,0.3651,g,True
82.312,0.3651,g,True
82.312,0.3651,g,True
82.515,0.3651,g,True
82.734,0.3651,g,True
82.937,0.3651,g,True
82.937,0.3651,g,True
83.14,0.3651,g,True
83.359,0.3651,g,True
83.578,0.3651,g,True
83.578,0.3651,g,True
83.797,0.3651,g,True
84.0,0.3651,g,True
84.219,0.3651,g,True
84.219,0.3651,g,True
84.422,0.3651,g,True
