elapsed_s,mass,unit,stable
0.219,0.4921,g,True
0.437,0.4921,g,True
0.625,0.4921,g,True
0.844,0.4921,g,True
0.844,0.4921,g,True
1.047,0.4921,g,True
1.266,0.4921,g,True
1.469,0.4921,g,True
1.672,0.4921,g,True
1.672,0.4921,g,True
1.875,0.4921,g,True
2.078,0.4921,g,True
2.281,0.4921,g,True
2.297,0.4921,g,True
2.5,0.4921,g,True
2.703,0.4921,g,True
2.922,0.4921,g,True
3.125,0.4921,g,True
3.125,0.4921,g,True
3.344,0.4921,g,True
3.547,0.4921,g,True
3.75,0.4921,g,True
3.75,0.4921,g,True
3.953,0.4921,g,True
4.172,0.0,g,True
4.375,0.0,g,True
4.594,0.0,g,True
4.812,0.0,g,True
4.812,0.0,g,True
5.016,0.0,g,True
5.234,0.0,g,True
5.422,0.0,g,True
5.422,0.0,g,True
5.625,0.0,g,True
5.828,0.0,g,True
6.047,0.0,g,True
6.25,0.0,g,True
6.25,0.0,g,True
6.469,0.0,g,True
6.672,0.0,g,True
6.875,0.0,g,True
6.875,0.0,g,True
7.078,0.0,g,True
7.281,0.0,g,True
7.5,0.0,g,True
7.719,0.0,g,True
7.719,0.0,g,True
7.922,0.0,g,True
8.125,0.0,g,True
8.328,0.0,g,True
8.328,0.0,g,True
8.547,0.0,g,True
8.75,0.0,g,True
8.953,0.0,g,True
8.953,0.0,g,True
9.156,0.0,g,True
9.375,0.0,g,True
9.578,0.0,g,True
9.578,0.0,g,True
9.781,0.0,g,True
9.984,0.0,g,True
10.187,0.0,g,True
10.406,0.0,g,True
10.406,0.0,g,True
10.609,0.0001,g,True
10.812,0.0001,g,True
11.016,0.0001,g,True
11.219,0.0001,g,True
11.422,0.0001,g,True
11.422,0.0001,g,True
11.641,0.0001,g,True
11.844,0.0001,g,True
12.062,0.0001,g,True
12.281,0.0001,g,True
12.469,0.0001,g,True
12.469,0.0001,g,True
12.687,0.0001,g,True
12.891,0.0001,g,True
13.109,0.0001,g,True
13.312,0.0001,g,True
13.312,0.0001,g,True
13.516,0.0001,g,True
13.719,0.0001,g,True
13.922,0.0001,g,True
14.141,0.0001,g,True
14.141,0.0001,g,True
14.344,0.0001,g,True
14.547,0.0001,g,True
14.75,0.0001,g,True
14.969,0.0001,g,True
14.969,0.0,g,True
15.187,0.0,g,True
15.391,0.0,g,True
15.391,0.0,g,True
15.609,0.0,g,True
15.812,-0.0001,g,True
16.031,-0.0001,g,True
16.234,-0.0001,g,True
16.453,-0.0001,g,True
16.453,-0.0001,g,True
16.656,-0.0001,g,True
16.859,-0.0001,g,True
17.062,-0.0001,g,True
17.266,-0.0001,g,True
17.484,-0.0001,g,True
17.484,-0.0001,g,True
17.687,-0.0001,g,True
17.891,0.0,g,True
17.891,0.0,g,True
18.109,0.0,g,True
18.328,0.0,g,True
18.547,0.0001,g,True
18.75,0.0001,g,True
18.75,0.0001,g,True
18.969,0.0001,g,True
19.172,0.0001,g,True
19.375,0.0001,g,True
19.594,0.0001,g,True
19.594,0.0001,g,True
19.797,0.0001,g,True
20.0,0.0001,g,True
20.0,0.0001,g,True
20.219,0.0001,g,True
20.422,0.0001,g,True
20.625,0.0001,g,True
20.828,0.0001,g,True
21.047,0.0002,g,True
21.047,0.0002,g,True
21.25,0.0002,g,True
21.453,0.0002,g,True
21.656,0.0002,g,True
21.656,0.0002,g,True
21.875,0.0002,g,True
22.078,0.0002,g,True
22.281,0.0002,g,True
22.5,0.0002,g,True
22.5,0.0002,g,True
22.703,0.0002,g,True
22.906,0.0002,g,True
23.109,0.0002,g,True
23.109,0.0002,g,True
23.328,0.0002,g,True
23.531,0.0002,g,True
23.734,0.0002,g,True
23.734,0.0002,g,True
23.937,0.0002,g,True
24.156,0.0002,g,True
24.359,0.0002,g,True
24.562,0.0002,g,True
24.562,0.0002,g,True
24.766,0.0002,g,True
24.984,0.0002,g,True
25.187,0.0002,g,True
25.187,0.0001,g,True
25.391,0.0001,g,True
25.594,0.0001,g,True
25.812,0.0001,g,True
26.016,0.0001,g,True
26.219,0.0001,g,True
26.219,0.0001,g,True
26.422,0.0001,g,True
26.641,0.0001,g,True
26.844,0.0001,g,True
27.047,0.0001,g,True
27.047,0.0001,g,True
27.25,0.0001,g,True
27.469,0.0001,g,True
27.672,0.0001,g,True
27.875,0.0001,g,True
28.078,0.0001,g,True
28.078,0.0001,g,True
28.297,0.0001,g,True
28.5,0.0001,g,True
28.703,0.0001,g,True
28.703,0.0001,g,True
28.906,0.0001,g,True
29.125,0.0001,g,True
29.328,0.0001,g,True
29.531,0.0001,g,True
29.734,0.0001,g,True
29.734,0.0001,g,True
29.937,0.0001,g,True
30.156,0.0001,g,True
30.359,0.0001,g,True
30.562,0.0001,g,True
30.562,0.0,g,True
30.766,0.0,g,True
30.984,0.0,g,True
31.187,-0.0001,g,True
31.391,-0.0001,g,True
31.594,-0.0001,g,True
31.594,-0.0001,g,True
31.812,-0.0001,g,True
32.016,-0.0001,g,True
32.219,-0.0001,g,True
32.422,-0.0001,g,True
32.625,-0.0001,g,True
32.844,-0.0001,g,True
32.844,-0.0001,g,True
33.047,-0.0001,g,True
33.25,-0.0001,g,True
33.453,-0.0001,g,True
33.672,-0.0001,g,True
33.672,-0.0001,g,True
33.875,-0.0001,g,True
34.078,0.0,g,True
34.281,0.0,g,True
34.281,0.0,g,True
34.5,0.0,g,True
34.703,0.0,g,True
34.906,0.0,g,True
35.109,0.0001,g,True
35.109,0.0001,g,True
35.344,0.0001,g,True
35.547,0.0001,g,True
35.75,0.0001,g,True
35.75,0.0001,g,True
35.953,0.0001,g,True
36.172,0.0002,g,True
