elapsed_s,mass,unit,stable
0.219,-0.0842,g,True
0.422,-0.0842,g,True
0.625,-0.0842,g,True
0.828,-0.0842,g,True
0.828,-0.0842,g,True
1.031,-0.0841,g,True
1.234,-0.0841,g,True
1.453,-0.084,g,True
1.453,-0.084,g,True
1.656,-0.084,g,True
1.875,-0.0839,g,True
2.078,-0.0838,g,True
2.078,-0.0838,g,True
2.281,-0.0837,g,True
2.5,-0.0837,g,True
2.703,-0.0836,g,True
2.922,-0.0835,g,True
2.922,-0.0833,g,True
3.125,-0.0832,g,True
3.328,-0.0831,g,True
3.531,-0.083,g,True
3.734,-0.0829,g,True
3.734,-0.0828,g,True
3.938,-0.0827,g,True
4.156,-0.0826,g,True
4.375,-0.0825,g,True
4.375,-0.0825,g,True
4.563,-0.0824,g,True
4.766,-0.0823,g,True
4.984,-0.0823,g,True
5.203,-0.0822,g,True
5.203,-0.0822,g,True
5.406,-0.0821,g,True
5.625,-0.082,g,True
5.828,-0.082,g,True
5.828,-0.0819,g,True
6.031,-0.0819,g,True
6.234,-0.0818,g,True
6.453,-0.0818,g,True
6.453,-0.0817,g,True
6.672,-0.0817,g,True
6.891,-0.0816,g,True
7.078,-0.0816,g,True
7.078,-0.0816,g,True
7.297,-0.0816,g,True
7.5,-0.0815,g,True
7.719,-0.0815,g,True
7.719,-0.0814,g,True
7.938,-0.0814,g,True
8.156,-0.0813,g,True
8.344,-0.0813,g,True
8.563,-0.0812,g,True
8.563,-0.0812,g,True
8.781,-0.0812,g,True
9.0,-0.0812,g,True
9.0,-0.0811,g,True
9.203,-0.0811,g,True
9.406,-0.081,g,True
9.594,-0.081,g,True
9.797,-0.0809,g,True
9.797,-0.0808,g,True
10.0,-0.0787,g,True
10.203,-0.0777,g,True
10.422,-0.0767,g,True
10.625,-0.0758,g,True
10.625,-0.0751,g,True
10.828,-0.0745,g,True
11.031,-0.0741,g,True
11.25,-0.0737,g,True
11.25,-0.0734,g,True
11.469,-0.0732,g,True
11.656,-0.0731,g,True
11.875,-0.073,g,True
11.875,-0.073,g,True
12.094,-0.073,g,True
12.313,-0.073,g,True
12.516,-0.073,g,True
12.516,-0.073,g,True
12.719,-0.073,g,True
