elapsed_s,mass,unit,stable
0.218,0.0204,g,True
0.437,0.0204,g,True
0.64,0.0204,g,True
0.859,0.0204,g,True
0.859,0.0203,g,True
1.062,0.0203,g,True
1.265,0.0203,g,True
1.468,0.0203,g,True
1.687,0.0203,g,True
1.687,0.0203,g,True
1.906,0.0203,g,True
2.109,0.0202,g,True
2.312,0.0202,g,True
2.312,0.0202,g,True
2.515,0.0202,g,True
2.734,0.0202,g,True
2.937,0.0202,g,True
2.937,0.0202,g,True
3.156,0.0202,g,True
3.375,0.0202,g,True
3.578,0.0202,g,True
3.578,0.0202,g,True
3.781,0.0202,g,True
3.984,0.0202,g,True
4.203,0.0202,g,True
4.203,0.0202,g,True
4.406,0.0202,g,True
4.843,0.0,g,True
4.843,0.0,g,True
5.047,0.0,g,True
5.25,0.0,g,True
5.453,0.0001,g,True
5.656,0.0001,g,True
5.656,0.0001,g,True
5.859,0.0001,g,True
6.078,0.0001,g,True
6.281,0.0002,g,True
6.5,0.0002,g,True
6.687,0.0002,g,True
6.687,0.0002,g,True
6.906,0.0002,g,True
7.109,0.0002,g,True
7.328,0.0002,g,True
7.328,0.0002,g,True
7.531,0.0002,g,True
7.718,0.0002,g,True
7.937,0.0002,g,True
7.937,0.0002,g,True
8.14,0.0002,g,True
8.343,0.0002,g,True
8.547,0.0002,g,True
8.75,0.0002,g,True
8.75,0.0002,g,True
8.953,0.0002,g,True
9.172,0.0002,g,True
9.375,0.0002,g,True
9.593,0.0002,g,True
9.593,0.0002,g,True
9.797,0.0002,g,True
9.984,0.0002,g,True
10.187,0.0001,g,True
10.187,0.0001,g,True
10.406,0.0001,g,True
10.609,0.0001,g,True
10.828,0.0,g,True
11.015,0.0,g,True
11.015,0.0,g,True
11.218,0.0,g,True
11.437,0.0,g,True
11.64,0.0,g,True
11.859,-0.0001,g,True
11.859,-0.0001,g,True
12.078,-0.0001,g,True
12.281,-0.0001,g,True
12.484,-0.0001,g,True
12.687,-0.0001,g,True
12.906,-0.0001,g,True
13.109,-0.0001,g,True
13.109,-0.0001,g,True
13.328,-0.0001,g,True
13.515,-0.0001,g,True
13.718,-0.0001,g,True
13.937,-0.0001,g,True
14.14,-0.0001,g,True
14.14,-0.0001,g,True
14.359,-0.0001,g,True
14.547,-0.0001,g,True
14.765,-0.0001,g,True
14.968,0.0,g,True
14.968,0.0,g,True
15.187,0.0,g,True
15.39,0.0,g,True
15.593,0.0001,g,True
15.812,0.0001,g,True
15.812,0.0001,g,True
16.015,0.0002,g,True
16.234,0.0002,g,True
16.437,0.0002,g,True
16.437,0.0002,g,True
16.656,0.0002,g,True
16.859,0.0002,g,True
17.062,0.0002,g,True
17.062,0.0002,g,True
17.265,0.0002,g,True
17.484,0.0002,g,True
17.703,0.0002,g,True
17.703,0.0002,g,True
17.906,0.0002,g,True
18.125,0.0002,g,True
18.343,0.0002,g,True
18.343,0.0002,g,True
18.547,0.0002,g,True
18.75,0.0002,g,True
18.953,0.0002,g,True
19.172,0.0002,g,True
19.172,0.0002,g,True
19.375,0.0002,g,True
19.593,0.0002,g,True
19.797,0.0001,g,True
19.797,0.0001,g,True
19.984,0.0001,g,True
20.203,0.0001,g,True
20.406,0.0001,g,True
20.609,0.0,g,True
20.609,0.0,g,True
20.812,0.0,g,True
21.015,0.0,g,True
21.218,0.0,g,True
21.437,0.0,g,True
21.437,0.0,g,True
21.64,0.0,g,True
21.843,0.0,g,True
22.047,0.0,g,True
22.25,0.0001,g,True
22.25,0.0001,g,True
22.453,0.0001,g,True
22.672,0.0001,g,True
22.875,0.0002,g,True
23.078,0.0002,g,True
23.078,0.0002,g,True
23.281,0.0002,g,True
23.5,0.0002,g,True
23.5,0.0002,g,True
23.718,0.0002,g,True
23.922,0.0002,g,True
24.14,0.0002,g,True
24.343,0.0002,g,True
24.343,0.0002,g,True
24.547,0.0002,g,True
24.765,0.0002,g,True
24.984,0.0002,g,True
24.984,0.0002,g,True
25.187,0.0002,g,True
25.406,0.0002,g,True
25.609,0.0002,g,True
25.609,0.0002,g,True
25.828,0.0002,g,True
26.031,0.0002,g,True
26.234,0.0002,g,True
26.234,0.0002,g,True
26.453,0.0002,g,True
26.656,0.0002,g,True
26.859,0.0002,g,True
26.859,0.0002,g,True
27.078,0.0002,g,True
27.281,0.0002,g,True
27.484,0.0002,g,True
27.703,0.0002,g,True
27.703,0.0002,g,True
27.922,0.0002,g,True
28.125,0.0002,g,True
28.328,0.0002,g,True
28.343,0.0002,g,True
28.547,0.0002,g,True
28.75,0.0002,g,True
28.953,0.0002,g,True
28.953,0.0002,g,True
29.172,0.0002,g,True
29.375,0.0002,g,True
29.578,0.0002,g,True
29.578,0.0002,g,True
29.781,0.0002,g,True
30.0,0.0002,g,True
30.203,0.0002,g,True
30.406,0.0002,g,True
30.406,0.0002,g,True
30.609,0.0002,g,True
30.828,0.0002,g,True
31.031,0.0002,g,True
31.031,0.0002,g,True
31.234,0.0002,g,True
31.453,0.0002,g,True
31.656,0.0002,g,True
31.656,0.0002,g,True
31.859,0.0002,g,True
32.078,0.0002,g,True
32.281,0.0002,g,True
32.484,0.0002,g,True
32.484,0.0002,g,True
32.687,0.0002,g,True
32.906,0.0002,g,True
33.109,0.0002,g,True
33.109,0.0002,g,True
33.312,0.0002,g,True
33.531,0.0002,g,True
33.734,0.0002,g,True
33.937,0.0002,g,True
33.937,0.0002,g,True
