elapsed_s,mass,unit,stable
0.406,0.9253,g,True
0.406,0.9253,g,True
0.625,0.9253,g,True
0.828,0.9253,g,True
1.031,0.9253,g,True
1.031,0.9253,g,True
1.234,0.9253,g,True
1.453,0.9253,g,True
1.64,0.9253,g,True
1.844,0.9253,g,True
1.844,0.9253,g,True
2.062,0.9253,g,True
2.265,0.9253,g,True
2.469,0.9253,g,True
2.469,0.9253,g,True
2.672,0.9253,g,True
2.875,0.9253,g,True
3.094,0.9253,g,True
3.312,0.9253,g,True
3.312,0.9253,g,True
3.515,0.9253,g,True
3.719,0.9253,g,True
3.922,0.9253,g,True
3.922,0.9253,g,True
4.125,0.9253,g,True
4.344,0.9253,g,True
4.547,0.9253,g,True
4.547,0.9253,g,True
4.765,0.9253,g,True
4.984,0.9253,g,True
5.187,0.9253,g,True
5.187,0.9253,g,True
5.39,0.9253,g,True
5.594,0.9253,g,True
5.797,0.9253,g,True
6.015,0.9253,g,True
6.015,0.9253,g,True
6.219,0.9253,g,True
6.406,0.9253,g,True
6.609,0.9253,g,True
6.828,0.9253,g,True
6.828,0.9253,g,True
7.031,0.9253,g,True
7.25,0.9253,g,True
7.437,0.9253,g,True
7.437,0.9253,g,True
7.656,0.9253,g,True
7.859,0.9253,g,True
8.078,0.9253,g,True
8.078,0.9253,g,True
8.281,0.9253,g,True
8.469,0.9253,g,True
8.687,0.9253,g,True
8.89,0.9253,g,True
8.89,0.9253,g,True
9.094,0.9253,g,True
9.297,0.9253,g,True
9.515,0.9254,g,True
9.515,0.9254,g,True
9.703,0.9254,g,True
9.906,0.9254,g,True
10.109,0.9254,g,True
10.328,0.9254,g,True
10.328,0.9254,g,True
10.531,0.9254,g,True
10.734,0.9254,g,True
10.937,0.9254,g,True
11.14,0.9254,g,True
11.14,0.9255,g,True
11.344,0.9256,g,True
11.547,0.9275,g,True
11.75,0.9283,g,True
11.75,0.9292,g,True
11.953,0.9302,g,True
12.156,0.9313,g,True
12.375,0.9324,g,True
12.578,0.9335,g,True
12.578,0.9346,g,True
12.781,0.9355,g,True
12.984,0.9363,g,True
13.187,0.937,g,True
13.187,0.9376,g,True
13.406,0.9381,g,True
13.625,0.9384,g,True
13.828,0.9387,g,True
13.828,0.939,g,True
14.031,0.9392,g,True
14.234,0.9393,g,True
14.453,0.9394,g,True
14.656,0.9395,g,True
14.656,0.9395,g,True
14.859,0.9396,g,True
15.062,0.9396,g,True
15.265,0.9396,g,True
15.469,0.9397,g,True
15.469,0.9397,g,True
15.672,0.9397,g,True
15.875,0.9397,g,True
16.094,0.9397,g,True
16.094,0.9397,g,True
16.297,0.9398,g,True
16.5,0.9398,g,True
16.703,0.9398,g,True
