elapsed_s,mass,unit,stable
21.953,-0.0002,g,True
22.156,-0.0003,g,True
22.359,-0.0005,g,True
22.359,-0.0006,g,True
22.578,-0.0008,g,True
22.796,-0.0009,g,True
23.0,-0.0011,g,True
23.203,-0.0012,g,True
23.203,-0.0014,g,True
23.406,-0.0016,g,True
23.625,-0.0017,g,True
23.828,-0.0019,g,True
23.828,-0.002,g,True
24.031,-0.0022,g,True
24.234,-0.0023,g,True
24.453,-0.0024,g,True
24.453,-0.0026,g,True
24.64,-0.0028,g,True
24.843,-0.0029,g,True
25.046,-0.003,g,True
25.25,-0.0032,g,True
25.25,-0.0033,g,True
25.453,-0.0035,g,True
25.671,-0.0036,g,True
25.875,-0.0038,g,True
26.093,-0.0039,g,True
26.093,-0.0041,g,True
26.312,-0.0042,g,True
26.515,-0.0043,g,True
26.718,-0.0045,g,True
26.718,-0.0046,g,True
26.921,-0.0048,g,True
27.125,-0.0049,g,True
27.343,-0.0051,g,True
27.343,-0.0052,g,True
27.546,-0.0053,g,True
27.75,-0.0054,g,True
27.968,-0.0052,g,True
28.171,-0.0006,g,True
28.171,0.0103,g,True
28.375,0.027,g,True
28.578,0.0471,g,True
28.796,0.0682,g,True
28.796,0.0883,g,True
29.0,0.1062,g,True
29.203,0.1215,g,True
29.421,0.1339,g,True
29.421,0.1438,g,True
29.625,0.1513,g,True
29.828,0.1568,g,True
30.046,0.1607,g,True
30.25,0.1633,g,True
30.25,0.1649,g,True
30.453,0.1658,g,True
30.656,0.1661,g,True
30.875,0.166,g,True
30.875,0.1658,g,True
31.078,0.1655,g,True
31.281,0.1652,g,True
31.5,0.1634,g,True
31.5,0.1625,g,True
31.703,0.1616,g,True
31.906,0.1607,g,True
32.125,0.1599,g,True
32.328,0.159,g,True
32.328,0.1581,g,True
32.531,0.1573,g,True
32.75,0.1564,g,True
32.953,0.1556,g,True
32.953,0.1548,g,True
33.156,0.154,g,True
33.359,0.1532,g,True
33.578,0.1526,g,True
33.578,0.152,g,True
33.781,0.1516,g,True
33.984,0.1514,g,True
34.203,0.1514,g,True
34.406,0.1515,g,True
34.406,0.1516,g,True
34.609,0.1518,g,True
34.812,0.1521,g,True
35.031,0.1524,g,True
35.031,0.1543,g,True
35.234,0.1547,g,True
35.437,0.1551,g,True
35.656,0.1553,g,True
35.859,0.1554,g,True
35.859,0.1554,g,True
36.062,0.1553,g,True
36.265,0.1552,g,True
36.484,0.1551,g,True
36.484,0.155,g,True
36.687,0.1549,g,True
36.906,0.1547,g,True
37.109,0.1545,g,True
37.109,0.1528,g,True
37.312,0.1524,g,True
37.531,0.1519,g,True
37.734,0.1515,g,True
37.734,0.1511,g,True
37.937,0.1507,g,True
38.156,0.1502,g,True
38.359,0.1498,g,True
38.562,0.1494,g,True
38.562,0.1489,g,True
38.796,0.1485,g,True
39.0,0.1481,g,True
39.203,0.1478,g,True
39.203,0.1476,g,True
39.406,0.1475,g,True
39.625,0.1476,g,True
39.828,0.1477,g,True
39.828,0.1479,g,True
40.031,0.1481,g,True
40.234,0.1499,g,True
40.453,0.1508,g,True
40.656,0.1516,g,True
40.656,0.1523,g,True
40.859,0.1529,g,True
41.062,0.1534,g,True
41.281,0.1537,g,True
41.281,0.1539,g,True
41.484,0.154,g,True
41.687,0.154,g,True
41.906,0.154,g,True
41.906,0.154,g,True
42.109,0.154,g,True
42.312,0.1538,g,True
42.515,0.1537,g,True
42.734,0.1536,g,True
42.734,0.1535,g,True
42.937,0.1534,g,True
43.14,0.1533,g,True
43.359,0.1532,g,True
43.359,0.1514,g,True
43.562,0.1511,g,True
43.765,0.1508,g,True
43.968,0.1505,g,True
43.968,0.1502,g,True
44.187,0.1498,g,True
44.39,0.1496,g,True
44.593,0.1493,g,True
44.812,0.1492,g,True
44.812,0.1492,g,True
45.015,0.1493,g,True
45.218,0.1494,g,True
45.421,0.1496,g,True
45.421,0.1499,g,True
45.64,0.152,g,True
45.843,0.1529,g,True
46.046,0.1538,g,True
46.046,0.1546,g,True
46.265,0.1553,g,True
46.468,0.1558,g,True
46.671,0.1562,g,True
46.89,0.1565,g,True
46.89,0.1567,g,True
47.093,0.1569,g,True
47.296,0.157,g,True
47.515,0.157,g,True
47.515,0.157,g,True
47.734,0.1569,g,True
47.937,0.1568,g,True
48.14,0.1567,g,True
48.14,0.1566,g,True
48.359,0.1565,g,True
48.562,0.1564,g,True
48.765,0.1563,g,True
48.765,0.1562,g,True
48.968,0.1561,g,True
49.187,0.156,g,True
49.39,0.1559,g,True
49.593,0.1542,g,True
49.593,0.1539,g,True
49.812,0.1536,g,True
50.015,0.1534,g,True
50.218,0.1532,g,True
50.218,0.153,g,True
50.421,0.1528,g,True
50.64,0.1528,g,True
50.843,0.1529,g,True
51.046,0.153,g,True
51.046,0.1532,g,True
51.25,0.1535,g,True
51.468,0.1553,g,True
51.671,0.1562,g,True
51.671,0.1572,g,True
51.875,0.1581,g,True
52.093,0.1589,g,True
52.296,0.1596,g,True
52.296,0.1602,g,True
52.5,0.1606,g,True
52.718,0.1609,g,True
52.921,0.1611,g,True
53.125,0.1612,g,True
53.125,0.1612,g,True
53.343,0.1612,g,True
53.546,0.1612,g,True
53.75,0.1612,g,True
53.75,0.1612,g,True
53.968,0.1611,g,True
54.171,0.1611,g,True
54.375,0.161,g,True
54.375,0.1609,g,True
54.578,0.1608,g,True
54.796,0.1607,g,True
55.0,0.1607,g,True
55.203,0.1606,g,True
55.203,0.1605,g,True
55.421,0.1604,g,True
55.625,0.1602,g,True
55.828,0.1601,g,True
55.828,0.1584,g,True
56.046,0.1582,g,True
56.25,0.1581,g,True
56.453,0.1579,g,True
56.453,0.1579,g,True
56.656,0.1579,g,True
56.875,0.1581,g,True
57.078,0.1582,g,True
57.281,0.1585,g,True
57.281,0.1602,g,True
57.5,0.1611,g,True
57.703,0.1621,g,True
57.906,0.163,g,True
