elapsed_s,mass,unit,stable
0.204,-1.9198,g,True
0.422,-1.92,g,True
0.625,-1.9201,g,True
0.829,-1.9202,g,True
0.829,-1.9202,g,True
1.047,-1.9203,g,True
1.25,-1.9203,g,True
1.469,-1.9203,g,True
1.469,-1.9203,g,True
1.688,-1.9203,g,True
1.891,-1.9203,g,True
2.094,-1.9203,g,True
2.094,-1.9203,g,True
2.297,-1.9203,g,True
2.516,-1.9203,g,True
2.719,-1.9203,g,True
2.719,-1.9203,g,True
2.938,-1.9203,g,True
3.141,-1.9203,g,True
3.344,-1.9203,g,True
3.344,-1.9202,g,True
3.563,-1.9202,g,True
3.766,-1.9202,g,True
3.969,-1.9201,g,True
4.188,-1.9201,g,True
4.188,-1.9201,g,True
4.375,-1.92,g,True
4.594,-1.92,g,True
4.797,-1.92,g,True
4.797,-1.92,g,True
5.0,-1.92,g,True
5.219,-1.92,g,True
5.422,-1.92,g,True
5.438,-1.92,g,True
5.641,-1.9199,g,True
5.844,-1.9199,g,True
6.063,-1.9199,g,True
6.266,-1.9199,g,True
6.266,-1.9198,g,True
6.485,-1.9198,g,True
6.672,-1.9197,g,True
6.891,-1.9197,g,True
6.891,-1.9197,g,True
7.094,-1.9196,g,True
7.297,-1.9196,g,True
7.5,-1.9196,g,True
7.719,-1.9195,g,True
7.719,-1.9195,g,True
7.922,-1.9195,g,True
8.125,-1.9195,g,True
8.344,-1.9194,g,True
8.344,-1.9194,g,True
8.547,-1.9193,g,True
8.75,-1.9193,g,True
8.954,-1.9192,g,True
8.954,-1.9191,g,True
9.157,-1.9165,g,True
9.36,-1.9143,g,True
9.579,-1.9113,g,True
9.797,-1.9076,g,True
9.797,-1.9033,g,True
9.985,-1.8988,g,True
10.188,-1.8942,g,True
10.391,-1.8897,g,True
10.391,-1.8853,g,True
10.61,-1.8812,g,True
10.813,-1.8777,g,True
11.016,-1.8746,g,True
11.016,-1.8712,g,True
11.235,-1.8675,g,True
11.438,-1.8636,g,True
11.641,-1.8598,g,True
11.844,-1.8562,g,True
11.844,-1.8531,g,True
12.063,-1.8504,g,True
12.25,-1.8483,g,True
12.454,-1.8465,g,True
12.657,-1.8452,g,True
12.657,-1.8441,g,True
12.875,-1.8433,g,True
13.094,-1.8428,g,True
13.297,-1.8424,g,True
13.297,-1.8421,g,True
13.5,-1.8419,g,True
13.704,-1.8419,g,True
13.922,-1.8419,g,True
13.922,-1.8419,g,True
14.125,-1.842,g,True
14.344,-1.8421,g,True
14.547,-1.8422,g,True
14.547,-1.8423,g,True
14.75,-1.8424,g,True
14.954,-1.8424,g,True
15.172,-1.8425,g,True
15.375,-1.8425,g,True
15.375,-1.8426,g,True
15.594,-1.8426,g,True
15.813,-1.8427,g,True
16.016,-1.8427,g,True
16.016,-1.8428,g,True
16.219,-1.8429,g,True
16.438,-1.843,g,True
16.641,-1.8431,g,True
16.641,-1.8433,g,True
16.844,-1.8433,g,True
17.047,-1.8433,g,True
17.266,-1.8434,g,True
17.266,-1.8434,g,True
17.469,-1.8417,g,True
17.672,-1.8411,g,True
17.891,-1.8406,g,True
18.094,-1.8402,g,True
18.094,-1.8399,g,True
18.297,-1.8397,g,True
18.5,-1.8395,g,True
18.719,-1.8395,g,True
18.719,-1.8395,g,True
18.922,-1.8397,g,True
19.125,-1.8399,g,True
19.329,-1.8416,g,True
19.547,-1.8426,g,True
19.547,-1.8436,g,True
19.75,-1.8446,g,True
19.954,-1.8453,g,True
20.157,-1.8459,g,True
20.157,-1.8463,g,True
20.375,-1.8466,g,True
20.579,-1.8467,g,True
20.782,-1.8468,g,True
20.782,-1.8468,g,True
21.0,-1.8469,g,True
21.204,-1.8469,g,True
21.407,-1.8469,g,True
21.61,-1.847,g,True
21.61,-1.847,g,True
21.829,-1.847,g,True
22.032,-1.847,g,True
22.235,-1.847,g,True
22.235,-1.847,g,True
22.438,-1.847,g,True
22.657,-1.847,g,True
22.86,-1.847,g,True
22.86,-1.847,g,True
23.063,-1.847,g,True
23.266,-1.847,g,True
23.485,-1.847,g,True
23.688,-1.847,g,True
23.688,-1.8471,g,True
23.891,-1.8471,g,True
24.094,-1.8471,g,True
24.313,-1.8471,g,True
24.313,-1.8471,g,True
24.516,-1.8471,g,True
24.719,-1.8471,g,True
24.938,-1.8472,g,True
25.141,-1.8472,g,True
25.141,-1.8472,g,True
25.344,-1.8472,g,True
25.547,-1.8473,g,True
25.766,-1.8473,g,True
25.766,-1.8474,g,True
25.969,-1.8495,g,True
26.172,-1.8513,g,True
26.375,-1.8533,g,True
26.375,-1.8551,g,True
26.594,-1.8565,g,True
26.797,-1.8573,g,True
27.0,-1.8576,g,True
27.204,-1.8573,g,True
27.204,-1.8565,g,True
27.422,-1.8555,g,True
27.625,-1.8543,g,True
27.829,-1.8532,g,True
27.829,-1.8522,g,True
28.047,-1.8516,g,True
28.25,-1.8515,g,True
28.454,-1.8517,g,True
28.454,-1.8519,g,True
28.657,-1.8521,g,True
28.875,-1.8524,g,True
29.079,-1.8541,g,True
29.282,-1.8546,g,True
29.282,-1.8549,g,True
29.485,-1.8553,g,True
29.704,-1.8555,g,True
29.907,-1.8557,g,True
30.11,-1.8558,g,True
30.11,-1.8559,g,True
30.329,-1.8559,g,True
30.532,-1.8559,g,True
30.735,-1.8559,g,True
30.735,-1.8559,g,True
30.954,-1.8559,g,True
31.157,-1.8559,g,True
31.36,-1.8559,g,True
31.36,-1.8559,g,True
31.563,-1.8559,g,True
31.782,-1.8559,g,True
31.985,-1.8559,g,True
32.188,-1.8559,g,True
32.188,-1.8559,g,True
32.391,-1.8559,g,True
32.61,-1.8558,g,True
32.813,-1.8558,g,True
32.813,-1.8558,g,True
33.016,-1.8558,g,True
33.235,-1.8558,g,True
33.438,-1.8557,g,True
33.438,-1.8556,g,True
33.641,-1.8533,g,True
33.844,-1.8519,g,True
34.063,-1.8503,g,True
34.266,-1.8484,g,True
34.266,-1.8463,g,True
34.469,-1.8441,g,True
34.672,-1.8419,g,True
34.891,-1.8397,g,True
34.891,-1.8376,g,True
35.094,-1.8356,g,True
35.297,-1.834,g,True
35.5,-1.8329,g,True
35.5,-1.8323,g,True
35.719,-1.8322,g,True
35.922,-1.8323,g,True
36.141,-1.8324,g,True
36.141,-1.8325,g,True
36.36,-1.8326,g,True
36.563,-1.8326,g,True
36.766,-1.8327,g,True
36.985,-1.8327,g,True
36.985,-1.8328,g,True
37.188,-1.8328,g,True
37.391,-1.8328,g,True
37.594,-1.8329,g,True
37.594,-1.8329,g,True
37.813,-1.8329,g,True
38.016,-1.8329,g,True
38.219,-1.8329,g,True
38.438,-1.8329,g,True
38.438,-1.8329,g,True
38.641,-1.8329,g,True
38.844,-1.8329,g,True
39.047,-1.8329,g,True
39.047,-1.8329,g,True
39.266,-1.8328,g,True
39.469,-1.8328,g,True
39.672,-1.8327,g,True
39.672,-1.8327,g,True
39.891,-1.8327,g,True
40.094,-1.8327,g,True
40.297,-1.8327,g,True
40.5,-1.8326,g,True
40.5,-1.8326,g,True
40.719,-1.8326,g,True
40.922,-1.8326,g,True
41.125,-1.8326,g,True
41.125,-1.8326,g,True
41.344,-1.8325,g,True
41.547,-1.8325,g,True
41.75,-1.8324,g,True
41.75,-1.8324,g,True
41.954,-1.8323,g,True
42.172,-1.8304,g,True
42.375,-1.8293,g,True
42.579,-1.828,g,True
42.579,-1.8264,g,True
42.782,-1.8247,g,True
43.0,-1.8228,g,True
43.204,-1.8209,g,True
43.204,-1.8193,g,True
43.407,-1.8177,g,True
43.625,-1.8156,g,True
43.829,-1.8131,g,True
44.032,-1.8103,g,True
44.032,-1.8075,g,True
44.235,-1.8048,g,True
44.454,-1.8024,g,True
44.657,-1.8004,g,True
44.657,-1.7988,g,True
44.86,-1.7975,g,True
45.063,-1.7965,g,True
45.282,-1.7957,g,True
45.282,-1.7952,g,True
45.485,-1.7947,g,True
45.688,-1.7945,g,True
45.907,-1.7943,g,True
46.11,-1.7942,g,True
46.11,-1.7942,g,True
46.313,-1.7941,g,True
46.516,-1.7941,g,True
46.735,-1.7941,g,True
46.735,-1.7941,g,True
46.938,-1.7941,g,True
47.141,-1.7941,g,True
47.344,-1.7941,g,True
47.344,-1.7941,g,True
47.563,-1.7941,g,True
47.766,-1.7941,g,True
47.969,-1.7941,g,True
48.188,-1.7941,g,True
48.188,-1.7942,g,True
48.391,-1.7942,g,True
48.594,-1.7942,g,True
48.797,-1.7943,g,True
48.797,-1.7943,g,True
49.016,-1.7944,g,True
49.219,-1.7944,g,True
49.422,-1.7945,g,True
49.422,-1.7964,g,True
49.625,-1.7978,g,True
49.844,-1.7994,g,True
50.047,-1.8009,g,True
50.25,-1.8021,g,True
50.25,-1.803,g,True
50.469,-1.8035,g,True
50.672,-1.8035,g,True
50.875,-1.8034,g,True
50.875,-1.8032,g,True
51.079,-1.8029,g,True
51.297,-1.8027,g,True
51.5,-1.8025,g,True
51.704,-1.8023,g,True
51.704,-1.8023,g,True
51.907,-1.8023,g,True
52.125,-1.8024,g,True
52.329,-1.8041,g,True
52.329,-1.8048,g,True
52.532,-1.8054,g,True
52.75,-1.8059,g,True
52.954,-1.8062,g,True
52.954,-1.8065,g,True
53.157,-1.8066,g,True
53.36,-1.8068,g,True
53.579,-1.8068,g,True
53.782,-1.8069,g,True
53.782,-1.8069,g,True
53.985,-1.8069,g,True
54.188,-1.8069,g,True
54.407,-1.8069,g,True
54.407,-1.8069,g,True
54.61,-1.8069,g,True
54.813,-1.8069,g,True
55.016,-1.8068,g,True
55.219,-1.8068,g,True
55.219,-1.8068,g,True
55.438,-1.8067,g,True
55.641,-1.8067,g,True
55.844,-1.8067,g,True
55.844,-1.8067,g,True
56.063,-1.8066,g,True
56.266,-1.8066,g,True
56.469,-1.8065,g,True
56.469,-1.8065,g,True
56.672,-1.8064,g,True
56.891,-1.8064,g,True
57.094,-1.8064,g,True
57.297,-1.8064,g,True
57.297,-1.8063,g,True
57.5,-1.8063,g,True
57.719,-1.8062,g,True
57.922,-1.8062,g,True
57.922,-1.8061,g,True
58.125,-1.806,g,True
58.329,-1.8035,g,True
58.547,-1.8022,g,True
58.547,-1.8006,g,True
58.75,-1.7989,g,True
58.954,-1.797,g,True
59.157,-1.7951,g,True
59.375,-1.7932,g,True
59.375,-1.7913,g,True
59.579,-1.7894,g,True
59.782,-1.7876,g,True
60.0,-1.786,g,True
60.0,-1.7846,g,True
60.204,-1.783,g,True
60.407,-1.7812,g,True
60.61,-1.7792,g,True
60.829,-1.7771,g,True
60.829,-1.7752,g,True
61.032,-1.7734,g,True
61.235,-1.7719,g,True
61.438,-1.7706,g,True
61.438,-1.7695,g,True
61.657,-1.7687,g,True
61.86,-1.768,g,True
62.063,-1.7675,g,True
62.063,-1.7671,g,True
62.282,-1.7668,g,True
62.485,-1.7666,g,True
62.688,-1.7665,g,True
62.891,-1.7664,g,True
62.891,-1.7664,g,True
63.11,-1.7664,g,True
63.313,-1.7664,g,True
63.516,-1.7664,g,True
63.516,-1.7664,g,True
63.735,-1.7664,g,True
63.938,-1.7664,g,True
64.141,-1.7664,g,True
64.141,-1.7664,g,True
64.344,-1.7664,g,True
64.563,-1.7664,g,True
64.766,-1.7664,g,True
64.969,-1.7664,g,True
64.969,-1.7664,g,True
65.172,-1.7664,g,True
65.391,-1.7665,g,True
65.594,-1.7665,g,True
65.594,-1.7666,g,True
65.797,-1.7666,g,True
66.016,-1.7667,g,True
66.219,-1.7667,g,True
66.219,-1.7668,g,True
66.422,-1.7669,g,True
66.625,-1.767,g,True
66.844,-1.7689,g,True
67.047,-1.7701,g,True
67.047,-1.7715,g,True
67.25,-1.7727,g,True
67.454,-1.7736,g,True
67.672,-1.7742,g,True
67.672,-1.7744,g,True
67.875,-1.7743,g,True
68.079,-1.7741,g,True
68.297,-1.7739,g,True
68.5,-1.7736,g,True
68.5,-1.7734,g,True
