elapsed_s,mass,unit,stable
0.203,0.2666,g,True
0.422,0.2666,g,True
0.64,0.2666,g,True
0.64,0.2666,g,True
0.843,0.2666,g,True
1.047,0.2666,g,True
1.25,0.2666,g,True
1.453,0.2666,g,True
1.453,0.2666,g,True
1.656,0.2666,g,True
1.859,0.2665,g,True
2.078,0.2665,g,True
2.078,0.2665,g,True
2.297,0.2665,g,True
2.484,0.2665,g,True
2.703,0.2664,g,True
2.703,0.2664,g,True
2.906,0.2664,g,True
3.125,0.2664,g,True
3.328,0.2664,g,True
3.531,0.2663,g,True
3.531,0.2663,g,True
3.734,0.2663,g,True
3.953,0.2663,g,True
4.172,0.2663,g,True
4.172,0.2663,g,True
4.375,0.2663,g,True
4.578,0.2663,g,True
4.797,0.2663,g,True
5.0,0.2663,g,True
5.0,0.2663,g,True
5.218,0.2663,g,True
5.422,0.2663,g,True
5.422,0.2663,g,True
5.64,0.2664,g,True
5.843,0.2665,g,True
6.047,0.2685,g,True
6.25,0.2693,g,True
6.25,0.2702,g,True
6.468,0.2713,g,True
6.672,0.2724,g,True
6.89,0.2735,g,True
6.89,0.2746,g,True
7.093,0.2758,g,True
7.297,0.2769,g,True
7.484,0.278,g,True
7.703,0.2792,g,True
7.703,0.2804,g,True
7.906,0.2817,g,True
8.109,0.2828,g,True
8.312,0.2839,g,True
8.312,0.2848,g,True
8.515,0.2856,g,True
8.718,0.2862,g,True
8.937,0.2868,g,True
8.937,0.2872,g,True
9.14,0.2876,g,True
9.343,0.2879,g,True
9.547,0.2882,g,True
9.765,0.2886,g,True
9.765,0.2889,g,True
9.968,0.2893,g,True
10.187,0.2896,g,True
10.406,0.2898,g,True
10.406,0.2901,g,True
10.609,0.2903,g,True
10.812,0.2904,g,True
11.031,0.2906,g,True
11.031,0.2906,g,True
11.234,0.2906,g,True
11.437,0.2907,g,True
11.64,0.2907,g,True
11.843,0.2907,g,True
11.843,0.2907,g,True
12.062,0.2907,g,True
12.281,0.2908,g,True
12.484,0.2908,g,True
12.484,0.2908,g,True
12.703,0.2908,g,True
12.906,0.2908,g,True
13.109,0.2908,g,True
13.109,0.2908,g,True
13.328,0.2908,g,True
13.547,0.2908,g,True
13.765,0.2908,g,True
13.765,0.2908,g,True
13.968,0.2909,g,True
14.187,0.2909,g,True
14.375,0.2909,g,True
14.593,0.2909,g,True
14.593,0.2909,g,True
14.797,0.2909,g,True
15.0,0.2909,g,True
15.203,0.2909,g,True
15.203,0.2909,g,True
15.406,0.2909,g,True
15.609,0.2909,g,True
15.812,0.2909,g,True
15.812,0.2909,g,True
16.031,0.2909,g,True
16.234,0.2909,g,True
16.437,0.2909,g,True
16.64,0.2909,g,True
16.64,0.2909,g,True
16.843,0.2909,g,True
17.031,0.2909,g,True
17.25,0.2909,g,True
17.25,0.2909,g,True
17.468,0.2909,g,True
17.672,0.2909,g,True
17.875,0.2909,g,True
18.078,0.2909,g,True
18.078,0.2909,g,True
18.297,0.2909,g,True
18.5,0.2908,g,True
18.718,0.2908,g,True
18.718,0.2908,g,True
18.922,0.2908,g,True
19.125,0.2907,g,True
19.328,0.2907,g,True
19.328,0.2907,g,True
19.531,0.2906,g,True
19.734,0.2906,g,True
19.953,0.2906,g,True
20.156,0.2906,g,True
20.156,0.2906,g,True
20.375,0.2906,g,True
20.578,0.2905,g,True
20.781,0.2887,g,True
20.984,0.2872,g,True
20.984,0.2857,g,True
21.187,0.2842,g,True
21.406,0.283,g,True
21.625,0.2822,g,True
21.625,0.2818,g,True
21.812,0.2818,g,True
22.031,0.282,g,True
22.234,0.2823,g,True
22.234,0.2826,g,True
22.437,0.2849,g,True
22.64,0.286,g,True
22.859,0.287,g,True
23.047,0.2877,g,True
23.047,0.2882,g,True
23.265,0.2885,g,True
23.484,0.2888,g,True
23.687,0.2889,g,True
23.687,0.2891,g,True
23.89,0.2891,g,True
24.093,0.2891,g,True
24.312,0.2892,g,True
24.312,0.2892,g,True
24.515,0.2892,g,True
24.718,0.2893,g,True
24.937,0.2893,g,True
25.14,0.2893,g,True
25.14,0.2894,g,True
25.359,0.2894,g,True
25.562,0.2894,g,True
25.765,0.2894,g,True
25.765,0.2894,g,True
25.968,0.2894,g,True
26.172,0.2895,g,True
26.39,0.2895,g,True
26.39,0.2896,g,True
26.593,0.2896,g,True
26.797,0.2897,g,True
27.0,0.2897,g,True
27.203,0.2898,g,True
27.203,0.2898,g,True
27.406,0.2899,g,True
27.625,0.2899,g,True
27.812,0.29,g,True
28.031,0.29,g,True
28.031,0.2901,g,True
28.234,0.2901,g,True
28.437,0.2901,g,True
28.64,0.2901,g,True
28.64,0.2902,g,True
28.859,0.2902,g,True
29.062,0.2902,g,True
29.265,0.2903,g,True
29.265,0.2903,g,True
29.468,0.2903,g,True
29.672,0.2904,g,True
29.89,0.2904,g,True
30.093,0.2904,g,True
30.093,0.2904,g,True
30.297,0.2904,g,True
30.5,0.2904,g,True
30.718,0.2905,g,True
30.718,0.2905,g,True
30.922,0.2905,g,True
31.125,0.2906,g,True
31.343,0.2906,g,True
31.547,0.2906,g,True
31.547,0.2907,g,True
31.75,0.2907,g,True
31.953,0.2907,g,True
32.172,0.2907,g,True
32.172,0.2907,g,True
32.375,0.2907,g,True
32.578,0.2907,g,True
32.781,0.2907,g,True
32.781,0.2907,g,True
33.0,0.2907,g,True
33.203,0.2907,g,True
33.406,0.2907,g,True
33.625,0.2908,g,True
33.625,0.2908,g,True
33.828,0.2908,g,True
34.031,0.2908,g,True
34.25,0.2908,g,True
34.25,0.2908,g,True
34.453,0.2908,g,True
34.656,0.2908,g,True
34.875,0.2908,g,True
34.875,0.2908,g,True
35.078,0.2908,g,True
35.281,0.2908,g,True
35.484,0.2908,g,True
35.687,0.2908,g,True
35.687,0.2908,g,True
35.906,0.2908,g,True
36.109,0.2908,g,True
36.312,0.2908,g,True
36.312,0.2908,g,True
36.515,0.2908,g,True
36.734,0.2908,g,True
