elapsed_s,mass,unit,stable
0.219,0.0983,g,True
0.422,0.0983,g,True
0.625,0.0983,g,True
0.625,0.0984,g,True
0.813,0.0984,g,True
1.031,0.0985,g,True
1.25,0.0985,g,True
1.25,0.0986,g,True
1.469,0.0986,g,True
1.672,0.0987,g,True
1.875,0.0987,g,True
1.875,0.0988,g,True
2.078,0.0988,g,True
2.281,0.0989,g,True
2.485,0.0989,g,True
2.688,0.099,g,True
2.688,0.099,g,True
2.891,0.0991,g,True
3.094,0.0991,g,True
3.313,0.0992,g,True
3.313,0.0992,g,True
3.516,0.0992,g,True
3.719,0.0992,g,True
3.938,0.0993,g,True
4.141,0.0993,g,True
4.141,0.0994,g,True
4.344,0.0994,g,True
4.547,0.0995,g,True
4.75,0.0995,g,True
4.75,0.0996,g,True
4.969,0.0996,g,True
5.188,0.0997,g,True
5.375,0.0997,g,True
5.375,0.0998,g,True
5.594,0.0998,g,True
5.797,0.0999,g,True
6.016,0.0999,g,True
6.219,0.1,g,True
6.219,0.1,g,True
6.422,0.1,g,True
6.625,0.1,g,True
6.828,0.1001,g,True
7.047,0.1001,g,True
7.047,0.1002,g,True
7.25,0.1002,g,True
7.469,0.1003,g,True
7.672,0.1003,g,True
7.875,0.1003,g,True
7.875,0.1003,g,True
8.094,0.1004,g,True
8.297,0.1004,g,True
8.516,0.1005,g,True
8.719,0.1005,g,True
23.11,0.1041,g,True
23.328,0.1041,g,True
23.328,0.1041,g,True
23.516,0.1041,g,True
23.735,0.1042,g,True
23.938,0.1042,g,True
23.938,0.1043,g,True
24.156,0.1043,g,True
24.36,0.1044,g,True
24.563,0.1044,g,True
24.766,0.1045,g,True
24.766,0.1045,g,True
24.969,0.1045,g,True
25.188,0.1045,g,True
25.391,0.1046,g,True
25.391,0.1046,g,True
25.61,0.1047,g,True
25.797,0.1047,g,True
26.0,0.1048,g,True
26.219,0.1048,g,True
26.219,0.1048,g,True
26.422,0.1048,g,True
26.641,0.1049,g,True
26.86,0.1049,g,True
26.86,0.105,g,True
27.063,0.105,g,True
27.266,0.1051,g,True
27.469,0.1051,g,True
27.469,0.1051,g,True
27.688,0.1052,g,True
27.906,0.1052,g,True
28.11,0.1052,g,True
28.11,0.1053,g,True
28.313,0.1053,g,True
28.531,0.1053,g,True
28.735,0.1053,g,True
28.938,0.1053,g,True
28.938,0.1054,g,True
29.141,0.1054,g,True
29.36,0.1054,g,True
29.547,0.1055,g,True
29.547,0.1055,g,True
29.75,0.1055,g,True
29.969,0.1056,g,True
30.188,0.1056,g,True
30.188,0.1057,g,True
30.391,0.1057,g,True
30.61,0.1057,g,True
30.813,0.1057,g,True
30.813,0.1057,g,True
31.031,0.1058,g,True
31.25,0.1058,g,True
31.453,0.1058,g,True
31.453,0.1059,g,True
31.672,0.1059,g,True
31.875,0.1059,g,True
32.078,0.106,g,True
32.281,0.106,g,True
32.281,0.106,g,True
32.485,0.1061,g,True
32.703,0.1061,g,True
32.906,0.1062,g,True
32.906,0.1062,g,True
33.094,0.1062,g,True
33.297,0.1063,g,True
33.516,0.1063,g,True
33.719,0.1063,g,True
33.719,0.1064,g,True
33.922,0.1064,g,True
34.141,0.1065,g,True
34.344,0.1065,g,True
34.344,0.1065,g,True
34.547,0.1066,g,True
34.75,0.1066,g,True
34.969,0.1066,g,True
35.172,0.1066,g,True
35.172,0.1067,g,True
35.391,0.1067,g,True
35.594,0.1068,g,True
35.797,0.1068,g,True
35.797,0.1069,g,True
36.0,0.1069,g,True
36.219,0.1069,g,True
36.422,0.1069,g,True
36.422,0.107,g,True
36.625,0.107,g,True
36.828,0.1071,g,True
37.031,0.1071,g,True
37.25,0.1072,g,True
37.25,0.1072,g,True
37.453,0.1073,g,True
37.656,0.1073,g,True
37.86,0.1073,g,True
37.875,0.1073,g,True
38.094,0.1073,g,True
38.297,0.1074,g,True
38.5,0.1074,g,True
38.5,0.1075,g,True
38.703,0.1075,g,True
38.922,0.1075,g,True
39.125,0.1076,g,True
39.328,0.1076,g,True
39.328,0.1076,g,True
39.531,0.1077,g,True
39.735,0.1077,g,True
39.953,0.1078,g,True
39.953,0.1078,g,True
40.156,0.1078,g,True
40.36,0.1078,g,True
40.563,0.1078,g,True
40.563,0.1079,g,True
40.766,0.1079,g,True
40.985,0.1079,g,True
41.188,0.108,g,True
41.391,0.108,g,True
41.391,0.108,g,True
41.594,0.1081,g,True
41.813,0.1081,g,True
42.016,0.1081,g,True
42.016,0.1082,g,True
42.219,0.1082,g,True
42.422,0.1082,g,True
42.641,0.1082,g,True
42.844,0.1082,g,True
42.844,0.1083,g,True
43.047,0.1083,g,True
43.25,0.1083,g,True
43.469,0.1084,g,True
43.469,0.1084,g,True
43.672,0.1084,g,True
43.875,0.1085,g,True
44.078,0.1085,g,True
44.297,0.1086,g,True
44.297,0.1086,g,True
44.5,0.1086,g,True
44.703,0.1087,g,True
44.906,0.1087,g,True
44.906,0.1087,g,True
45.125,0.1088,g,True
45.328,0.1088,g,True
45.531,0.1088,g,True
45.531,0.1088,g,True
45.735,0.1088,g,True
45.938,0.1089,g,True
46.156,0.1089,g,True
46.36,0.1089,g,True
46.36,0.109,g,True
46.563,0.109,g,True
46.766,0.109,g,True
46.969,0.1091,g,True
46.969,0.1091,g,True
47.188,0.1091,g,True
47.391,0.1092,g,True
47.594,0.1092,g,True
47.797,0.1093,g,True
47.797,0.1093,g,True
48.016,0.1093,g,True
48.219,0.1094,g,True
48.422,0.1094,g,True
48.422,0.1094,g,True
48.625,0.1094,g,True
48.844,0.1094,g,True
49.047,0.1095,g,True
49.047,0.1095,g,True
49.25,0.1095,g,True
49.453,0.1096,g,True
49.672,0.1096,g,True
49.875,0.1097,g,True
49.875,0.1097,g,True
50.078,0.1098,g,True
50.281,0.1098,g,True
50.485,0.1098,g,True
50.485,0.1099,g,True
50.703,0.1099,g,True
50.906,0.1099,g,True
51.11,0.11,g,True
51.313,0.11,g,True
51.313,0.11,g,True
51.531,0.11,g,True
51.735,0.11,g,True
51.938,0.1101,g,True
51.938,0.1101,g,True
52.141,0.1101,g,True
52.36,0.1102,g,True
52.563,0.1102,g,True
52.766,0.1102,g,True
52.766,0.1103,g,True
52.969,0.1103,g,True
53.172,0.1103,g,True
53.391,0.1103,g,True
53.391,0.1103,g,True
53.594,0.1104,g,True
53.797,0.1104,g,True
54.016,0.1104,g,True
54.016,0.1105,g,True
54.219,0.1105,g,True
54.422,0.1105,g,True
54.625,0.1106,g,True
54.828,0.1106,g,True
54.828,0.1106,g,True
55.047,0.1106,g,True
55.25,0.1106,g,True
55.453,0.1107,g,True
55.656,0.1107,g,True
55.656,0.1107,g,True
55.875,0.1108,g,True
56.078,0.1108,g,True
56.281,0.1108,g,True
56.281,0.1109,g,True
56.485,0.1109,g,True
56.703,0.1109,g,True
56.906,0.111,g,True
56.906,0.111,g,True
57.11,0.111,g,True
57.328,0.111,g,True
57.531,0.111,g,True
57.735,0.1111,g,True
57.735,0.1111,g,True
57.938,0.1111,g,True
58.141,0.1112,g,True
58.36,0.1112,g,True
58.36,0.1113,g,True
58.563,0.1113,g,True
58.766,0.1113,g,True
58.969,0.1113,g,True
58.969,0.1113,g,True
59.188,0.1113,g,True
59.391,0.1114,g,True
59.594,0.1114,g,True
59.797,0.1115,g,True
59.797,0.1115,g,True
60.016,0.1115,g,True
60.235,0.1116,g,True
60.438,0.1116,g,True
60.438,0.1116,g,True
60.641,0.1116,g,True
60.86,0.1116,g,True
61.063,0.1116,g,True
61.063,0.1117,g,True
61.266,0.1117,g,True
61.469,0.1117,g,True
61.688,0.1118,g,True
61.688,0.1118,g,True
61.891,0.1118,g,True
62.094,0.1119,g,True
62.297,0.1119,g,True
62.516,0.1119,g,True
62.516,0.1119,g,True
62.719,0.1119,g,True
62.922,0.1119,g,True
63.125,0.112,g,True
63.125,0.112,g,True
63.344,0.112,g,True
63.547,0.1121,g,True
63.75,0.1121,g,True
63.969,0.1121,g,True
63.969,0.1122,g,True
64.172,0.1122,g,True
64.391,0.1122,g,True
64.594,0.1122,g,True
64.594,0.1122,g,True
64.797,0.1122,g,True
65.0,0.1123,g,True
65.219,0.1123,g,True
65.219,0.1123,g,True
65.422,0.1124,g,True
65.625,0.1124,g,True
65.828,0.1124,g,True
66.031,0.1125,g,True
66.031,0.1125,g,True
66.25,0.1125,g,True
66.469,0.1126,g,True
66.672,0.1126,g,True
66.672,0.1126,g,True
66.891,0.1126,g,True
67.094,0.1126,g,True
67.297,0.1126,g,True
67.297,0.1126,g,True
67.5,0.1127,g,True
67.703,0.1127,g,True
67.922,0.1127,g,True
67.922,0.1128,g,True
68.125,0.1128,g,True
68.328,0.1128,g,True
68.531,0.1129,g,True
68.735,0.1129,g,True
68.735,0.1129,g,True
68.953,0.1129,g,True
69.156,0.1129,g,True
69.36,0.1129,g,True
69.36,0.113,g,True
69.563,0.113,g,True
69.781,0.113,g,True
69.985,0.1131,g,True
70.188,0.1131,g,True
70.188,0.1132,g,True
70.391,0.1132,g,True
70.61,0.1133,g,True
70.813,0.1133,g,True
71.016,0.1133,g,True
71.016,0.1133,g,True
71.219,0.1133,g,True
71.422,0.1134,g,True
71.641,0.1134,g,True
71.641,0.1134,g,True
71.844,0.1135,g,True
72.047,0.1135,g,True
72.25,0.1135,g,True
72.25,0.1136,g,True
72.469,0.1136,g,True
72.672,0.1137,g,True
72.875,0.1137,g,True
73.078,0.1137,g,True
73.078,0.1138,g,True
73.297,0.1138,g,True
73.5,0.1138,g,True
73.703,0.1138,g,True
73.703,0.1138,g,True
73.906,0.1139,g,True
74.11,0.1139,g,True
74.328,0.114,g,True
74.531,0.114,g,True
74.531,0.114,g,True
74.735,0.1141,g,True
74.953,0.1141,g,True
75.156,0.1141,g,True
75.156,0.1141,g,True
75.36,0.1141,g,True
75.563,0.1141,g,True
75.781,0.1142,g,True
75.781,0.1142,g,True
75.985,0.1142,g,True
76.188,0.1143,g,True
76.391,0.1143,g,True
76.61,0.1144,g,True
76.61,0.1144,g,True
76.813,0.1144,g,True
77.016,0.1144,g,True
77.219,0.1144,g,True
77.219,0.1146,g,True
77.422,0.1147,g,True
77.641,0.1148,g,True
77.844,0.1173,g,True
78.047,0.1183,g,True
78.047,0.1195,g,True
78.266,0.1208,g,True
78.469,0.1223,g,True
78.672,0.1238,g,True
78.672,0.1254,g,True
78.875,0.1269,g,True
79.078,0.1284,g,True
79.297,0.1297,g,True
79.297,0.1309,g,True
79.5,0.1319,g,True
79.703,0.1328,g,True
79.906,0.1335,g,True
80.125,0.1341,g,True
80.125,0.1345,g,True
80.328,0.1348,g,True
80.531,0.1351,g,True
80.735,0.1353,g,True
80.735,0.1355,g,True
80.938,0.1356,g,True
81.156,0.1357,g,True
81.36,0.1357,g,True
81.563,0.1357,g,True
81.563,0.1358,g,True
81.781,0.1358,g,True
81.985,0.1358,g,True
82.188,0.1358,g,True
82.188,0.1359,g,True
82.391,0.1359,g,True
82.594,0.1359,g,True
82.813,0.1359,g,True
82.813,0.1359,g,True
83.016,0.1359,g,True
83.219,0.1359,g,True
83.422,0.1359,g,True
83.641,0.1359,g,True
83.641,0.1359,g,True
83.844,0.1359,g,True
84.047,0.136,g,True
84.25,0.136,g,True
84.25,0.136,g,True
84.469,0.136,g,True
84.672,0.136,g,True
84.875,0.1361,g,True
85.078,0.1361,g,True
85.078,0.1361,g,True
85.297,0.1361,g,True
85.5,0.1361,g,True
85.703,0.1362,g,True
85.703,0.1362,g,True
85.906,0.1362,g,True
86.125,0.1362,g,True
86.328,0.1362,g,True
86.328,0.1362,g,True
86.531,0.1362,g,True
86.735,0.1362,g,True
86.969,0.1362,g,True
87.172,0.1362,g,True
87.172,0.1362,g,True
87.375,0.1363,g,True
87.578,0.1363,g,True
87.797,0.1363,g,True
87.797,0.1363,g,True
88.0,0.1364,g,True
88.203,0.1364,g,True
88.406,0.1364,g,True
88.406,0.1364,g,True
88.61,0.1365,g,True
88.828,0.1365,g,True
89.031,0.1365,g,True
89.235,0.1365,g,True
89.235,0.1365,g,True
89.438,0.1365,g,True
89.656,0.1365,g,True
89.86,0.1365,g,True
89.86,0.1366,g,True
90.063,0.1366,g,True
90.266,0.1366,g,True
90.485,0.1366,g,True
90.688,0.1367,g,True
90.688,0.1367,g,True
90.891,0.1367,g,True
91.11,0.1368,g,True
91.313,0.1368,g,True
91.313,0.1368,g,True
91.516,0.1368,g,True
91.719,0.1368,g,True
91.938,0.1368,g,True
91.938,0.1368,g,True
92.141,0.1368,g,True
92.344,0.1369,g,True
92.547,0.1369,g,True
92.766,0.1369,g,True
92.766,0.1369,g,True
92.969,0.137,g,True
93.172,0.137,g,True
93.375,0.137,g,True
93.375,0.1371,g,True
93.594,0.1371,g,True
93.797,0.1371,g,True
94.0,0.1371,g,True
94.203,0.1371,g,True
94.203,0.1371,g,True
94.406,0.1371,g,True
94.625,0.1372,g,True
94.828,0.1372,g,True
94.828,0.1372,g,True
95.031,0.1373,g,True
95.235,0.1373,g,True
95.453,0.1374,g,True
95.453,0.1375,g,True
95.656,0.1397,g,True
95.86,0.1406,g,True
96.063,0.1417,g,True
96.063,0.1429,g,True
96.281,0.1442,g,True
96.485,0.1456,g,True
96.688,0.147,g,True
96.891,0.1483,g,True
96.891,0.1495,g,True
97.094,0.1506,g,True
97.313,0.1516,g,True
97.516,0.1524,g,True
97.719,0.1531,g,True
97.719,0.1536,g,True
97.922,0.1541,g,True
98.141,0.1544,g,True
98.344,0.1547,g,True
98.344,0.1549,g,True
98.547,0.1551,g,True
98.75,0.1552,g,True
98.969,0.1553,g,True
98.969,0.1553,g,True
99.172,0.1554,g,True
99.375,0.1554,g,True
99.578,0.1555,g,True
99.781,0.1555,g,True
99.781,0.1555,g,True
99.985,0.1556,g,True
100.203,0.1556,g,True
100.406,0.1556,g,True
100.406,0.1556,g,True
100.61,0.1556,g,True
100.828,0.1556,g,True
101.047,0.1556,g,True
