elapsed_s,mass,unit,stable
0.219,0.0001,g,True
0.422,0.0001,g,True
0.641,0.0001,g,True
0.844,0.0001,g,True
0.844,0.0001,g,True
1.047,0.0001,g,True
1.266,0.0001,g,True
1.469,0.0001,g,True
1.672,0.0001,g,True
1.672,0.0001,g,True
1.875,0.0001,g,True
2.094,0.0001,g,True
2.297,0.0001,g,True
2.5,0.0001,g,True
2.719,0.0001,g,True
2.719,0.0001,g,True
2.922,0.0001,g,True
3.125,0.0001,g,True
3.328,0.0001,g,True
3.531,0.0001,g,True
3.531,0.0001,g,True
3.734,0.0001,g,True
3.953,0.0001,g,True
4.156,0.0001,g,True
4.359,0.0001,g,True
4.359,0.0001,g,True
4.562,0.0001,g,True
4.781,0.0001,g,True
4.984,0.0001,g,True
5.187,0.0001,g,True
5.187,0.0001,g,True
5.391,0.0001,g,True
5.594,0.0001,g,True
5.812,0.0001,g,True
6.016,0.0001,g,True
6.219,0.0001,g,True
6.219,0.0001,g,True
6.422,0.0001,g,True
6.641,0.0001,g,True
6.844,0.0001,g,True
7.047,0.0001,g,True
7.25,0.0001,g,True
7.25,0.0001,g,True
7.453,0.0001,g,True
7.672,0.0001,g,True
7.875,0.0001,g,True
8.078,0.0001,g,True
8.078,0.0001,g,True
8.281,0.0001,g,True
8.484,0.0001,g,True
8.703,0.0001,g,True
8.906,0.0001,g,True
9.109,0.0001,g,True
9.109,0.0001,g,True
9.312,0.0001,g,True
9.531,0.0001,g,True
9.734,0.0001,g,True
9.937,0.0001,g,True
9.937,0.0001,g,True
10.156,0.0002,g,True
10.375,0.0002,g,True
10.578,0.0002,g,True
10.578,0.0002,g,True
10.781,0.0002,g,True
10.984,0.0002,g,True
11.187,0.0002,g,True
11.406,0.0002,g,True
11.406,0.0002,g,True
11.609,0.0002,g,True
11.812,0.0001,g,True
12.016,0.0001,g,True
12.234,0.0001,g,True
12.234,0.0001,g,True
12.453,0.0001,g,True
12.656,0.0002,g,True
12.859,0.0003,g,True
12.859,0.0003,g,True
13.062,0.0004,g,True
13.281,0.0004,g,True
13.484,0.0004,g,True
13.687,0.0004,g,True
13.687,0.0004,g,True
13.891,0.0004,g,True
14.094,0.0004,g,True
14.312,0.0004,g,True
14.312,0.0004,g,True
14.516,0.0004,g,True
14.719,0.0004,g,True
14.922,0.0004,g,True
15.141,0.0004,g,True
15.141,0.0003,g,True
15.344,0.0002,g,True
15.547,0.0002,g,True
15.75,0.0001,g,True
