elapsed_s,mass,unit,stable
0.203,-0.0004,g,True
0.406,-0.0005,g,True
0.61,-0.0005,g,True
0.828,-0.0006,g,True
1.016,-0.0006,g,True
1.016,-0.0007,g,True
1.235,-0.0009,g,True
1.438,-0.001,g,True
1.641,-0.0011,g,True
1.641,-0.0013,g,True
1.86,-0.0014,g,True
2.063,-0.0016,g,True
2.281,-0.0017,g,True
2.281,-0.0018,g,True
2.485,-0.002,g,True
2.688,-0.0021,g,True
2.891,-0.0022,g,True
3.094,-0.0023,g,True
3.094,-0.0024,g,True
3.313,-0.0026,g,True
3.516,-0.0027,g,True
3.719,-0.0028,g,True
3.719,-0.0029,g,True
3.922,-0.0029,g,True
4.125,-0.003,g,True
4.328,-0.0031,g,True
4.531,-0.0032,g,True
4.531,-0.0033,g,True
4.75,-0.0033,g,True
4.953,-0.0034,g,True
5.172,-0.0034,g,True
5.375,-0.0035,g,True
5.578,-0.0036,g,True
5.578,-0.0037,g,True
5.781,-0.0038,g,True
5.985,-0.0039,g,True
6.188,-0.004,g,True
6.188,-0.0042,g,True
6.391,-0.0058,g,True
6.594,-0.0061,g,True
6.797,-0.0063,g,True
7.016,-0.0065,g,True
7.016,-0.0067,g,True
7.219,-0.0069,g,True
7.438,-0.0071,g,True
7.625,-0.0072,g,True
7.625,-0.0074,g,True
7.844,-0.0075,g,True
8.047,-0.0076,g,True
8.25,-0.0076,g,True
8.25,-0.0077,g,True
8.453,-0.0077,g,True
8.656,-0.0078,g,True
8.86,-0.0078,g,True
9.063,-0.0079,g,True
9.063,-0.0079,g,True
9.281,-0.008,g,True
9.5,-0.008,g,True
9.703,-0.0081,g,True
9.703,-0.0081,g,True
9.891,-0.0081,g,True
10.11,-0.0081,g,True
10.313,-0.0082,g,True
10.531,-0.0082,g,True
10.735,-0.0084,g,True
10.735,-0.0085,g,True
10.938,-0.0087,g,True
11.141,-0.0088,g,True
11.344,-0.0089,g,True
11.344,-0.009,g,True
11.547,-0.0092,g,True
11.766,-0.0093,g,True
11.985,-0.0095,g,True
12.172,-0.0096,g,True
12.172,-0.0098,g,True
12.391,-0.0099,g,True
12.61,-0.0101,g,True
12.828,-0.0102,g,True
13.031,-0.0103,g,True
13.031,-0.0104,g,True
13.25,-0.0105,g,True
13.453,-0.0106,g,True
13.656,-0.0107,g,True
13.656,-0.0108,g,True
13.86,-0.0109,g,True
14.078,-0.011,g,True
14.281,-0.0111,g,True
14.281,-0.0111,g,True
14.5,-0.0111,g,True
14.688,-0.0112,g,True
14.906,-0.0113,g,True
15.11,-0.0113,g,True
15.11,-0.0114,g,True
15.313,-0.0114,g,True
15.516,-0.0115,g,True
15.735,-0.0115,g,True
15.735,-0.0115,g,True
15.938,-0.0115,g,True
16.141,-0.0115,g,True
16.36,-0.0115,g,True
16.36,-0.0115,g,True
16.563,-0.0116,g,True
16.766,-0.0116,g,True
16.985,-0.0116,g,True
17.188,-0.0117,g,True
17.188,-0.0117,g,True
17.391,-0.0118,g,True
17.61,-0.0118,g,True
17.813,-0.0119,g,True
17.813,-0.0119,g,True
18.016,-0.012,g,True
18.235,-0.012,g,True
18.438,-0.0121,g,True
18.438,-0.0121,g,True
18.641,-0.0122,g,True
18.844,-0.0122,g,True
19.063,-0.0123,g,True
19.266,-0.0123,g,True
19.266,-0.0123,g,True
19.469,-0.0123,g,True
19.688,-0.0123,g,True
19.891,-0.0123,g,True
19.891,-0.0124,g,True
20.094,-0.0124,g,True
20.313,-0.0124,g,True
20.516,-0.0124,g,True
20.516,-0.0124,g,True
20.719,-0.0125,g,True
20.922,-0.0125,g,True
21.141,-0.0125,g,True
21.344,-0.0125,g,True
21.344,-0.0126,g,True
21.547,-0.0126,g,True
21.75,-0.0126,g,True
21.969,-0.0125,g,True
21.969,-0.0124,g,True
22.172,-0.0107,g,True
22.375,-0.0104,g,True
22.594,-0.0101,g,True
22.797,-0.0099,g,True
22.797,-0.0098,g,True
23.0,-0.0097,g,True
23.219,-0.0097,g,True
23.422,-0.0097,g,True
23.422,-0.0096,g,True
23.625,-0.0096,g,True
23.844,-0.0096,g,True
24.047,-0.0096,g,True
24.047,-0.0096,g,True
24.25,-0.0096,g,True
24.469,-0.0096,g,True
24.672,-0.0096,g,True
24.875,-0.0096,g,True
24.875,-0.0096,g,True
25.078,-0.0096,g,True
25.297,-0.0096,g,True
25.5,-0.0096,g,True
25.5,-0.0096,g,True
25.703,-0.0096,g,True
25.922,-0.0096,g,True
26.125,-0.0096,g,True
26.125,-0.0096,g,True
26.328,-0.0096,g,True
26.547,-0.0096,g,True
26.75,-0.0096,g,True
26.953,-0.0096,g,True
26.953,-0.0097,g,True
27.172,-0.0097,g,True
27.375,-0.0098,g,True
27.578,-0.0098,g,True
27.578,-0.0098,g,True
27.781,-0.0099,g,True
28.0,-0.0099,g,True
28.203,-0.0099,g,True
28.203,-0.0099,g,True
28.406,-0.01,g,True
28.625,-0.01,g,True
28.828,-0.0101,g,True
29.031,-0.0101,g,True
29.031,-0.0101,g,True
29.25,-0.0102,g,True
29.453,-0.0102,g,True
29.656,-0.0102,g,True
29.656,-0.0103,g,True
29.875,-0.0103,g,True
30.078,-0.0103,g,True
30.281,-0.0104,g,True
30.281,-0.0104,g,True
30.5,-0.0104,g,True
30.703,-0.0104,g,True
30.906,-0.0104,g,True
31.11,-0.0104,g,True
31.11,-0.0104,g,True
31.328,-0.0104,g,True
31.531,-0.0104,g,True
31.735,-0.0105,g,True
31.735,-0.0105,g,True
31.938,-0.0105,g,True
32.156,-0.0105,g,True
32.36,-0.0105,g,True
32.36,-0.0105,g,True
32.563,-0.0105,g,True
32.781,-0.0105,g,True
32.985,-0.0106,g,True
33.188,-0.0106,g,True
33.188,-0.0106,g,True
33.391,-0.0106,g,True
33.61,-0.0105,g,True
33.813,-0.0104,g,True
33.813,-0.0085,g,True
34.031,-0.0079,g,True
34.235,-0.0072,g,True
34.438,-0.0067,g,True
34.438,-0.0062,g,True
34.656,-0.0059,g,True
34.86,-0.0056,g,True
35.063,-0.0054,g,True
35.063,-0.0052,g,True
35.281,-0.0051,g,True
35.485,-0.0051,g,True
35.688,-0.005,g,True
35.891,-0.005,g,True
35.891,-0.005,g,True
36.11,-0.005,g,True
36.313,-0.005,g,True
36.516,-0.005,g,True
36.516,-0.005,g,True
36.735,-0.005,g,True
36.938,-0.005,g,True
37.141,-0.005,g,True
37.36,-0.005,g,True
37.36,-0.005,g,True
37.563,-0.005,g,True
37.766,-0.005,g,True
37.985,-0.005,g,True
37.985,-0.005,g,True
38.188,-0.0051,g,True
38.391,-0.0051,g,True
38.61,-0.0052,g,True
38.61,-0.0052,g,True
38.813,-0.0053,g,True
39.016,-0.0054,g,True
39.235,-0.0054,g,True
39.438,-0.0055,g,True
39.641,-0.0056,g,True
39.641,-0.0057,g,True
39.844,-0.0058,g,True
40.063,-0.0059,g,True
40.266,-0.0059,g,True
40.266,-0.006,g,True
40.469,-0.0061,g,True
40.688,-0.0062,g,True
40.891,-0.0062,g,True
40.891,-0.0063,g,True
41.094,-0.0064,g,True
41.313,-0.0064,g,True
41.516,-0.0065,g,True
41.719,-0.0065,g,True
41.938,-0.0066,g,True
41.938,-0.0066,g,True
42.141,-0.0067,g,True
42.344,-0.0068,g,True
42.547,-0.0068,g,True
42.766,-0.0069,g,True
42.766,-0.0069,g,True
42.969,-0.007,g,True
43.172,-0.007,g,True
43.391,-0.0071,g,True
43.594,-0.0072,g,True
43.594,-0.0072,g,True
43.797,-0.0072,g,True
44.016,-0.0072,g,True
44.219,-0.0073,g,True
44.219,-0.0073,g,True
