elapsed_s,mass,unit,stable
0.203,0.2634,g,True
0.407,0.2634,g,True
0.61,0.2634,g,True
0.813,0.2634,g,True
0.813,0.2634,g,True
1.032,0.2634,g,True
1.235,0.2634,g,True
1.438,0.2634,g,True
1.438,0.2634,g,True
1.641,0.2634,g,True
1.86,0.2634,g,True
2.063,0.2634,g,True
2.063,0.2634,g,True
2.266,0.2634,g,True
2.469,0.2635,g,True
2.672,0.2635,g,True
2.891,0.2635,g,True
2.891,0.2635,g,True
3.094,0.2635,g,True
3.297,0.2635,g,True
3.516,0.2635,g,True
3.516,0.2635,g,True
3.719,0.2635,g,True
3.938,0.2635,g,True
4.141,0.2635,g,True
4.141,0.2636,g,True
4.36,0.2636,g,True
4.578,0.2636,g,True
4.782,0.2636,g,True
4.782,0.2636,g,True
4.969,0.2636,g,True
5.172,0.2636,g,True
5.391,0.2636,g,True
5.594,0.2636,g,True
5.594,0.2636,g,True
5.813,0.2636,g,True
6.0,0.2636,g,True
6.219,0.2636,g,True
6.219,0.2636,g,True
6.422,0.2636,g,True
6.641,0.2637,g,True
6.844,0.2637,g,True
7.047,0.2637,g,True
7.047,0.2637,g,True
7.266,0.2637,g,True
7.469,0.2637,g,True
7.688,0.2637,g,True
7.688,0.2637,g,True
7.907,0.2637,g,True
8.11,0.2637,g,True
8.328,0.2637,g,True
8.328,0.2637,g,True
8.516,0.2637,g,True
8.735,0.2637,g,True
8.938,0.2637,g,True
8.938,0.2637,g,True
9.141,0.2637,g,True
9.344,0.2637,g,True
9.547,0.2637,g,True
9.75,0.2637,g,True
9.75,0.2637,g,True
9.969,0.2637,g,True
10.172,0.2637,g,True
10.375,0.2637,g,True
10.563,0.2637,g,True
10.563,0.2637,g,True
10.782,0.2637,g,True
10.985,0.2637,g,True
11.203,0.2637,g,True
11.203,0.2637,g,True
11.407,0.2637,g,True
11.625,0.2637,g,True
11.828,0.2637,g,True
11.828,0.2637,g,True
12.032,0.2637,g,True
12.25,0.2637,g,True
12.469,0.2637,g,True
12.469,0.2637,g,True
12.688,0.2637,g,True
12.891,0.2637,g,True
13.094,0.2637,g,True
13.094,0.2637,g,True
13.297,0.2637,g,True
13.5,0.2637,g,True
13.719,0.2637,g,True
13.938,0.2637,g,True
13.938,0.2637,g,True
14.141,0.2637,g,True
14.344,0.2637,g,True
14.563,0.2637,g,True
14.563,0.2637,g,True
14.782,0.2637,g,True
15.0,0.2637,g,True
15.203,0.2637,g,True
15.203,0.2637,g,True
15.391,0.2637,g,True
15.594,0.2637,g,True
15.797,0.2637,g,True
16.016,0.2637,g,True
16.016,0.2637,g,True
16.219,0.2637,g,True
16.422,0.2637,g,True
16.625,0.2637,g,True
16.625,0.2637,g,True
16.844,0.2637,g,True
17.047,0.2637,g,True
17.25,0.2637,g,True
17.25,0.2637,g,True
17.469,0.2637,g,True
17.672,0.2637,g,True
17.875,0.2637,g,True
18.078,0.2637,g,True
18.078,0.2637,g,True
18.297,0.2638,g,True
18.5,0.2638,g,True
18.703,0.2638,g,True
18.703,0.2638,g,True
18.907,0.2638,g,True
19.125,0.2638,g,True
19.328,0.2638,g,True
19.328,0.2638,g,True
19.532,0.2638,g,True
19.75,0.2638,g,True
19.953,0.2638,g,True
20.157,0.2638,g,True
20.157,0.2638,g,True
20.375,0.2638,g,True
20.578,0.2638,g,True
20.782,0.2638,g,True
20.782,0.2638,g,True
20.985,0.2638,g,True
21.203,0.2638,g,True
21.407,0.2638,g,True
21.61,0.2638,g,True
21.61,0.2638,g,True
21.813,0.2639,g,True
22.032,0.2639,g,True
22.235,0.2639,g,True
22.235,0.2639,g,True
22.438,0.2639,g,True
22.657,0.2639,g,True
22.86,0.2639,g,True
22.86,0.2639,g,True
23.063,0.2639,g,True
23.282,0.2639,g,True
23.485,0.2639,g,True
23.688,0.2639,g,True
23.688,0.2639,g,True
23.891,0.264,g,True
24.11,0.264,g,True
24.313,0.264,g,True
24.313,0.264,g,True
24.516,0.264,g,True
24.719,0.264,g,True
24.938,0.264,g,True
24.938,0.264,g,True
25.141,0.264,g,True
25.344,0.264,g,True
25.547,0.264,g,True
25.75,0.264,g,True
25.75,0.264,g,True
25.969,0.264,g,True
26.172,0.264,g,True
26.375,0.264,g,True
26.594,0.264,g,True
26.594,0.264,g,True
26.797,0.264,g,True
27.0,0.264,g,True
27.203,0.264,g,True
27.203,0.264,g,True
27.422,0.264,g,True
27.625,0.264,g,True
27.828,0.264,g,True
27.828,0.264,g,True
28.047,0.264,g,True
28.25,0.264,g,True
28.453,0.264,g,True
28.672,0.264,g,True
28.672,0.264,g,True
28.875,0.264,g,True
29.078,0.264,g,True
29.282,0.264,g,True
29.282,0.264,g,True
29.5,0.264,g,True
29.703,0.264,g,True
29.907,0.264,g,True
29.907,0.264,g,True
30.125,0.264,g,True
30.328,0.264,g,True
30.532,0.264,g,True
30.735,0.264,g,True
30.735,0.264,g,True
30.953,0.264,g,True
31.157,0.264,g,True
31.36,0.2641,g,True
31.36,0.2641,g,True
31.578,0.2641,g,True
31.782,0.2641,g,True
31.985,0.2641,g,True
31.985,0.2641,g,True
32.188,0.2641,g,True
32.407,0.2641,g,True
32.61,0.2641,g,True
32.61,0.2641,g,True
32.813,0.2641,g,True
33.032,0.2641,g,True
33.235,0.2641,g,True
33.438,0.2641,g,True
33.438,0.2641,g,True
33.641,0.2641,g,True
33.86,0.2641,g,True
34.063,0.2641,g,True
34.063,0.2641,g,True
34.266,0.2641,g,True
34.469,0.2641,g,True
34.688,0.2641,g,True
34.688,0.2641,g,True
34.891,0.2641,g,True
35.094,0.2641,g,True
35.313,0.2641,g,True
35.516,0.2641,g,True
35.516,0.2641,g,True
35.719,0.2642,g,True
35.938,0.2642,g,True
36.141,0.2642,g,True
36.141,0.2642,g,True
36.344,0.2642,g,True
36.547,0.2642,g,True
36.766,0.2642,g,True
36.969,0.2642,g,True
36.969,0.2642,g,True
37.172,0.2642,g,True
37.375,0.2642,g,True
37.594,0.2642,g,True
37.594,0.2642,g,True
37.797,0.2642,g,True
38.0,0.2642,g,True
38.219,0.2643,g,True
38.407,0.2643,g,True
38.407,0.2643,g,True
38.625,0.2643,g,True
38.844,0.2643,g,True
39.047,0.2643,g,True
39.047,0.2643,g,True
39.25,0.2643,g,True
39.453,0.2643,g,True
39.657,0.2643,g,True
39.657,0.2643,g,True
39.875,0.2643,g,True
40.078,0.2643,g,True
40.297,0.2643,g,True
40.485,0.2643,g,True
40.485,0.2643,g,True
40.688,0.2643,g,True
40.891,0.2643,g,True
41.11,0.2643,g,True
41.11,0.2643,g,True
41.313,0.2643,g,True
41.532,0.2643,g,True
41.735,0.2643,g,True
41.735,0.2643,g,True
41.938,0.2643,g,True
42.157,0.2643,g,True
42.375,0.2643,g,True
42.578,0.2643,g,True
42.578,0.2643,g,True
42.782,0.2643,g,True
42.985,0.2643,g,True
43.188,0.2643,g,True
43.188,0.2643,g,True
43.407,0.2643,g,True
43.625,0.2643,g,True
43.828,0.2643,g,True
43.828,0.2643,g,True
44.047,0.2643,g,True
44.25,0.2643,g,True
44.453,0.2643,g,True
44.453,0.2643,g,True
