elapsed_s,mass,unit,stable
19.281,-0.0889,g,True
19.484,-0.0875,g,True
19.484,-0.0863,g,True
19.687,-0.0853,g,True
19.906,-0.0844,g,True
20.109,-0.0836,g,True
20.109,-0.083,g,True
20.312,-0.0824,g,True
20.531,-0.0819,g,True
20.734,-0.0814,g,True
20.734,-0.081,g,True
20.937,-0.0806,g,True
21.14,-0.0802,g,True
21.359,-0.0798,g,True
21.562,-0.0795,g,True
21.562,-0.0792,g,True
21.765,-0.0789,g,True
21.968,-0.0785,g,True
22.187,-0.0783,g,True
22.187,-0.078,g,True
22.39,-0.0777,g,True
22.593,-0.0774,g,True
22.812,-0.0771,g,True
23.015,-0.0768,g,True
23.015,-0.0765,g,True
23.218,-0.0763,g,True
23.437,-0.076,g,True
23.64,-0.0757,g,True
23.64,-0.0755,g,True
23.843,-0.0752,g,True
24.062,-0.0749,g,True
24.265,-0.0747,g,True
24.265,-0.0745,g,True
24.468,-0.0742,g,True
24.672,-0.074,g,True
24.89,-0.0737,g,True
25.093,-0.0735,g,True
25.093,-0.0733,g,True
25.297,-0.073,g,True
25.515,-0.0728,g,True
25.718,-0.0726,g,True
25.718,-0.0724,g,True
25.922,-0.0721,g,True
26.14,-0.0719,g,True
26.343,-0.0717,g,True
26.343,-0.0715,g,True
26.547,-0.0713,g,True
26.75,-0.071,g,True
26.968,-0.0707,g,True
27.172,-0.0703,g,True
27.172,-0.0698,g,True
27.375,-0.0691,g,True
27.578,-0.0683,g,True
27.797,-0.0673,g,True
27.797,-0.0663,g,True
28.0,-0.0651,g,True
28.203,-0.0638,g,True
28.406,-0.0624,g,True
28.406,-0.061,g,True
28.625,-0.0596,g,True
28.828,-0.0582,g,True
29.031,-0.057,g,True
29.25,-0.0559,g,True
29.25,-0.055,g,True
29.453,-0.0542,g,True
29.656,-0.0536,g,True
29.875,-0.053,g,True
29.875,-0.0526,g,True
30.078,-0.0521,g,True
30.281,-0.0518,g,True
30.484,-0.0515,g,True
30.5,-0.0513,g,True
30.703,-0.051,g,True
30.906,-0.0508,g,True
31.109,-0.0506,g,True
31.328,-0.0505,g,True
31.328,-0.0503,g,True
31.531,-0.0501,g,True
31.734,-0.05,g,True
31.937,-0.0498,g,True
31.937,-0.0496,g,True
32.156,-0.0494,g,True
32.359,-0.0492,g,True
32.562,-0.049,g,True
32.765,-0.0489,g,True
32.765,-0.0487,g,True
32.984,-0.0485,g,True
33.187,-0.0484,g,True
33.39,-0.0482,g,True
33.39,-0.0481,g,True
33.609,-0.0479,g,True
33.812,-0.0478,g,True
34.015,-0.0476,g,True
34.015,-0.0474,g,True
34.234,-0.0473,g,True
34.437,-0.0471,g,True
34.64,-0.047,g,True
34.64,-0.0468,g,True
34.843,-0.0467,g,True
35.062,-0.0465,g,True
35.265,-0.0464,g,True
35.468,-0.0462,g,True
35.468,-0.0461,g,True
35.687,-0.0459,g,True
35.89,-0.0458,g,True
36.093,-0.0456,g,True
36.093,-0.0455,g,True
36.312,-0.0453,g,True
36.515,-0.0452,g,True
36.718,-0.045,g,True
36.937,-0.0449,g,True
36.937,-0.0448,g,True
37.14,-0.0446,g,True
37.343,-0.0445,g,True
37.562,-0.0444,g,True
37.562,-0.0442,g,True
37.781,-0.0441,g,True
37.984,-0.044,g,True
38.187,-0.0438,g,True
38.187,-0.0437,g,True
38.406,-0.0436,g,True
38.609,-0.0436,g,True
38.812,-0.0436,g,True
38.812,-0.0434,g,True
39.015,-0.0434,g,True
39.234,-0.0433,g,True
39.437,-0.0433,g,True
39.64,-0.0432,g,True
39.64,-0.0431,g,True
39.859,-0.0431,g,True
40.062,-0.043,g,True
40.265,-0.043,g,True
40.265,-0.0429,g,True
40.484,-0.0429,g,True
40.687,-0.0427,g,True
40.89,-0.0426,g,True
41.109,-0.0425,g,True
41.109,-0.0423,g,True
41.312,-0.0405,g,True
41.531,-0.0399,g,True
41.734,-0.0391,g,True
41.734,-0.0382,g,True
41.937,-0.0371,g,True
42.156,-0.036,g,True
42.359,-0.0347,g,True
42.562,-0.0334,g,True
42.562,-0.0321,g,True
42.765,-0.0308,g,True
42.968,-0.0296,g,True
43.187,-0.0285,g,True
43.187,-0.0275,g,True
43.39,-0.0267,g,True
43.593,-0.026,g,True
43.812,-0.0255,g,True
44.015,-0.025,g,True
44.015,-0.0246,g,True
44.218,-0.0243,g,True
44.437,-0.024,g,True
44.64,-0.0238,g,True
44.64,-0.0236,g,True
44.843,-0.0234,g,True
45.047,-0.0233,g,True
45.265,-0.0231,g,True
45.265,-0.023,g,True
45.468,-0.0229,g,True
45.672,-0.0227,g,True
45.875,-0.0226,g,True
46.093,-0.0226,g,True
46.093,-0.0226,g,True
46.297,-0.0225,g,True
46.5,-0.0225,g,True
46.703,-0.0224,g,True
46.703,-0.0224,g,True
46.922,-0.0223,g,True
47.125,-0.0223,g,True
47.328,-0.0222,g,True
47.328,-0.0222,g,True
47.547,-0.0221,g,True
47.75,-0.0221,g,True
47.953,-0.0219,g,True
48.156,-0.0219,g,True
48.375,-0.0218,g,True
48.375,-0.0217,g,True
48.578,-0.0216,g,True
48.781,-0.0215,g,True
48.984,-0.0214,g,True
48.984,-0.0213,g,True
49.203,-0.0212,g,True
49.406,-0.0211,g,True
49.609,-0.021,g,True
49.828,-0.0209,g,True
49.828,-0.0208,g,True
50.031,-0.0207,g,True
50.234,-0.0206,g,True
50.437,-0.0205,g,True
50.656,-0.0204,g,True
50.656,-0.0203,g,True
50.859,-0.0202,g,True
51.062,-0.0201,g,True
51.265,-0.02,g,True
51.484,-0.0199,g,True
51.484,-0.0198,g,True
51.687,-0.0197,g,True
51.89,-0.0196,g,True
52.109,-0.0195,g,True
52.109,-0.0194,g,True
52.312,-0.0193,g,True
52.515,-0.0192,g,True
52.734,-0.0191,g,True
52.937,-0.019,g,True
52.937,-0.0189,g,True
53.14,-0.0188,g,True
53.343,-0.0187,g,True
53.562,-0.0186,g,True
53.765,-0.0186,g,True
53.765,-0.0185,g,True
53.984,-0.0184,g,True
54.187,-0.0183,g,True
54.39,-0.0182,g,True
54.39,-0.0181,g,True
54.593,-0.018,g,True
54.812,-0.0179,g,True
55.015,-0.0178,g,True
55.015,-0.0177,g,True
55.218,-0.0176,g,True
55.422,-0.0175,g,True
55.64,-0.0159,g,True
55.843,-0.0153,g,True
56.047,-0.0145,g,True
56.047,-0.0136,g,True
56.25,-0.0125,g,True
56.468,-0.0114,g,True
56.672,-0.0101,g,True
56.672,-0.0088,g,True
56.875,-0.0075,g,True
57.093,-0.0063,g,True
57.297,-0.0052,g,True
57.5,-0.0042,g,True
57.5,-0.0034,g,True
57.718,-0.0027,g,True
57.922,-0.0021,g,True
58.125,-0.0016,g,True
58.125,-0.0012,g,True
58.328,-0.0009,g,True
58.547,-0.0006,g,True
58.75,-0.0004,g,True
58.953,-0.0001,g,True
58.953,0.0001,g,True
59.172,0.0001,g,True
59.375,0.0001,g,True
59.578,0.0002,g,True
59.781,0.0002,g,True
59.781,0.0003,g,True
60.0,0.0003,g,True
60.203,0.0004,g,True
60.406,0.0004,g,True
60.406,0.0005,g,True
60.625,0.0005,g,True
60.828,0.0006,g,True
61.031,0.0006,g,True
61.234,0.0007,g,True
61.234,0.0007,g,True
61.468,0.0008,g,True
61.672,0.0009,g,True
61.875,0.001,g,True
62.093,0.0011,g,True
62.093,0.0012,g,True
62.297,0.0013,g,True
62.5,0.0014,g,True
62.718,0.0015,g,True
62.718,0.0015,g,True
62.922,0.0016,g,True
63.125,0.0017,g,True
63.343,0.0018,g,True
63.343,0.0019,g,True
63.547,0.0019,g,True
63.75,0.002,g,True
63.953,0.0021,g,True
64.172,0.0022,g,True
64.172,0.0022,g,True
64.375,0.0023,g,True
64.578,0.0024,g,True
64.797,0.0025,g,True
64.797,0.0026,g,True
65.0,0.0026,g,True
65.203,0.0027,g,True
65.406,0.0028,g,True
65.625,0.0029,g,True
65.625,0.0029,g,True
65.828,0.003,g,True
66.031,0.0031,g,True
66.25,0.0032,g,True
66.453,0.0032,g,True
66.453,0.0033,g,True
66.656,0.0034,g,True
66.875,0.0034,g,True
67.078,0.0035,g,True
67.078,0.0036,g,True
67.281,0.0037,g,True
67.484,0.0037,g,True
67.703,0.0038,g,True
67.906,0.0039,g,True
68.109,0.004,g,True
68.109,0.004,g,True
68.328,0.0041,g,True
68.531,0.0042,g,True
68.734,0.0043,g,True
68.937,0.0043,g,True
68.937,0.0044,g,True
69.156,0.0045,g,True
69.359,0.0046,g,True
69.562,0.0046,g,True
69.781,0.0047,g,True
69.984,0.0048,g,True
69.984,0.0048,g,True
70.187,0.0049,g,True
70.406,0.005,g,True
70.609,0.005,g,True
70.812,0.0051,g,True
70.812,0.0052,g,True
71.015,0.0053,g,True
71.234,0.0053,g,True
71.437,0.0053,g,True
71.437,0.0055,g,True
71.64,0.0055,g,True
71.843,0.0056,g,True
72.062,0.0057,g,True
72.265,0.0057,g,True
72.265,0.0058,g,True
72.468,0.0059,g,True
72.687,0.006,g,True
72.89,0.006,g,True
72.89,0.006,g,True
73.093,0.0062,g,True
73.297,0.0062,g,True
73.515,0.0062,g,True
73.515,0.0064,g,True
73.718,0.0064,g,True
73.922,0.0064,g,True
74.14,0.0066,g,True
74.343,0.0066,g,True
74.343,0.0067,g,True
74.547,0.0067,g,True
74.75,0.0068,g,True
74.968,0.0068,g,True
75.172,0.0069,g,True
75.39,0.0069,g,True
75.39,0.007,g,True
75.609,0.0071,g,True
75.812,0.0071,g,True
76.015,0.0072,g,True
76.234,0.0072,g,True
76.234,0.0073,g,True
76.437,0.0073,g,True
76.64,0.0075,g,True
76.843,0.0075,g,True
77.062,0.0076,g,True
77.062,0.0077,g,True
77.265,0.0078,g,True
77.468,0.0098,g,True
77.672,0.0106,g,True
77.672,0.0115,g,True
77.89,0.0125,g,True
78.093,0.0137,g,True
78.297,0.0149,g,True
78.515,0.0162,g,True
78.515,0.0174,g,True
78.718,0.0186,g,True
78.922,0.0196,g,True
79.125,0.0205,g,True
79.14,0.0212,g,True
79.343,0.0218,g,True
79.547,0.0223,g,True
79.75,0.0228,g,True
79.75,0.0231,g,True
79.968,0.0234,g,True
80.172,0.0236,g,True
80.375,0.0237,g,True
80.593,0.0239,g,True
80.593,0.024,g,True
80.797,0.0241,g,True
81.0,0.0241,g,True
81.218,0.0242,g,True
81.218,0.0242,g,True
81.422,0.0243,g,True
81.625,0.0243,g,True
81.828,0.0243,g,True
81.828,0.0244,g,True
82.047,0.0244,g,True
82.25,0.0244,g,True
82.453,0.0245,g,True
82.656,0.0245,g,True
82.656,0.0245,g,True
82.875,0.0245,g,True
83.078,0.0246,g,True
83.281,0.0246,g,True
83.281,0.0247,g,True
83.5,0.0247,g,True
83.703,0.0248,g,True
83.906,0.0248,g,True
83.906,0.0249,g,True
84.125,0.025,g,True
84.328,0.025,g,True
84.531,0.0251,g,True
84.75,0.0251,g,True
84.75,0.0253,g,True
84.953,0.0253,g,True
85.156,0.0254,g,True
85.359,0.0254,g,True
85.359,0.0255,g,True
85.578,0.0256,g,True
85.781,0.0256,g,True
85.984,0.0257,g,True
85.984,0.0257,g,True
86.203,0.0258,g,True
86.406,0.0258,g,True
86.609,0.0259,g,True
86.828,0.026,g,True
86.828,0.026,g,True
87.031,0.0261,g,True
87.234,0.0261,g,True
87.437,0.0262,g,True
87.437,0.0262,g,True
87.656,0.0263,g,True
87.859,0.0263,g,True
88.062,0.0264,g,True
88.062,0.0264,g,True
88.281,0.0265,g,True
88.484,0.0265,g,True
88.687,0.0266,g,True
88.906,0.0266,g,True
88.906,0.0267,g,True
89.109,0.0267,g,True
89.312,0.0268,g,True
89.515,0.0268,g,True
89.515,0.0269,g,True
89.734,0.0269,g,True
89.937,0.027,g,True
90.14,0.0271,g,True
90.14,0.0271,g,True
90.359,0.0272,g,True
90.562,0.0272,g,True
90.765,0.0273,g,True
90.984,0.0274,g,True
90.984,0.0275,g,True
91.187,0.0276,g,True
91.39,0.0292,g,True
91.593,0.0299,g,True
91.593,0.0308,g,True
91.812,0.0318,g,True
92.015,0.0329,g,True
92.218,0.0341,g,True
92.218,0.0353,g,True
92.422,0.0366,g,True
92.64,0.0377,g,True
92.843,0.0388,g,True
93.047,0.0397,g,True
93.047,0.0405,g,True
93.265,0.0412,g,True
93.468,0.0417,g,True
93.672,0.0421,g,True
93.875,0.0425,g,True
93.875,0.0427,g,True
94.093,0.043,g,True
94.297,0.0432,g,True
94.5,0.0433,g,True
94.5,0.0434,g,True
94.703,0.0435,g,True
94.922,0.0435,g,True
95.125,0.0436,g,True
95.125,0.0436,g,True
