elapsed_s,mass,unit,stable
0.203,0.8172,g,True
0.407,0.8172,g,True
0.625,0.8172,g,True
0.844,0.8172,g,True
0.844,0.8173,g,True
1.047,0.8173,g,True
1.25,0.8173,g,True
1.485,0.8173,g,True
1.485,0.8174,g,True
1.688,0.8174,g,True
1.891,0.8174,g,True
2.094,0.8175,g,True
2.313,0.8175,g,True
2.313,0.8175,g,True
2.516,0.8175,g,True
2.735,0.8175,g,True
2.938,0.8175,g,True
2.938,0.8175,g,True
3.141,0.8176,g,True
3.36,0.8176,g,True
3.563,0.8176,g,True
3.563,0.8176,g,True
3.766,0.8177,g,True
3.985,0.8177,g,True
4.188,0.8177,g,True
4.188,0.8178,g,True
4.391,0.8178,g,True
4.594,0.8178,g,True
4.813,0.8178,g,True
5.016,0.8178,g,True
5.016,0.8178,g,True
5.235,0.8179,g,True
5.422,0.8179,g,True
5.625,0.8179,g,True
5.625,0.818,g,True
5.844,0.818,g,True
6.047,0.818,g,True
6.266,0.8181,g,True
6.453,0.8181,g,True
6.453,0.8181,g,True
6.672,0.8181,g,True
6.875,0.8181,g,True
7.094,0.8181,g,True
7.094,0.8182,g,True
7.313,0.8182,g,True
7.516,0.8182,g,True
7.719,0.8183,g,True
7.719,0.8183,g,True
7.922,0.8183,g,True
8.141,0.8184,g,True
8.344,0.8184,g,True
8.344,0.8184,g,True
8.547,0.8184,g,True
8.75,0.8184,g,True
8.953,0.8184,g,True
9.172,0.8184,g,True
9.172,0.8185,g,True
9.375,0.8185,g,True
9.578,0.8185,g,True
9.782,0.8186,g,True
9.782,0.8186,g,True
9.985,0.8186,g,True
10.203,0.8186,g,True
10.407,0.8187,g,True
10.625,0.8187,g,True
10.625,0.8187,g,True
10.828,0.8187,g,True
11.032,0.8187,g,True
11.235,0.8187,g,True
11.235,0.8187,g,True
11.438,0.8187,g,True
11.641,0.8187,g,True
11.844,0.8188,g,True
12.063,0.8188,g,True
12.063,0.8188,g,True
12.266,0.8188,g,True
12.469,0.8188,g,True
12.672,0.8189,g,True
12.672,0.8189,g,True
12.891,0.8189,g,True
13.094,0.8189,g,True
13.282,0.8189,g,True
13.485,0.819,g,True
13.485,0.819,g,True
13.703,0.819,g,True
13.907,0.819,g,True
14.125,0.819,g,True
14.125,0.819,g,True
14.328,0.819,g,True
14.532,0.819,g,True
14.735,0.819,g,True
14.938,0.819,g,True
14.938,0.819,g,True
15.157,0.819,g,True
15.36,0.819,g,True
15.547,0.819,g,True
15.547,0.819,g,True
15.766,0.819,g,True
15.985,0.8191,g,True
16.188,0.8191,g,True
16.188,0.8191,g,True
16.391,0.8191,g,True
16.594,0.8192,g,True
16.797,0.8192,g,True
17.016,0.8192,g,True
17.016,0.8193,g,True
17.219,0.8193,g,True
17.438,0.8193,g,True
17.641,0.8193,g,True
17.641,0.8193,g,True
17.844,0.8193,g,True
18.047,0.8193,g,True
18.25,0.8193,g,True
18.453,0.8194,g,True
18.453,0.8194,g,True
18.657,0.8194,g,True
18.86,0.8194,g,True
19.063,0.8194,g,True
19.063,0.8194,g,True
19.282,0.8195,g,True
19.485,0.8195,g,True
19.703,0.8195,g,True
19.703,0.8195,g,True
19.922,0.8195,g,True
20.125,0.8196,g,True
20.328,0.8196,g,True
20.547,0.8196,g,True
20.547,0.8196,g,True
20.75,0.8196,g,True
20.953,0.8196,g,True
21.172,0.8196,g,True
21.172,0.8196,g,True
21.375,0.8197,g,True
21.578,0.8197,g,True
21.782,0.8197,g,True
21.782,0.8197,g,True
21.985,0.8198,g,True
22.203,0.8198,g,True
22.407,0.8198,g,True
22.61,0.8198,g,True
22.61,0.8199,g,True
22.813,0.8199,g,True
23.016,0.8199,g,True
23.235,0.8199,g,True
23.235,0.8199,g,True
23.438,0.8199,g,True
23.641,0.8199,g,True
23.844,0.82,g,True
24.047,0.82,g,True
24.047,0.82,g,True
24.266,0.82,g,True
24.469,0.8201,g,True
24.672,0.8201,g,True
24.672,0.8201,g,True
24.875,0.8201,g,True
25.078,0.8201,g,True
25.297,0.8202,g,True
25.5,0.8202,g,True
25.5,0.8202,g,True
25.703,0.8202,g,True
25.907,0.8202,g,True
26.11,0.8202,g,True
26.11,0.8202,g,True
26.328,0.8202,g,True
26.532,0.8202,g,True
26.735,0.8202,g,True
26.735,0.8202,g,True
26.938,0.8203,g,True
27.157,0.8203,g,True
27.36,0.8203,g,True
27.563,0.8203,g,True
27.563,0.8203,g,True
27.766,0.8203,g,True
27.985,0.8203,g,True
28.188,0.8204,g,True
28.188,0.8204,g,True
28.391,0.8204,g,True
28.594,0.8204,g,True
28.797,0.8204,g,True
29.0,0.8204,g,True
29.0,0.8205,g,True
29.219,0.8205,g,True
29.422,0.8205,g,True
29.625,0.8205,g,True
29.625,0.8205,g,True
29.828,0.8205,g,True
30.032,0.8206,g,True
30.25,0.8206,g,True
30.453,0.8206,g,True
30.453,0.8207,g,True
30.657,0.8207,g,True
30.875,0.8207,g,True
31.078,0.8208,g,True
31.078,0.8208,g,True
31.282,0.8208,g,True
31.485,0.8209,g,True
31.703,0.8209,g,True
31.703,0.8209,g,True
31.907,0.8209,g,True
32.11,0.8209,g,True
32.313,0.821,g,True
32.532,0.821,g,True
32.532,0.821,g,True
32.735,0.821,g,True
32.938,0.8211,g,True
33.141,0.8211,g,True
33.36,0.8211,g,True
33.36,0.8211,g,True
33.563,0.8212,g,True
33.766,0.8212,g,True
33.969,0.8212,g,True
33.969,0.8212,g,True
34.188,0.8212,g,True
34.391,0.8212,g,True
34.594,0.8212,g,True
34.594,0.8212,g,True
34.797,0.8212,g,True
35.016,0.8212,g,True
35.219,0.8213,g,True
35.422,0.8213,g,True
35.422,0.8213,g,True
35.625,0.8213,g,True
35.828,0.8214,g,True
36.032,0.8214,g,True
36.032,0.8214,g,True
36.235,0.8215,g,True
36.453,0.8215,g,True
36.657,0.8215,g,True
36.657,0.8215,g,True
36.86,0.8215,g,True
37.063,0.8215,g,True
37.282,0.8215,g,True
37.485,0.8216,g,True
37.485,0.8216,g,True
37.688,0.8216,g,True
37.891,0.8216,g,True
38.11,0.8217,g,True
38.11,0.8217,g,True
38.313,0.8217,g,True
38.516,0.8217,g,True
38.719,0.8218,g,True
38.938,0.8218,g,True
38.938,0.8218,g,True
39.141,0.8218,g,True
39.344,0.8218,g,True
39.547,0.8218,g,True
39.547,0.8218,g,True
39.75,0.8218,g,True
39.969,0.8218,g,True
40.172,0.8218,g,True
40.172,0.8218,g,True
40.375,0.8218,g,True
40.578,0.8218,g,True
40.797,0.8218,g,True
41.0,0.8218,g,True
41.0,0.8218,g,True
41.203,0.8218,g,True
41.407,0.8218,g,True
41.625,0.8218,g,True
41.828,0.8218,g,True
41.828,0.8218,g,True
42.032,0.8218,g,True
42.235,0.8218,g,True
42.453,0.8218,g,True
42.453,0.8219,g,True
42.657,0.8219,g,True
42.86,0.8219,g,True
43.063,0.8219,g,True
43.063,0.8219,g,True
43.282,0.8219,g,True
43.485,0.8219,g,True
43.688,0.8219,g,True
43.688,0.822,g,True
43.891,0.822,g,True
44.11,0.822,g,True
44.313,0.822,g,True
44.516,0.822,g,True
44.516,0.822,g,True
44.719,0.822,g,True
44.938,0.822,g,True
45.141,0.822,g,True
45.141,0.8221,g,True
45.344,0.8221,g,True
45.563,0.8221,g,True
45.766,0.8221,g,True
45.969,0.8221,g,True
45.969,0.8221,g,True
46.172,0.8221,g,True
46.375,0.8221,g,True
46.578,0.8221,g,True
46.578,0.8221,g,True
46.797,0.8221,g,True
47.0,0.8222,g,True
47.203,0.8222,g,True
47.407,0.8222,g,True
47.407,0.8223,g,True
47.625,0.8223,g,True
47.828,0.8223,g,True
48.032,0.8224,g,True
48.032,0.8224,g,True
48.235,0.8224,g,True
48.438,0.8224,g,True
48.641,0.8224,g,True
48.641,0.8224,g,True
48.86,0.8224,g,True
49.063,0.8224,g,True
49.266,0.8225,g,True
49.469,0.8225,g,True
49.469,0.8225,g,True
49.672,0.8225,g,True
49.891,0.8226,g,True
50.094,0.8226,g,True
50.094,0.8226,g,True
50.297,0.8226,g,True
50.5,0.8227,g,True
50.703,0.8227,g,True
50.907,0.8227,g,True
50.907,0.8227,g,True
51.125,0.8227,g,True
51.328,0.8227,g,True
51.532,0.8227,g,True
51.532,0.8227,g,True
51.735,0.8227,g,True
51.938,0.8227,g,True
52.157,0.8227,g,True
52.36,0.8227,g,True
52.36,0.8227,g,True
52.563,0.8227,g,True
52.766,0.8227,g,True
52.969,0.8227,g,True
52.969,0.8227,g,True
53.188,0.8227,g,True
53.391,0.8227,g,True
53.594,0.8228,g,True
53.797,0.8228,g,True
53.797,0.8228,g,True
54.016,0.8228,g,True
54.219,0.8228,g,True
54.422,0.8228,g,True
54.422,0.8229,g,True
54.625,0.8229,g,True
54.844,0.8229,g,True
55.047,0.8229,g,True
55.25,0.823,g,True
55.25,0.823,g,True
55.453,0.823,g,True
55.672,0.823,g,True
55.891,0.823,g,True
55.891,0.823,g,True
56.094,0.823,g,True
56.297,0.823,g,True
56.516,0.823,g,True
56.516,0.8231,g,True
56.719,0.8231,g,True
56.922,0.8231,g,True
57.125,0.8231,g,True
57.344,0.8231,g,True
57.344,0.8231,g,True
57.547,0.8231,g,True
57.75,0.8232,g,True
57.953,0.8232,g,True
57.953,0.8232,g,True
58.172,0.8232,g,True
58.375,0.8232,g,True
58.578,0.8232,g,True
58.782,0.8232,g,True
58.782,0.8233,g,True
59.0,0.8233,g,True
59.203,0.8233,g,True
59.407,0.8233,g,True
59.407,0.8233,g,True
59.61,0.8233,g,True
59.813,0.8233,g,True
60.016,0.8233,g,True
60.016,0.8233,g,True
60.235,0.8233,g,True
60.438,0.8233,g,True
60.641,0.8233,g,True
60.844,0.8234,g,True
60.844,0.8234,g,True
