elapsed_s,mass,unit,stable
0.203,0.8854,g,True
0.422,0.8854,g,True
0.625,0.8854,g,True
0.625,0.8854,g,True
0.828,0.8854,g,True
1.047,0.8854,g,True
1.25,0.8855,g,True
1.25,0.8855,g,True
1.453,0.8855,g,True
1.672,0.8855,g,True
1.891,0.8855,g,True
1.891,0.8855,g,True
2.094,0.8855,g,True
2.313,0.8855,g,True
2.5,0.8855,g,True
2.719,0.8855,g,True
2.719,0.8855,g,True
2.922,0.8855,g,True
3.141,0.8855,g,True
3.344,0.8855,g,True
3.344,0.8855,g,True
3.563,0.8855,g,True
3.766,0.8855,g,True
3.969,0.8855,g,True
3.969,0.8855,g,True
4.188,0.8855,g,True
4.407,0.8855,g,True
4.61,0.8855,g,True
4.61,0.8855,g,True
4.828,0.8855,g,True
5.016,0.8855,g,True
5.235,0.8855,g,True
5.438,0.8855,g,True
5.438,0.8855,g,True
5.657,0.8855,g,True
5.875,0.8855,g,True
6.078,0.8855,g,True
6.078,0.8855,g,True
6.282,0.8855,g,True
6.485,0.8855,g,True
6.688,0.8855,g,True
6.688,0.8855,g,True
6.907,0.8855,g,True
7.11,0.8855,g,True
7.313,0.8855,g,True
7.313,0.8855,g,True
7.516,0.8856,g,True
7.735,0.8856,g,True
7.938,0.8856,g,True
8.141,0.8857,g,True
8.141,0.8857,g,True
8.36,0.8857,g,True
8.563,0.8857,g,True
8.766,0.8857,g,True
8.766,0.8858,g,True
8.969,0.8858,g,True
9.172,0.8858,g,True
9.391,0.8858,g,True
9.594,0.8858,g,True
9.594,0.8858,g,True
9.797,0.8858,g,True
10.0,0.8858,g,True
10.219,0.8858,g,True
10.219,0.8858,g,True
10.422,0.8858,g,True
10.625,0.8858,g,True
10.813,0.8858,g,True
11.032,0.8858,g,True
11.032,0.8858,g,True
11.235,0.8858,g,True
11.438,0.8858,g,True
11.641,0.8858,g,True
11.844,0.8858,g,True
11.844,0.8858,g,True
12.047,0.8858,g,True
12.266,0.8858,g,True
12.469,0.8858,g,True
12.469,0.8858,g,True
12.672,0.8858,g,True
12.875,0.8858,g,True
13.078,0.8858,g,True
13.078,0.8858,g,True
13.282,0.8858,g,True
13.485,0.8858,g,True
13.703,0.8858,g,True
13.907,0.8858,g,True
13.907,0.8858,g,True
14.11,0.8858,g,True
14.313,0.8858,g,True
14.516,0.8858,g,True
14.719,0.8858,g,True
14.719,0.8858,g,True
14.922,0.8858,g,True
15.125,0.8858,g,True
15.344,0.8858,g,True
15.344,0.8858,g,True
15.547,0.8858,g,True
15.75,0.8858,g,True
15.969,0.8858,g,True
15.969,0.8858,g,True
16.172,0.8858,g,True
16.391,0.8858,g,True
16.594,0.8858,g,True
16.594,0.8858,g,True
16.813,0.8858,g,True
17.032,0.8858,g,True
17.235,0.8858,g,True
17.438,0.8858,g,True
17.438,0.8858,g,True
17.641,0.8858,g,True
17.86,0.8858,g,True
18.063,0.8858,g,True
18.063,0.8858,g,True
18.282,0.8858,g,True
18.485,0.8858,g,True
18.688,0.8858,g,True
18.688,0.8858,g,True
18.891,0.8858,g,True
19.11,0.8858,g,True
19.313,0.8858,g,True
19.516,0.8858,g,True
19.516,0.8858,g,True
19.735,0.8858,g,True
19.938,0.8858,g,True
20.141,0.8858,g,True
20.141,0.8858,g,True
20.36,0.8858,g,True
20.578,0.8858,g,True
20.782,0.8858,g,True
20.782,0.8858,g,True
20.985,0.8858,g,True
21.203,0.8858,g,True
21.407,0.8859,g,True
21.407,0.8859,g,True
21.61,0.8859,g,True
21.828,0.8859,g,True
22.032,0.8859,g,True
22.235,0.8859,g,True
22.235,0.8859,g,True
22.453,0.8859,g,True
22.657,0.886,g,True
22.86,0.886,g,True
22.86,0.886,g,True
23.078,0.886,g,True
23.282,0.886,g,True
23.485,0.886,g,True
23.485,0.886,g,True
23.688,0.886,g,True
23.907,0.886,g,True
24.11,0.886,g,True
24.313,0.886,g,True
24.313,0.886,g,True
24.547,0.886,g,True
24.75,0.886,g,True
24.953,0.886,g,True
24.953,0.886,g,True
25.188,0.886,g,True
25.391,0.886,g,True
25.594,0.886,g,True
25.594,0.886,g,True
25.813,0.886,g,True
26.016,0.886,g,True
26.219,0.886,g,True
26.219,0.886,g,True
26.422,0.886,g,True
26.641,0.886,g,True
26.844,0.886,g,True
26.844,0.886,g,True
27.047,0.886,g,True
27.266,0.886,g,True
27.469,0.886,g,True
27.672,0.886,g,True
27.672,0.886,g,True
27.891,0.886,g,True
28.094,0.886,g,True
28.297,0.886,g,True
28.297,0.886,g,True
28.5,0.886,g,True
28.719,0.886,g,True
28.922,0.886,g,True
28.922,0.886,g,True
29.125,0.886,g,True
29.344,0.886,g,True
29.547,0.886,g,True
29.75,0.886,g,True
29.75,0.886,g,True
29.953,0.886,g,True
30.172,0.886,g,True
30.375,0.886,g,True
30.375,0.886,g,True
30.578,0.886,g,True
30.797,0.886,g,True
31.0,0.886,g,True
31.0,0.886,g,True
31.203,0.886,g,True
31.407,0.886,g,True
31.625,0.886,g,True
31.828,0.886,g,True
31.828,0.886,g,True
32.032,0.886,g,True
32.25,0.886,g,True
32.453,0.886,g,True
32.453,0.886,g,True
32.657,0.886,g,True
32.86,0.886,g,True
33.078,0.886,g,True
33.078,0.886,g,True
33.282,0.886,g,True
33.485,0.886,g,True
33.703,0.886,g,True
33.907,0.886,g,True
33.907,0.886,g,True
34.11,0.886,g,True
34.328,0.886,g,True
34.532,0.886,g,True
34.532,0.886,g,True
34.735,0.886,g,True
34.953,0.886,g,True
35.157,0.886,g,True
35.157,0.886,g,True
35.36,0.886,g,True
35.578,0.886,g,True
35.782,0.886,g,True
35.985,0.886,g,True
35.985,0.886,g,True
36.188,0.886,g,True
36.407,0.886,g,True
36.61,0.886,g,True
36.61,0.886,g,True
36.813,0.8861,g,True
37.016,0.8861,g,True
37.235,0.8861,g,True
37.438,0.8861,g,True
37.438,0.8861,g,True
37.641,0.8861,g,True
37.86,0.8862,g,True
38.063,0.8862,g,True
38.063,0.8862,g,True
38.266,0.8862,g,True
38.485,0.8863,g,True
38.688,0.8863,g,True
38.688,0.8863,g,True
38.891,0.8863,g,True
39.094,0.8863,g,True
39.313,0.8863,g,True
39.516,0.8863,g,True
39.516,0.8863,g,True
39.719,0.8863,g,True
39.922,0.8863,g,True
40.141,0.8863,g,True
40.141,0.8863,g,True
40.344,0.8863,g,True
40.547,0.8863,g,True
40.766,0.8863,g,True
40.969,0.8863,g,True
40.969,0.8863,g,True
41.172,0.8863,g,True
41.375,0.8863,g,True
41.594,0.8863,g,True
41.594,0.8863,g,True
41.797,0.8863,g,True
42.0,0.8863,g,True
42.219,0.8863,g,True
42.219,0.8863,g,True
42.422,0.8863,g,True
42.625,0.8863,g,True
42.844,0.8863,g,True
43.047,0.8863,g,True
43.047,0.8863,g,True
43.25,0.8863,g,True
43.469,0.8863,g,True
43.672,0.8863,g,True
43.672,0.8863,g,True
43.875,0.8863,g,True
44.078,0.8863,g,True
44.297,0.8863,g,True
44.297,0.8863,g,True
44.5,0.8863,g,True
44.703,0.8863,g,True
44.907,0.8863,g,True
45.125,0.8863,g,True
45.125,0.8863,g,True
45.328,0.8863,g,True
45.532,0.8863,g,True
45.75,0.8863,g,True
45.75,0.8863,g,True
45.953,0.8863,g,True
46.157,0.8863,g,True
46.375,0.8863,g,True
46.375,0.8863,g,True
46.578,0.8863,g,True
46.782,0.8863,g,True
46.985,0.8863,g,True
47.203,0.8863,g,True
47.203,0.8863,g,True
47.407,0.8863,g,True
47.61,0.8863,g,True
47.828,0.8863,g,True
47.828,0.8863,g,True
48.032,0.8863,g,True
48.235,0.8863,g,True
48.453,0.8863,g,True
48.453,0.8863,g,True
48.657,0.8863,g,True
