frame,mm
1,0.5
2,0.5
3,0.6
4,0.7
5,0.8
6,1
7,1.2
8,1.4
9,1.6
10,1.8
11,2.1
12,2.3
13,2.6
14,2.8
15,3
16,3.2
17,3.5
18,3.7
19,3.9
20,4
21,4.2
22,4.5
23,4.8
24,5
25,5.2
26,5.5
27,5.9
28,6.1
29,6.4
30,6.7
31,7
32,7.3
33,7.6
34,8
35,8.3
36,9
37,9.3
38,9.6
39,10
40,10.5
41,11
42,11.5
43,12
44,12.4
45,13
46,13.8
47,14.4
48,14.8
49,15.1
50,15.9
51,16.5
52,17
53,17.5
54,18.2
55,18.8
56,19.2
57,19.9
58,20.1
59,20.2
60,20.4
61,20.8
62,21
63,21.5
64,21.8
65,22
66,22.3
67,22.4
68,22.6
69,22.7
70,22.8
71,22.9
72,23
73,23
74,23
75,23
76,23
77,23
78,23
79,23
80,23
81,23
82,23
83,23
84,23
85,23
86,23
87,23
88,23
89,23
90,23
91,23
92,23
93,23
94,23
95,23
96,23
97,23
98,23
99,23
100,23
101,23
102,23
103,23
104,23
105,23
106,23
107,23
108,23
109,23
110,23
111,23
112,23
113,23
114,23
115,23
116,23
117,22.9
118,22.8
119,22.7
120,22.7
121,22.6
122,22.5
123,22.4
124,22.2
125,22.1
126,22
127,22
128,21.85
129,21.7
130,21.55
131,21.35
132,21.15
133,20.9
134,20.7
135,20.5
136,20.3
137,20.1
138,19.8
139,19.55
140,19.2
141,18.85
142,18.6
143,18.45
144,18.2
145,17.95
146,17.7
147,17.45
148,17.2
149,16.866
150,16.533
151,16.2
152,15.7
153,15.2
154,14.7
155,14.2
156,13.7
157,13.2
158,12.7
159,12.2
160,11.6
161,11
162,10.3
163,10.1
164,9.5
165,8.9
166,8
167,7.8
168,7.6
169,7.3
170,7
171,6.666
172,6.333
173,6
174,5.8
175,5.6
176,5.4
177,5.2
178,5.15
179,5.1
180,5.05
181,5
182,4.95
183,4.9
184,4.88
185,4.86
186,4.84
187,4.82
188,4.82
189,4.82
190,4.82
191,4.82
192,4.82
193,4.82
194,4.82
195,4.82
196,4.82
197,4.82
198,4.82
199,4.82
200,4.82
201,4.82
202,4.82
203,4.82
204,4.82
205,4.82
206,4.82
207,4.82
208,4.82
209,4.82
210,4.815
211,4.81
212,4.805
213,4.8
214,4.764
215,4.728
216,4.692
217,4.656
218,4.62
219,4.584
220,4.548
221,4.512
222,4.476
223,4.44
224,4.404
225,4.368
226,4.332
227,4.296
228,4.26
229,4.224
230,4.188
231,4.152
232,4.116
233,4.08
234,4.044
235,4.008
236,3.972
237,3.936
238,3.9
239,3.864
240,3.828
241,3.792
242,3.756
243,3.72
244,3.684
245,3.648
246,3.612
247,3.576
248,3.54
249,3.504
250,3.468
251,3.432
252,3.396
253,3.36
254,3.324
255,3.288
256,3.252
257,3.216
258,3.18
259,3.144
260,3.108
261,3.072
262,3.036
263,3
264,2.964
265,2.928
266,2.892
267,2.856
268,2.82
269,2.784
270,2.748
271,2.712
272,2.676
273,2.64
274,2.604
275,2.568
276,2.532
277,2.496
278,2.46
279,2.424
280,2.388
281,2.352
282,2.316
283,2.28
284,2.244
285,2.208
286,2.172
287,2.136
288,2.1
289,2.064
290,2.028
291,1.992
292,1.956
293,1.92
294,1.884
295,1.848
296,1.812
297,1.776
298,1.74
299,1.704
300,1.668
301,1.632
302,1.596
303,1.56
304,1.524
305,1.488
306,1.452
307,1.416
308,1.38
309,1.344
310,1.308
311,1.272
312,1.236
313,1.2
314,1.164
315,1.128
316,1.092
317,1.056
318,1.02
319,0.984
320,0.948
321,0.912
322,0.876
323,0.84
324,0.804
325,0.768
326,0.732
327,0.696
328,0.66
329,0.624
330,0.588
331,0.552
332,0.516
333,0.48
334,0.444
335,0.408
336,0.372
337,0.336
338,0.3
339,0.264
340,0.228
341,0.192
342,0.156
343,0.12
344,0.084
345,0.048
346,0.012
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
