time_s,position_mm,raw_value
1.6,0.019,10643
1.615,0.025,10642
1.63,0.032,10641
1.644,0.025,10642
1.658,0.019,10643
1.673,0.019,10643
1.686,0.038,10640
1.7,0.032,10641
1.715,0.025,10642
1.729,0.0,10647
1.744,0.044,10639
0.009,0.019,10643
0.024,0.051,10638
0.039,0.171,10619
0.054,0.367,10588
0.069,0.487,10569
0.084,0.766,10525
0.099,1.268,10454
0.114,1.866,10378
0.129,2.552,10276
0.143,3.201,10179
0.158,4.125,10047
0.173,5.014,9897
0.188,5.867,9717
0.203,7.152,9586
0.218,9.089,9374
0.232,10.682,9007
0.248,12.243,8625
0.262,14.682,8153
0.277,16.631,7828
0.292,18.726,7480
0.307,20.492,7137
0.322,21.063,7003
0.337,21.928,6810
0.351,22.407,6706
0.366,22.602,6664
0.381,22.824,6616
0.396,22.884,6603
0.411,22.884,6603
0.426,22.875,6605
0.441,22.884,6603
0.456,22.866,6607
0.47,22.898,6600
0.485,22.884,6603
0.5,22.889,6602
0.515,22.898,6600
0.53,22.81,6619
0.545,22.736,6635
0.56,22.602,6664
0.575,22.343,6720
0.59,22.088,6775
0.604,21.726,6855
0.62,21.188,6975
0.634,20.75,7076
0.649,20.085,7233
0.664,19.221,7387
0.679,18.209,7584
0.694,17.041,7767
0.709,15.497,8010
0.724,14.273,8225
0.739,12.523,8559
0.754,11.029,8915
0.769,7.37,9566
0.783,6.73,9624
0.798,5.474,9800
0.813,5.232,9851
0.828,4.988,9902
0.843,4.923,9913
0.858,4.905,9916
0.873,4.923,9913
0.887,4.923,9913
0.902,4.935,9911
0.917,4.929,9912
0.932,4.94,9910
0.947,4.833,9928
0.962,4.738,9944
0.977,4.625,9963
0.992,4.5,9984
1.007,4.345,10010
1.021,4.202,10034
1.036,4.095,10052
1.051,3.986,10070
1.066,3.849,10089
1.081,3.669,10114
1.096,3.54,10132
1.111,3.388,10153
1.125,3.223,10176
1.141,3.079,10196
1.155,2.994,10208
1.17,2.864,10228
1.185,2.714,10251
1.2,2.604,10268
1.215,2.442,10293
1.23,2.325,10311
1.245,2.208,10329
1.26,2.13,10341
1.275,1.953,10367
1.289,1.811,10385
1.304,1.701,10399
1.319,1.551,10418
1.334,1.409,10436
1.349,1.362,10442
1.364,1.181,10465
1.379,1.047,10482
1.393,0.956,10495
1.408,0.772,10524
1.423,0.778,10523
1.438,0.646,10544
1.453,0.557,10558
1.468,0.411,10581
1.483,0.348,10591
1.498,0.304,10598
1.512,0.152,10622
1.527,0.082,10633
1.542,0.038,10640
1.557,0.051,10638
1.572,0.038,10640
1.587,0.057,10637
1.602,0.038,10640
1.617,0.044,10639
1.631,0.051,10638
1.647,0.038,10640
1.661,0.051,10638
1.676,0.057,10637
0.014,0.051,10638
0.028,0.146,10623
0.043,0.259,10605
0.058,0.399,10583
0.073,0.601,10551
0.088,0.994,10489
0.103,1.575,10415
0.117,2.143,10339
0.132,2.831,10233
0.147,3.511,10136
0.162,4.363,10007
0.177,5.379,9820
0.192,6.371,9656
0.207,7.598,9545
0.222,9.537,9283
0.236,11.188,8877
0.251,12.915,8467
0.266,14.983,8100
0.281,17.17,7748
0.296,19.378,7360
0.311,20.462,7144
0.326,21.426,6922
0.34,22.306,6728
0.355,22.481,6690
0.37,22.787,6624
0.385,22.954,6588
0.4,22.995,6579
0.415,22.995,6579
0.43,22.991,6580
0.445,22.991,6580
0.46,22.995,6579
0.475,22.981,6582
0.489,23.0,6578
0.504,22.995,6579
0.519,22.991,6580
0.534,22.88,6604
0.549,22.81,6619
0.564,22.616,6661
0.579,22.347,6719
0.594,22.102,6772
0.608,21.713,6858
0.623,21.188,6975
0.638,20.644,7101
0.653,20.013,7250
0.668,19.116,7405
0.683,17.98,7629
0.698,16.826,7799
0.713,15.429,8022
0.728,13.782,8311
0.743,11.579,8783
0.757,9.394,9312
0.772,7.543,9550
0.787,6.438,9650
0.802,5.379,9820
0.817,5.199,9858
0.832,4.982,9903
0.847,4.976,9904
0.862,4.982,9903
0.877,5.0,9900
0.891,4.964,9906
0.906,4.982,9903
0.921,4.97,9905
0.936,4.988,9902
0.951,4.899,9917
0.966,4.792,9935
0.981,4.649,9959
0.996,4.524,9980
1.01,4.399,10001
1.025,4.238,10028
1.04,4.149,10043
1.055,4.036,10062
1.07,3.863,10087
1.085,3.748,10103
1.1,3.59,10125
1.115,3.417,10149
1.129,3.281,10168
1.144,3.144,10187
1.159,3.043,10201
1.174,2.909,10221
1.189,2.753,10245
1.204,2.669,10258
1.219,2.506,10283
