time_s,position_mm,raw_value
0.012,0.342,10592
0.027,0.551,10559
0.041,0.753,10527
0.057,0.924,10500
0.071,1.157,10468
0.086,1.638,10407
0.101,2.149,10338
0.116,2.63,10264
0.131,3.453,10144
0.146,4.321,10014
0.161,5.085,9882
0.176,5.967,9696
0.191,7.152,9586
0.205,8.293,9474
0.22,10.479,9061
0.235,12.077,8664
0.25,13.885,8293
0.265,15.891,7941
0.28,18.244,7577
0.295,20.331,7175
0.309,21.493,6907
0.324,22.25,6740
0.339,23.225,6542
0.354,23.531,6493
0.369,23.887,6436
0.384,24.124,6390
0.399,24.133,6388
0.414,24.111,6393
0.428,24.116,6392
0.444,24.098,6396
0.458,24.138,6387
0.473,24.129,6389
0.488,24.133,6388
0.503,24.129,6389
0.518,24.124,6390
0.533,23.975,6422
0.548,23.887,6436
0.563,23.594,6483
0.578,23.256,6537
0.593,22.931,6593
0.607,22.528,6680
0.622,22.097,6773
0.637,21.507,6904
0.652,20.835,7056
0.667,20.182,7210
0.682,19.076,7412
0.697,18.0,7626
0.712,16.47,7852
0.727,14.915,8112
0.742,12.728,8511
0.757,10.551,9042
0.771,8.302,9473
0.786,7.587,9546
0.801,6.146,9676
0.816,5.815,9728
0.831,5.569,9780
0.846,5.569,9780
0.861,5.555,9783
0.876,5.559,9782
0.891,5.521,9790
0.906,5.55,9784
0.921,5.578,9778
0.935,5.578,9778
0.95,5.464,9802
0.965,5.346,9827
0.98,5.303,9836
0.995,5.156,9867
1.01,5.014,9897
1.025,4.958,9907
1.04,4.81,9932
1.055,4.667,9956
1.07,4.554,9975
1.084,4.423,9997
1.099,4.244,10027
1.114,4.095,10052
1.129,3.993,10069
1.144,3.82,10093
1.159,3.727,10106
1.174,3.568,10128
1.189,3.403,10151
1.204,3.259,10171
1.218,3.086,10195
1.233,2.968,10212
1.248,2.818,10235
1.263,2.688,10255
1.278,2.558,10275
1.293,2.377,10303
1.308,2.273,10319
1.323,2.175,10334
1.338,2.0,10361
1.353,1.843,10381
1.368,1.819,10384
1.382,1.638,10407
1.397,1.433,10433
1.412,1.378,10440
1.427,1.244,10457
1.442,1.087,10477
1.457,1.0,10488
1.472,0.873,10508
1.487,0.772,10524
1.502,0.658,10542
1.517,0.576,10555
1.531,0.443,10576
1.546,0.342,10592
1.561,0.278,10602
1.576,0.184,10617
1.591,0.063,10636
1.606,0.07,10635
1.621,0.076,10634
1.636,0.057,10637
1.651,0.057,10637
1.666,0.057,10637
1.68,0.0,10646
1.695,0.07,10635
1.71,0.076,10634
