time_s,position_mm,raw_value
0.261,14.825,7988
0.276,16.447,7721
0.291,18.656,7329
0.306,20.237,7000
0.321,21.11,6845
0.335,22.155,6651
0.351,22.61,6554
0.366,22.803,6513
0.38,23.055,6459
0.395,23.055,6451
0.41,23.055,6449
0.425,23.055,6444
0.44,23.055,6449
0.455,23.055,6448
0.47,23.055,6448
0.485,23.055,6450
0.499,23.055,6451
0.514,23.055,6450
0.529,22.981,6475
0.544,22.906,6491
0.559,22.7,6535
0.574,22.46,6586
0.589,22.239,6633
0.604,21.912,6700
0.618,21.32,6807
0.633,20.757,6908
0.648,19.902,7064
0.663,19.236,7214
0.678,18.2,7411
0.693,17.074,7623
0.708,15.571,7862
0.723,14.024,8121
0.738,11.909,8482
0.753,10.688,8810
0.767,7.903,9472
0.783,7.43,9516
0.797,5.918,9659
0.812,5.33,9766
0.827,5.066,9814
0.842,4.952,9834
0.857,4.91,9841
0.872,4.922,9839
0.887,4.916,9840
0.902,4.94,9836
0.917,4.94,9836
0.931,4.97,9831
0.946,4.861,9849
0.961,4.759,9866
0.976,4.627,9888
0.991,4.446,9918
1.006,4.313,9940
1.021,4.205,9958
1.036,4.06,9982
1.051,3.917,10004
1.065,3.792,10022
1.08,3.597,10050
1.095,3.465,10069
1.11,3.319,10090
1.125,3.174,10111
1.14,3.007,10135
1.155,2.878,10154
1.17,2.757,10172
1.184,2.581,10198
1.2,2.473,10214
1.214,2.304,10239
1.229,2.176,10258
1.244,2.095,10270
1.259,1.925,10296
1.274,1.788,10318
1.289,1.675,10336
1.304,1.581,10351
1.318,1.469,10369
1.333,1.356,10387
1.348,1.231,10407
1.363,1.125,10424
1.378,1.031,10439
1.393,0.924,10457
1.408,0.825,10474
1.423,0.749,10487
1.438,0.62,10509
1.452,0.556,10520
1.467,0.433,10541
1.483,0.345,10556
1.497,0.246,10573
1.512,0.158,10588
1.527,0.088,10600
1.542,0.058,10605
1.557,0.053,10606
1.572,0,10615
1.587,0.012,10613
1.601,0.006,10614
1.616,0.006,10614
1.631,0,10616
1.646,0.006,10614
1.661,0.018,10612
1.676,0.012,10613
1.691,0,10617
1.706,0.006,10614
1.72,0.006,10614
1.736,0,10617
