time_s,position_mm,raw_value
0.009,0.064,10604
0.024,0.187,10583
0.039,0.31,10562
0.054,0.509,10528
0.069,0.76,10485
0.084,1.081,10431
0.099,1.475,10368
0.113,1.925,10296
0.128,2.676,10184
0.143,3.5,10064
0.158,4.313,9940
0.173,5.28,9775
0.188,6.273,9620
0.203,7.419,9517
0.218,9.337,9116
0.232,10.74,8797
0.247,12.292,8408
0.262,14.801,7992
0.277,16.75,7675
0.292,18.811,7301
0.307,20.401,6971
0.322,21.315,6808
0.336,22.315,6617
0.351,22.681,6539
0.366,22.939,6484
0.381,23.171,6434
0.396,23.184,6431
0.411,23.175,6433
0.426,23.194,6429
0.441,23.161,6436
0.456,23.161,6436
0.471,23.166,6435
0.485,23.189,6430
0.5,23.189,6430
0.515,23.175,6433
0.53,23.083,6453
0.545,22.939,6484
0.56,22.765,6521
0.575,22.493,6579
0.59,22.277,6625
0.605,21.945,6694
0.62,21.365,6799
0.635,20.814,6898
0.65,19.902,7064
0.664,19.236,7214
0.679,18.194,7412
0.694,17.089,7620
0.709,15.612,7855
0.724,14.066,8114
0.739,11.971,8465
0.754,10.144,8946
0.769,7.613,9499
0.784,7.452,9514
0.799,5.692,9700
0.814,5.451,9744
0.828,5.104,9807
0.843,5.038,9819
0.858,5.06,9815
0.873,5.033,9820
0.888,5.011,9824
0.903,4.988,9828
0.918,5.005,9825
0.933,5.016,9823
0.947,4.922,9839
0.962,4.771,9864
0.977,4.657,9883
0.992,4.536,9903
1.007,4.398,9926
1.022,4.259,9949
1.037,4.096,9976
1.052,3.986,9994
1.067,3.854,10013
1.082,3.688,10037
1.097,3.576,10053
1.112,3.396,10079
1.126,3.194,10108
1.141,3.09,10123
1.156,2.939,10145
1.171,2.804,10165
1.186,2.642,10189
1.201,2.5,10210
1.216,2.392,10226
1.23,2.216,10252
1.246,2.115,10267
1.26,1.975,10288
1.275,1.85,10308
1.29,1.738,10326
1.305,1.625,10344
1.32,1.494,10365
1.335,1.413,10378
1.35,1.337,10390
1.365,1.194,10413
1.379,1.094,10429
1.394,0.982,10447
1.409,0.865,10467
1.424,0.76,10485
1.439,0.667,10501
1.454,0.573,10517
1.469,0.45,10538
1.484,0.409,10545
1.499,0.281,10567
1.514,0.181,10584
1.529,0.111,10596
1.543,0.064,10604
1.558,0.064,10604
1.573,0.0,10617
1.588,0.0,10622
1.603,0.0,10617
1.618,0.0,10620
1.633,0.0,10622
1.648,0.0,10619
1.663,0.0,10620
1.677,0.0,10618
1.692,0.0,10619
