cycle,time_s,position_mm,read_count,raw_rate_hz
1,0.0005,0.0,2,200.0
1,0.0105,0.0,3,300.0
1,0.0205,0.0,2,200.0
1,0.0305,0.0,2,200.0
1,0.0405,0.0,2,200.0
1,0.0505,0.0,2,200.0
1,0.0605,0.0,2,200.0
1,0.0705,0.0112,2,200.0
1,0.0805,0.1118,3,300.0
1,0.0905,0.2149,2,200.0
1,0.1005,0.3317,2,200.0
1,0.1105,0.4758,2,200.0
1,0.1205,0.6137,2,200.0
1,0.1305,0.9276,3,300.0
1,0.1405,1.1951,2,200.0
1,0.1505,1.4708,2,200.0
1,0.1605,1.7714,2,200.0
1,0.1705,2.1516,2,200.0
1,0.1805,2.9395,3,300.0
1,0.1905,3.46,2,200.0
1,0.2005,3.934,2,200.0
1,0.2105,4.4455,2,200.0
1,0.2205,5.0183,2,200.0
1,0.2305,5.9564,3,300.0
1,0.2405,6.5703,2,200.0
1,0.2506,7.2955,2,200.0
1,0.2605,8.2571,2,200.0
1,0.2705,9.2281,2,200.0
1,0.2805,10.1989,2,200.0
1,0.2905,11.769,3,300.0
1,0.3005,13.0466,2,200.0
1,0.3105,14.4109,2,200.0
1,0.3205,15.6653,2,200.0
1,0.3305,16.7266,2,200.0
1,0.3405,18.6044,3,300.0
1,0.3505,19.6517,2,200.0
1,0.3605,20.3271,2,200.0
1,0.3705,20.9169,2,200.0
1,0.3805,21.5664,2,200.0
1,0.3905,22.1697,2,200.0
1,0.4005,22.5387,2,200.0
1,0.4105,22.7803,3,300.0
1,0.4205,22.985,2,200.0
1,0.4305,23.1432,2,200.0
1,0.4405,23.1625,2,200.0
1,0.4505,23.1545,2,200.0
1,0.4605,23.1364,2,200.0
1,0.4705,23.1239,2,200.0
1,0.4805,23.1398,3,300.0
1,0.4905,23.1557,2,200.0
1,0.5005,23.1625,2,200.0
1,0.5105,23.1636,2,200.0
1,0.5205,23.1591,2,200.0
1,0.5305,23.1466,3,300.0
1,0.5405,23.1398,2,200.0
1,0.5505,23.142,2,200.0
1,0.5605,23.142,2,200.0
1,0.5705,23.1102,2,200.0
1,0.5806,23.0292,2,200.0
1,0.5905,22.9271,2,200.0
1,0.6005,22.7792,3,300.0
1,0.6105,22.6312,2,200.0
1,0.6205,22.4543,2,200.0
1,0.6305,22.2543,2,200.0
1,0.6405,21.9896,3,300.0
1,0.6505,21.819,2,200.0
1,0.6605,21.5957,2,200.0
1,0.6705,21.3241,2,200.0
1,0.6805,20.8373,3,300.0
1,0.6905,20.3875,2,200.0
1,0.7005,19.8708,2,200.0
1,0.7105,19.3816,2,200.0
1,0.7205,18.8006,2,200.0
1,0.7305,18.1627,2,200.0
1,0.7405,17.5007,2,200.0
1,0.7505,16.8064,2,200.0
1,0.7605,15.9744,2,200.0
1,0.7705,14.4926,3,300.0
1,0.7805,13.322,2,200.0
1,0.7905,12.2336,2,200.0
1,0.8005,11.1096,2,200.0
1,0.8105,9.1501,3,300.0
1,0.8205,8.2092,2,200.0
1,0.8305,7.8266,2,200.0
1,0.8405,7.2987,2,200.0
1,0.8505,6.3636,2,200.0
1,0.8605,5.7411,2,200.0
1,0.8705,5.5616,2,200.0
1,0.8805,5.2477,3,300.0
1,0.8905,5.0884,2,200.0
1,0.9005,5.043,2,200.0
1,0.9105,5.0326,2,200.0
1,0.9205,5.0419,2,200.0
1,0.9305,5.043,2,200.0
1,0.9405,5.0407,3,300.0
1,0.9505,5.0442,2,200.0
1,0.9605,5.0465,2,200.0
1,0.9705,5.0535,2,200.0
1,0.9805,5.0581,2,200.0
1,0.9905,5.0408,2,200.0
1,1.0005,4.9866,2,200.0
1,1.0105,4.8926,2,200.0
1,1.0206,4.7966,2,200.0
1,1.0306,4.7051,2,200.0
1,1.0405,4.5714,3,300.0
1,1.0505,4.4857,2,200.0
1,1.0605,4.4046,2,200.0
1,1.0705,4.3314,2,200.0
1,1.0805,4.2594,2,200.0
1,1.0905,4.1131,3,300.0
1,1.1005,4.0399,2,200.0
1,1.1105,3.9785,2,200.0
1,1.1205,3.9059,2,200.0
1,1.1305,3.8271,2,200.0
1,1.1405,3.7388,2,200.0
1,1.1505,3.6635,2,200.0
1,1.1605,3.5894,2,200.0
1,1.1705,3.4588,3,300.0
1,1.1805,3.3871,2,200.0
1,1.1905,3.3176,2,200.0
1,1.2005,3.24,2,200.0
1,1.2105,3.1671,2,200.0
1,1.2205,3.0523,3,300.0
1,1.2305,2.9506,2,200.0
1,1.2405,2.8344,2,200.0
1,1.2505,2.7131,2,200.0
1,1.2605,2.6,2,200.0
1,1.2705,2.5,2,200.0
1,1.2805,2.3951,2,200.0
1,1.2905,2.2541,3,300.0
1,1.3005,2.1738,2,200.0
1,1.3105,2.0736,2,200.0
1,1.3205,1.9659,2,200.0
1,1.3305,1.8806,2,200.0
1,1.3405,1.7806,2,200.0
1,1.3505,1.6306,3,300.0
1,1.3605,1.5667,2,200.0
1,1.3705,1.5097,2,200.0
1,1.3805,1.4431,2,200.0
1,1.3905,1.3403,2,200.0
1,1.4005,1.2125,3,300.0
1,1.4105,1.1347,2,200.0
1,1.4205,1.0653,2,200.0
1,1.4305,0.9948,2,200.0
1,1.4405,0.9293,2,200.0
1,1.4505,0.8509,2,200.0
1,1.4605,0.7839,2,200.0
1,1.4705,0.7342,2,200.0
1,1.4805,0.6571,2,200.0
1,1.4906,0.5988,2,200.0
1,1.5005,0.4894,3,300.0
1,1.5105,0.4199,2,200.0
1,1.5205,0.3764,2,200.0
1,1.5305,0.3242,2,200.0
1,1.5405,0.2571,2,200.0
1,1.5505,0.1888,2,200.0
1,1.5605,0.0981,3,300.0
1,1.5705,0.0472,2,200.0
1,1.5805,0.0137,2,200.0
1,1.5905,0.0,2,200.0
1,1.6005,0.0,2,200.0
1,1.6105,0.0,3,300.0
1,1.6205,0.0,2,200.0
1,1.6305,0.0,2,200.0
1,1.6405,0.0,2,200.0
1,1.6505,0.0,2,200.0
1,1.6605,0.0,3,300.0
1,1.6705,0.0,2,200.0
1,1.6805,0.0,2,200.0
1,1.6905,0.0,2,200.0
1,1.7005,0.0,2,200.0
1,1.7105,0.0,2,200.0
1,1.7205,0.0,2,200.0
1,1.7305,0.0,3,300.0
1,1.7405,0.0,2,200.0
1,1.7505,0.0,2,200.0
2,0.0034,0.0,2,200.0
2,0.0135,0.0,2,200.0
2,0.0234,0.0,3,300.0
2,0.0334,0.0,2,200.0
2,0.0434,0.0,2,200.0
2,0.0534,0.0037,2,200.0
2,0.0634,0.0435,2,200.0
2,0.0734,0.1441,2,200.0
2,0.0834,0.3255,3,300.0
2,0.0934,0.436,2,200.0
2,0.1034,0.5677,2,200.0
2,0.1134,0.6981,2,200.0
2,0.1234,0.8335,2,200.0
2,0.1334,1.1711,3,300.0
2,0.1434,1.4708,2,200.0
2,0.1534,1.7533,2,200.0
2,0.1634,2.1143,2,200.0
2,0.1734,2.5978,2,200.0
2,0.1834,3.3447,3,300.0
2,0.1934,3.7564,2,200.0
2,0.2034,4.2202,2,200.0
2,0.2134,4.7743,2,200.0
2,0.2234,5.6512,3,300.0
2,0.2334,6.2864,2,200.0
2,0.2434,6.9757,2,200.0
2,0.2534,7.7536,2,200.0
2,0.2634,8.724,2,200.0
2,0.2735,9.7271,2,200.0
2,0.2834,11.0997,3,300.0
2,0.2934,12.1814,2,200.0
2,0.3034,13.5303,2,200.0
2,0.3134,14.9084,2,200.0
2,0.3234,16.0826,2,200.0
2,0.3334,17.2218,2,200.0
2,0.3434,18.5223,2,200.0
2,0.3534,19.8814,2,200.0
2,0.3634,21.187,3,300.0
2,0.3734,21.5814,2,200.0
2,0.3834,22.0616,2,200.0
2,0.3934,22.6811,2,200.0
2,0.4034,23.0254,2,200.0
2,0.4135,23.1557,2,200.0
2,0.4234,23.3307,3,300.0
2,0.4334,23.3886,2,200.0
2,0.4434,23.4318,2,200.0
2,0.4534,23.4114,2,200.0
2,0.4634,23.4023,2,200.0
2,0.4734,23.3909,3,300.0
2,0.4834,23.3898,2,200.0
2,0.4934,23.3875,2,200.0
2,0.5034,23.3955,2,200.0
2,0.5134,23.3977,2,200.0
2,0.5234,23.4023,2,200.0
2,0.5334,23.4023,2,200.0
2,0.5434,23.3932,2,200.0
2,0.5534,23.3818,2,200.0
2,0.5634,23.3625,3,300.0
2,0.5734,23.3193,2,200.0
2,0.5834,23.242,2,200.0
2,0.5935,23.1102,3,300.0
2,0.6034,22.9958,2,200.0
2,0.6134,22.8404,2,200.0
2,0.6234,22.659,2,200.0
2,0.6334,22.4636,2,200.0
