cycle,time_s,position_mm,raw_value
1,-0.0327,0.5322,10524
1,-0.0278,0.5731,10517
1,-0.0229,0.655,10503
1,-0.0189,0.7778,10482
1,-0.0147,0.8304,10473
1,-0.0098,0.9298,10456
1,-0.0049,1.0562,10435
1,0.0,1.1562,10419
1,0.0054,1.6062,10347
1,0.0101,1.9062,10299
1,0.0151,2.0676,10274
1,0.02,2.3108,10238
1,0.025,2.6554,10187
1,0.0297,2.8986,10151
1,0.0336,3.1528,10114
1,0.0379,3.4931,10065
1,0.0426,3.75,10028
1,0.0465,4.0723,9980
1,0.0508,4.3795,9929
1,0.0557,4.7229,9872
1,0.0607,5.044,9818
1,0.0654,5.2912,9773
1,0.0693,5.5385,9728
1,0.0736,5.8187,9677
1,0.0785,6.3864,9610
1,0.0834,6.8864,9566
1,0.0883,7.2688,9531
1,0.0932,7.8065,9481
1,0.0983,8.1613,9418
1,0.1033,8.5986,9296
1,0.1082,8.9928,9186
1,0.113,9.896,9003
1,0.1169,10.544,8846
1,0.1209,10.964,8741
1,0.125,11.4182,8617
1,0.13,12.0357,8451
1,0.1348,12.7798,8326
1,0.1398,13.4207,8220
1,0.1447,13.9695,8130
1,0.1496,14.4639,8048
1,0.1535,14.8735,7980
1,0.1574,15.0882,7944
1,0.1616,15.3353,7902
1,0.1666,15.6118,7855
1,0.1715,16.0263,7785
1,0.1764,16.4342,7723
1,0.1813,16.7105,7681
1,0.1852,17.0158,7634
1,0.1894,17.4158,7558
1,0.1944,17.6632,7511
1,0.1993,17.8737,7471
1,0.2042,18.1389,7422
1,0.2091,18.3889,7377
1,0.2131,18.6167,7336
1,0.217,18.7889,7305
1,0.2212,19.0489,7256
1,0.2261,19.2889,7202
1,0.231,19.4089,7175
1,0.2359,19.4089,7175
1,0.2398,19.44,7168
1,0.2441,19.5556,7142
1,0.249,19.6533,7120
1,0.2539,19.7022,7109
1,0.2587,19.7067,7108
1,0.2626,19.7289,7103
1,0.2668,19.7289,7103
1,0.2717,19.6311,7125
1,0.2767,19.5289,7148
1,0.2814,19.4178,7173
1,0.2857,19.2533,7210
1,0.2906,19.1022,7244
