stroke_no,direction,time_s,position_mm,raw_value
1,UP,-0.0047,0.0468,10607
1,UP,0.0019,0.4737,10534
1,UP,0.0064,1.0625,10434
1,UP,0.0114,1.4312,10375
1,UP,0.0163,1.6375,10342
1,UP,0.0213,1.5875,10350
1,UP,0.0263,1.4312,10375
1,UP,0.0312,1.0,10444
1,UP,0.0363,0.4971,10530
1,UP,0.0411,0.2924,10565
1,UP,0.0462,0.462,10536
1,UP,0.051,0.4269,10542
1,UP,0.0561,0.2281,10576
1,UP,0.0609,0.3099,10562
1,UP,0.0661,0.3158,10561
1,UP,0.0708,0.2398,10574
1,UP,0.0748,0.2865,10566
1,UP,0.0799,0.2749,10568
1,UP,0.085,0.1754,10585
1,UP,0.0898,0.269,10569
1,UP,0.0949,0.2515,10572
1,UP,0.0997,0.2456,10573
2,DOWN,-0.001,0.1813,10584
2,DOWN,0.0041,0.0468,10607
2,DOWN,0.0086,0.0292,10610
2,DOWN,0.0128,0.0117,10613
2,DOWN,0.0177,0.0,10616
2,DOWN,0.0226,0.0175,10612
2,DOWN,0.0275,0.076,10602
2,DOWN,0.0314,0.0468,10607
2,DOWN,0.0353,0.0,10619
2,DOWN,0.0396,0.0585,10605
2,DOWN,0.0445,0.0526,10606
2,DOWN,0.0494,0.0292,10610
2,DOWN,0.0543,0.0292,10610
2,DOWN,0.0592,0.0,10617
2,DOWN,0.0631,0.0585,10605
2,DOWN,0.0674,0.0351,10609
2,DOWN,0.0723,0.0351,10609
2,DOWN,0.0772,0.0351,10609
2,DOWN,0.0821,0.0234,10611
2,DOWN,0.086,0.0351,10609
2,DOWN,0.0902,0.0585,10605
2,DOWN,0.0951,0.0585,10605
2,DOWN,0.1001,0.0351,10609
3,UP,-0.001,0.1871,10583
3,UP,0.004,0.6608,10502
3,UP,0.0078,1.125,10424
3,UP,0.0117,1.4125,10378
3,UP,0.016,1.6438,10341
3,UP,0.0209,1.7312,10327
3,UP,0.0258,1.4312,10375
3,UP,0.0307,1.1438,10421
3,UP,0.0346,0.7719,10483
3,UP,0.0389,0.269,10569
3,UP,0.0438,0.3801,10550
3,UP,0.0487,0.5673,10518
3,UP,0.0536,0.5965,10513
3,UP,0.0585,0.4854,10532
3,UP,0.0624,0.3626,10553
3,UP,0.0667,0.2398,10574
3,UP,0.0716,0.345,10556
3,UP,0.0765,0.2807,10567
3,UP,0.0814,0.2573,10571
3,UP,0.0864,0.2924,10565
3,UP,0.0914,0.3216,10560
3,UP,0.0963,0.269,10569
4,DOWN,-0.0037,0.1813,10584
4,DOWN,0.0013,0.152,10589
4,DOWN,0.0063,0.0351,10609
4,DOWN,0.0113,0.0409,10608
4,DOWN,0.0161,0.076,10602
4,DOWN,0.0203,0.0585,10605
4,DOWN,0.0252,0.076,10602
4,DOWN,0.0302,0.0,10618
4,DOWN,0.035,0.0,10617
4,DOWN,0.0402,0.0292,10610
4,DOWN,0.0451,0.0058,10614
4,DOWN,0.0499,0.0,10615
4,DOWN,0.0541,0.0175,10612
4,DOWN,0.059,0.0,10615
4,DOWN,0.0638,0.0,10617
4,DOWN,0.0677,0.0409,10608
4,DOWN,0.072,0.0468,10607
4,DOWN,0.0768,0.0351,10609
4,DOWN,0.0819,0.0351,10609
4,DOWN,0.0868,0.0117,10613
4,DOWN,0.0917,0.0585,10605
4,DOWN,0.0967,0.0643,10604
4,DOWN,0.1016,0.0234,10611
4,DOWN,0.1065,0.0,10617
4,DOWN,0.1115,0.0526,10606
4,DOWN,0.1165,0.0292,10610
4,DOWN,0.1214,0.0351,10609
4,DOWN,0.1263,0.0,10617
4,DOWN,0.1302,0.0,10618
4,DOWN,0.1344,0.0,10618
4,DOWN,0.1393,0.0468,10607
4,DOWN,0.1442,0.0117,10613
4,DOWN,0.1492,0.0,10615
4,DOWN,0.1531,0.0,10615
4,DOWN,0.1573,0.0,10615
4,DOWN,0.1622,0.0468,10607
4,DOWN,0.1671,0.0234,10611
4,DOWN,0.172,0.0117,10613
4,DOWN,0.1769,0.0702,10603
4,DOWN,0.1808,0.0351,10609
4,DOWN,0.1851,0.0468,10607
4,DOWN,0.19,0.0234,10611
4,DOWN,0.1949,0.0351,10609
4,DOWN,0.1998,0.0526,10606
4,DOWN,0.2047,0.0058,10614
4,DOWN,0.2086,0.0,10616
4,DOWN,0.2129,0.0351,10609
4,DOWN,0.2178,0.0292,10610
4,DOWN,0.2227,0.0,10615
4,DOWN,0.2276,0.0,10617
4,DOWN,0.2325,0.0409,10608
4,DOWN,0.2364,0.0468,10607
4,DOWN,0.2407,0.0058,10614
4,DOWN,0.2456,0.0175,10612
4,DOWN,0.2505,0.0292,10610
4,DOWN,0.2554,0.0058,10614
