cycle,time_s,position_mm,raw_value
1,0.004,0.0,10617
1,0.014,0.0,10616
1,0.024,0.0,10616
1,0.034,0.0,10616
1,0.044,0.0,10616
1,0.054,0.0,10616
1,0.064,0.0234,10611
1,0.074,0.117,10595
1,0.084,0.2164,10578
1,0.094,0.3041,10563
1,0.104,0.4561,10537
1,0.114,0.5263,10525
1,0.124,0.9474,10453
1,0.134,1.1625,10418
1,0.144,1.475,10368
1,0.154,1.825,10312
1,0.164,2.3851,10227
1,0.174,2.8378,10160
1,0.184,3.375,10082
1,0.194,4.0241,9988
1,0.204,4.7651,9865
1,0.214,5.3901,9755
1,0.224,5.9835,9647
1,0.234,6.7841,9575
1,0.244,7.6989,9491
1,0.254,9.0594,9172
1,0.264,10.112,8954
1,0.274,11.0618,8715
1,0.284,12.1429,8433
1,0.294,14.1205,8105
1,0.304,15.2353,7919
1,0.314,16.4803,7716
1,0.324,17.9842,7450
1,0.334,19.4,7177
1,0.344,20.226,7002
1,0.354,20.6836,6921
1,0.364,21.4365,6786
1,0.374,22.1455,6653
1,0.384,22.4977,6578
1,0.394,22.5399,6569
1,0.404,22.7089,6533
1,0.414,22.8122,6511
1,0.424,22.9014,6492
1,0.434,22.9061,6491
1,0.444,22.8873,6495
1,0.454,22.892,6494
1,0.464,22.8967,6493
1,0.474,22.9014,6492
1,0.484,22.9061,6491
1,0.494,22.8967,6493
1,0.504,22.9202,6488
1,0.514,22.892,6494
1,0.524,22.8826,6496
1,0.534,22.892,6494
1,0.544,22.8826,6496
1,0.554,22.8592,6501
1,0.564,22.7746,6519
1,0.574,22.7183,6531
1,0.584,22.6338,6549
1,0.594,22.4836,6581
1,0.604,22.338,6612
1,0.614,22.1502,6652
1,0.624,21.9834,6687
1,0.634,21.8122,6718
1,0.644,21.4309,6787
1,0.654,21.0829,6850
1,0.664,20.6667,6924
1,0.674,20.1582,7014
1,0.684,19.6933,7111
1,0.694,19.2222,7217
1,0.704,18.6611,7328
1,0.714,17.9,7466
1,0.724,17.1263,7613
1,0.734,16.4013,7728
1,0.744,15.3471,7900
1,0.754,14.3313,8070
1,0.764,13.2683,8245
1,0.774,11.7491,8526
1,0.784,10.68,8812
1,0.794,8.6272,9288
1,0.804,7.6774,9493
1,0.814,7.5806,9502
1,0.824,7.1398,9543
1,0.834,5.8077,9679
1,0.844,5.5275,9730
1,0.854,5.3132,9769
1,0.864,4.8494,9851
1,0.874,4.7952,9860
1,0.884,4.753,9867
1,0.894,4.7289,9871
1,0.904,4.741,9869
1,0.914,4.7349,9870
1,0.924,4.759,9866
1,0.934,4.747,9868
1,0.944,4.753,9867
1,0.954,4.7349,9870
1,0.964,4.7711,9864
1,0.974,4.7711,9864
1,0.984,4.6265,9888
1,0.9941,4.6024,9892
1,1.004,4.4819,9912
1,1.014,4.3976,9926
1,1.024,4.2952,9943
1,1.034,4.2108,9957
1,1.044,4.1024,9975
1,1.054,3.9861,9994
1,1.064,3.8889,10008
1,1.074,3.7778,10024
1,1.084,3.6806,10038
1,1.094,3.5694,10054
1,1.104,3.4722,10068
1,1.114,3.3403,10087
1,1.124,3.2361,10102
1,1.134,3.1736,10111
1,1.144,3.0903,10123
1,1.154,2.9054,10150
1,1.164,2.8649,10156
1,1.174,2.7905,10167
1,1.184,2.6892,10182
1,1.194,2.6014,10195
1,1.204,2.4527,10217
1,1.214,2.3649,10230
1,1.224,2.3176,10237
1,1.234,2.1959,10255
1,1.244,2.1149,10267
1,1.254,2.0338,10279
1,1.264,1.9,10300
1,1.274,1.8813,10303
1,1.284,1.7875,10318
1,1.294,1.6938,10333
1,1.304,1.5688,10353
1,1.314,1.5375,10358
1,1.324,1.4,10380
1,1.334,1.3562,10387
1,1.344,1.3125,10394
1,1.354,1.2437,10405
1,1.364,1.175,10416
1,1.374,1.0813,10431
1,1.384,1.0,10444
1,1.394,0.9357,10455
1,1.404,0.848,10470
1,1.414,0.7602,10485
1,1.424,0.7544,10486
1,1.434,0.6842,10498
1,1.444,0.6199,10509
1,1.454,0.5146,10527
1,1.464,0.4444,10539
1,1.474,0.4152,10544
1,1.484,0.345,10556
1,1.494,0.2632,10570
1,1.504,0.1813,10584
1,1.514,0.1404,10591
1,1.524,0.1111,10596
1,1.534,0.0643,10604
1,1.544,0.0117,10613
1,1.554,0.0,10621
1,1.564,0.0,10618
1,1.574,0.0,10620
1,1.584,0.0,10618
1,1.594,0.0,10615
1,1.604,0.0,10618
1,1.614,0.0,10619
1,1.624,0.0,10619
1,1.634,0.0,10618
1,1.644,0.0,10619
1,1.654,0.0,10620
1,1.664,0.0,10619
1,1.674,0.0,10621
