cycle,time_s,position_mm,read_count,raw_rate_hz
1,0.007,0.0,2,200.0
1,0.017,0.0,2,200.0
1,0.027,0.0,2,200.0
1,0.037,0.0,2,200.0
1,0.047,0.0,2,200.0
1,0.057,0.0,3,300.0
1,0.067,0.0,2,200.0
1,0.077,0.0062,2,200.0
1,0.087,0.0398,2,200.0
1,0.097,0.1453,3,300.0
1,0.107,0.2422,2,200.0
1,0.117,0.359,2,200.0
1,0.127,0.4981,2,200.0
1,0.137,0.7006,2,200.0
1,0.147,1.1151,3,300.0
1,0.157,1.4194,2,200.0
1,0.167,1.756,2,200.0
1,0.177,2.199,2,200.0
1,0.187,2.7472,2,200.0
1,0.197,3.5106,3,300.0
1,0.207,3.9805,2,200.0
1,0.217,4.5477,2,200.0
1,0.227,5.1765,2,200.0
1,0.237,5.8152,2,200.0
1,0.247,6.8691,3,300.0
1,0.257,7.705,2,200.0
1,0.267,8.6105,2,200.0
1,0.277,9.6128,2,200.0
1,0.287,10.5556,2,200.0
1,0.297,11.6602,2,200.0
1,0.307,13.0649,2,200.0
1,0.317,15.0347,3,300.0
1,0.327,16.203,2,200.0
1,0.337,17.5318,2,200.0
1,0.347,18.7738,2,200.0
1,0.357,19.7892,2,200.0
1,0.367,20.7671,3,300.0
1,0.377,21.2832,2,200.0
1,0.387,21.855,2,200.0
1,0.397,22.3121,2,200.0
1,0.407,22.5457,2,200.0
1,0.417,22.5642,2,200.0
1,0.427,22.6798,2,200.0
1,0.437,22.7688,2,200.0
1,0.447,22.7861,3,300.0
1,0.457,22.778,2,200.0
1,0.467,22.778,2,200.0
1,0.477,22.7861,2,200.0
1,0.487,22.7884,2,200.0
1,0.497,22.7988,3,300.0
1,0.507,22.8012,2,200.0
1,0.517,22.7919,2,200.0
1,0.527,22.7838,2,200.0
1,0.537,22.7699,2,200.0
1,0.5471,22.7723,2,200.0
1,0.557,22.7618,3,300.0
1,0.567,22.7329,2,200.0
1,0.577,22.6717,2,200.0
1,0.587,22.585,2,200.0
1,0.597,22.4948,2,200.0
1,0.607,22.3688,2,200.0
1,0.617,22.1076,3,300.0
1,0.627,21.9429,2,200.0
1,0.637,21.8069,2,200.0
1,0.647,21.6526,2,200.0
1,0.657,21.4448,2,200.0
1,0.667,21.1908,2,200.0
1,0.677,20.7356,3,300.0
1,0.687,20.3103,2,200.0
1,0.697,19.8165,2,200.0
1,0.707,19.3067,2,200.0
1,0.717,18.5069,3,300.0
1,0.727,17.8895,2,200.0
1,0.737,17.2483,2,200.0
1,0.747,16.5929,2,200.0
1,0.757,15.8186,2,200.0
1,0.767,14.3926,3,300.0
1,0.777,13.3709,2,200.0
1,0.787,12.1604,2,200.0
1,0.797,10.8133,2,200.0
1,0.807,9.4729,2,200.0
1,0.817,8.2648,2,200.0
1,0.827,7.6332,2,200.0
1,0.837,7.3537,2,200.0
1,0.847,6.1838,3,300.0
1,0.857,5.8253,2,200.0
1,0.867,6.0706,2,200.0
1,0.877,5.8769,2,200.0
1,0.887,5.3208,2,200.0
1,0.897,4.9914,2,200.0
1,0.907,4.9343,2,200.0
1,0.917,4.7463,3,300.0
1,0.927,4.7326,2,200.0
1,0.937,4.7371,2,200.0
1,0.947,4.7474,2,200.0
1,0.957,4.7371,2,200.0
1,0.967,4.7417,2,200.0
1,0.977,4.7486,2,200.0
1,0.987,4.728,3,300.0
1,0.997,4.6709,2,200.0
1,1.007,4.5874,2,200.0
1,1.017,4.528,2,200.0
1,1.027,4.408,3,300.0
1,1.037,4.3291,2,200.0
1,1.047,4.2457,2,200.0
1,1.057,4.1531,2,200.0
1,1.067,4.0545,2,200.0
1,1.077,3.9645,2,200.0
1,1.087,3.8765,3,300.0
1,1.097,3.8035,2,200.0
1,1.107,3.7306,2,200.0
1,1.117,3.6541,2,200.0
1,1.127,3.5671,2,200.0
1,1.137,3.4271,3,300.0
1,1.147,3.3188,2,200.0
1,1.157,3.2624,2,200.0
1,1.167,3.1929,2,200.0
1,1.177,3.1259,2,200.0
1,1.187,2.9976,3,300.0
1,1.197,2.882,2,200.0
1,1.207,2.7852,2,200.0
1,1.217,2.6852,2,200.0
1,1.227,2.5689,2,200.0
1,1.237,2.4705,2,200.0
1,1.247,2.3852,2,200.0
1,1.257,2.2426,3,300.0
1,1.267,2.1377,2,200.0
1,1.277,2.0205,2,200.0
1,1.287,1.9204,2,200.0
1,1.297,1.8319,2,200.0
1,1.307,1.75,2,200.0
1,1.317,1.6542,3,300.0
1,1.327,1.5806,2,200.0
1,1.337,1.4917,2,200.0
1,1.347,1.4194,2,200.0
1,1.357,1.3375,2,200.0
1,1.367,1.2486,2,200.0
1,1.377,1.15,2,200.0
1,1.387,1.0722,2,200.0
1,1.397,0.9945,2,200.0
1,1.407,0.9219,2,200.0
1,1.417,0.8298,3,300.0
1,1.427,0.754,2,200.0
1,1.437,0.6857,2,200.0
1,1.447,0.6335,2,200.0
1,1.457,0.559,3,300.0
1,1.467,0.4932,2,200.0
1,1.477,0.4273,2,200.0
1,1.487,0.3764,2,200.0
1,1.497,0.3193,2,200.0
1,1.507,0.2248,3,300.0
1,1.517,0.1689,2,200.0
1,1.527,0.1056,2,200.0
1,1.537,0.0385,2,200.0
1,1.547,0.0075,2,200.0
1,1.557,0.0,3,300.0
1,1.567,0.0,2,200.0
1,1.577,0.0,2,200.0
1,1.587,0.0,2,200.0
1,1.597,0.0,2,200.0
1,1.607,0.0,2,200.0
1,1.617,0.0,3,300.0
1,1.627,0.0,2,200.0
1,1.637,0.0,2,200.0
1,1.647,0.0,2,200.0
1,1.657,0.0,2,200.0
1,1.667,0.0,2,200.0
1,1.677,0.0,3,300.0
