time_s,position_mm,raw_value
0.004,0.0,10699
0.033,0.0,10700
0.062,0.0,10700
0.091,0.0,10700
0.12,0.0,10703
0.149,0.0,10703
0.179,0.0,10698
0.208,0.0,10700
0.237,0.0,10704
0.267,0.0,10698
0.296,0.0,10701
0.325,0.0,10697
0.354,0.0,10702
0.383,0.0,10696
0.412,0.0,10705
0.442,0.0,10700
0.47,0.0,10698
0.499,0.0,10700
0.529,0.0,10697
0.558,0.0,10710
0.588,0.0,10697
0.616,0.0,10705
0.645,0.0,10705
0.675,0.0,10701
0.704,0.0,10699
0.733,0.0,10702
0.762,0.0,10701
0.791,0.0,10700
0.82,0.0,10700
0.85,0.0,10700
0.879,0.0,10701
0.908,0.0,10700
0.938,0.0,10698
0.967,0.0,10700
0.997,0.0,10706
1.026,0.0,10701
1.056,0.0,10701
1.085,0.0,10699
1.114,0.0,10700
1.142,0.0,10701
1.171,0.0,10699
1.201,0.0,10704
1.23,0.0,10702
1.259,0.0,10700
1.288,0.0,10700
1.317,0.0,10704
1.346,0.0,10700
1.376,0.0,10700
1.404,0.0,10702
1.433,0.0,10701
1.463,0.0,10700
1.492,0.0,10702
1.521,0.0,10701
1.55,0.0,10704
1.579,0.0,10701
1.609,0.0,10702
1.637,0.0,10697
1.666,0.0,10703
1.695,0.0,10704
1.724,0.0,10702
1.753,0.0,10701
1.782,0.0,10706
1.811,0.0,10700
1.84,0.0,10700
1.869,0.0,10698
1.898,0.0,10703
1.927,0.0,10699
1.956,0.0,10699
1.985,0.0,10702
2.013,0.0,10709
2.042,0.0,10701
2.071,0.0,10699
2.1,0.0,10703
2.129,0.0,10703
2.158,0.0,10705
2.187,0.0,10702
2.217,0.0,10704
2.247,0.0,10705
2.277,0.0,10702
2.305,0.0,10703
2.334,0.0,10702
2.364,0.0,10696
2.393,0.0,10705
2.422,0.0,10701
2.451,0.0,10704
2.481,0.0,10702
2.51,0.0,10705
2.54,0.0,10702
2.569,0.0,10701
2.598,0.0,10704
2.627,0.0,10701
2.656,0.0,10705
2.685,0.0,10704
2.714,0.0,10707
2.743,0.0,10704
2.773,0.0,10696
2.803,0.0,10704
2.832,0.0,10704
2.862,0.0,10697
2.891,0.0,10693
2.92,0.0,10701
2.948,0.0,10700
2.978,0.0,10700
3.007,0.0,10701
3.037,0.0,10704
3.065,0.0,10706
3.094,0.0,10704
3.123,0.0,10703
3.152,0.0,10701
3.182,0.0,10700
3.21,0.0,10701
3.239,0.0,10703
3.269,0.0,10704
3.299,0.0,10706
3.327,0.0,10702
3.356,0.0,10699
3.385,0.0,10704
3.415,0.0,10699
3.444,0.0,10701
3.473,0.0,10701
3.502,0.0,10702
3.532,0.0,10704
3.561,0.0,10706
3.59,0.0,10704
3.619,0.0,10703
3.649,0.0,10704
3.678,0.0,10700
3.707,0.0,10697
3.736,0.0,10701
3.766,0.0,10696
3.795,0.0,10701
3.825,0.0,10705
3.853,0.0,10705
3.882,0.0,10701
3.912,0.0,10706
3.942,0.0,10702
3.972,0.0,10701
4.002,0.0,10697
4.031,0.0,10701
4.061,0.0,10704
4.091,0.0,10705
4.121,0.0,10702
4.15,0.0,10704
4.18,0.0,10704
4.21,0.0,10699
4.24,0.0,10701
4.27,0.0,10699
4.299,0.0,10699
4.329,0.0,10702
4.359,0.0,10699
4.389,0.0,10697
4.418,0.0,10702
4.448,0.0,10703
4.478,0.0,10698
4.508,0.0,10701
4.537,0.0,10702
4.567,0.0,10703
4.597,0.0,10701
4.627,0.0,10702
4.657,0.0,10707
4.686,0.0,10704
4.716,0.0,10701
4.746,0.0,10700
4.776,0.0,10702
4.805,0.0,10701
4.835,0.0,10699
4.865,0.0,10700
4.895,0.0,10699
4.925,0.0,10700
4.954,0.0,10700
4.984,0.0,10700
5.014,0.0,10700
5.044,0.0,10700
5.073,0.0,10700
5.103,0.0,10699
5.133,0.0,10702
5.163,0.0,10702
5.192,0.0,10701
5.222,0.0,10702
5.252,0.0,10702
5.282,0.0,10699
5.311,0.0,10701
5.341,0.0,10699
5.371,0.0,10703
5.401,0.0,10706
5.43,0.0,10702
5.46,0.0,10704
5.49,0.0,10701
5.52,0.0,10701
5.55,0.0,10702
5.579,0.0,10703
5.609,0.0,10703
5.639,0.0,10697
5.669,0.0,10701
5.698,0.0,10704
5.728,0.0,10610
5.758,1.322,10413
5.788,3.518,10101
5.818,6.409,9644
5.847,9.656,9114
5.877,13.856,8203
5.907,17.359,7648
5.936,19.318,7296
5.966,19.718,7209
5.996,19.983,7161
6.026,19.994,7159
6.055,19.983,7161
6.085,19.989,7160
6.115,19.994,7159
6.145,19.724,7208
6.174,19.39,7280
6.204,18.885,7381
6.234,18.108,7513
6.264,17.024,7704
6.294,15.561,7932
6.323,13.735,8222
6.353,11.616,8639
6.383,8.53,9390
6.413,4.959,9861
6.443,0.254,10543
6.472,0.0,10707
6.502,0.0,10701
6.532,0.0,10706
6.562,0.0,10702
6.591,0.0,10704
6.621,0.0,10701
6.651,0.0,10708
6.681,0.0,10702
6.711,0.0,10703
6.74,0.0,10698
6.77,0.0,10705
6.8,0.0,10696
6.83,0.0,10705
6.859,0.0,10703
6.889,0.0,10704
6.919,0.0,10705
6.949,0.0,10701
6.979,0.0,10705
7.008,0.0,10702
7.038,0.0,10702
7.068,0.0,10706
7.098,0.0,10705
7.127,0.0,10700
7.157,0.0,10701
7.187,0.0,10701
7.217,0.0,10694
7.247,0.0,10703
7.276,0.0,10700
7.306,0.0,10704
7.336,0.0,10700
7.366,0.0,10700
7.395,0.0,10701
7.425,0.0,10698
7.455,0.0,10703
7.485,0.0,10700
7.514,0.0,10704
7.544,0.0,10702
7.574,0.0,10701
7.604,0.0,10697
7.633,0.0,10697
7.663,0.0,10700
7.693,0.0,10704
7.723,0.0,10699
7.753,0.0,10707
7.782,0.0,10703
7.812,0.0,10705
7.842,0.0,10703
7.872,0.0,10705
7.901,0.0,10704
7.931,0.0,10697
7.961,0.0,10698
7.991,0.0,10703
8.02,0.0,10699
8.05,0.0,10704
8.08,0.0,10704
8.11,0.0,10703
8.14,0.0,10699
8.169,0.0,10701
8.199,0.0,10703
8.229,0.0,10701
8.259,0.0,10710
8.288,0.0,10704
8.318,0.0,10707
8.348,0.0,10706
8.378,0.0,10708
8.407,0.0,10704
8.437,0.0,10706
8.467,0.0,10697
8.497,0.0,10704
8.526,0.0,10704
8.557,0.0,10704
8.586,0.0,10702
8.616,0.0,10702
8.646,0.0,10702
8.675,0.0,10704
8.705,0.0,10702
8.735,0.0,10703
8.765,0.0,10701
8.794,0.0,10702
8.824,0.0,10694
8.854,0.0,10704
8.884,0.0,10705
8.914,0.0,10702
8.943,0.0,10704
8.973,0.0,10704
9.003,0.0,10706
9.033,0.0,10706
9.063,0.0,10705
9.092,0.0,10705
9.122,0.0,10697
9.152,0.0,10700
9.182,0.0,10701
9.211,0.0,10704
9.241,0.0,10705
9.271,0.0,10700
9.3,0.0,10702
9.33,0.0,10698
9.36,0.0,10696
9.39,0.0,10696
9.419,0.0,10696
9.449,0.0,10695
9.479,0.0,10703
9.509,0.0,10705
9.539,0.0,10705
9.569,0.0,10701
9.598,0.0,10702
9.628,0.0,10702
9.658,0.0,10702
9.688,0.0,10708
9.717,0.0,10694
9.747,0.0,10705
9.777,0.0,10706
9.807,0.0,10703
9.836,0.0,10704
9.866,0.0,10700
9.896,0.0,10703
9.926,0.0,10702
9.956,0.0,10703
9.985,0.0,10699
10.015,0.0,10702
10.045,0.0,10702
10.075,0.0,10703
10.104,0.0,10700
10.134,0.0,10703
10.164,0.0,10703
10.194,0.0,10702
10.224,0.0,10705
10.253,0.0,10704
10.283,0.0,10704
10.313,0.0,10697
10.342,0.0,10696
10.372,0.0,10704
10.402,0.0,10701
10.432,0.0,10703
10.461,0.0,10703
10.491,0.0,10695
10.521,0.0,10703
10.551,0.0,10705
10.581,0.0,10702
10.61,0.0,10691
10.64,0.0,10702
10.67,0.0,10704
10.7,0.0,10701
10.729,0.0,10703
10.759,0.0,10705
10.789,0.0,10705
10.819,0.0,10704
10.848,0.0,10704
10.878,0.0,10703
10.908,0.0,10701
10.938,0.0,10706
10.968,0.0,10701
10.998,0.0,10694
11.027,0.0,10703
11.057,0.0,10700
11.087,0.0,10705
11.117,0.0,10704
11.146,0.0,10700
11.176,0.0,10701
11.206,0.0,10703
11.236,0.0,10702
11.265,0.0,10699
11.295,0.0,10702
11.325,0.0,10701
11.355,0.0,10699
11.384,0.0,10699
11.414,0.0,10700
11.444,0.0,10702
11.474,0.0,10702
11.503,0.0,10699
11.533,0.0,10703
11.563,0.0,10700
11.593,0.0,10696
11.623,0.0,10699
11.652,0.0,10701
11.682,0.0,10701
11.712,0.0,10701
11.742,0.0,10704
11.771,0.0,10703
11.801,0.0,10703
11.831,0.0,10698
11.861,0.0,10699
11.891,0.0,10698
11.92,0.0,10702
11.95,0.0,10700
11.98,0.0,10701
12.01,0.0,10698
12.039,0.0,10703
12.069,0.0,10700
12.099,0.0,10704
12.129,0.0,10700
12.158,0.0,10703
12.188,0.0,10700
12.218,0.0,10703
12.248,0.0,10700
12.277,0.0,10701
12.307,0.0,10700
12.337,0.0,10701
12.367,0.0,10702
12.397,0.0,10703
12.426,0.0,10700
12.456,0.0,10703
12.486,0.0,10701
12.516,0.0,10702
12.545,0.0,10702
