time_s,position_mm,raw_value
0.006,0.253,10606
0.021,0.323,10595
0.035,0.487,10569
0.05,0.69,10537
0.065,0.924,10500
0.08,1.173,10466
0.095,1.78,10389
0.11,2.253,10322
0.125,2.89,10224
0.14,3.719,10107
0.155,4.571,9972
0.169,5.46,9803
0.184,6.483,9646
0.199,7.609,9544
0.214,9.788,9232
0.229,11.067,8906
0.244,12.732,8510
0.259,15.189,8064
0.274,16.993,7774
0.289,19.11,7406
0.303,20.928,7034
0.318,21.637,6875
0.333,22.593,6666
0.348,23.288,6532
0.363,23.419,6511
0.378,23.681,6469
0.393,23.844,6443
0.408,23.887,6436
0.422,23.887,6436
0.437,23.875,6438
0.452,23.881,6437
0.467,23.875,6438
0.482,23.863,6440
0.497,23.894,6435
0.512,23.875,6438
0.526,23.762,6456
0.541,23.6,6482
0.556,23.387,6516
0.571,23.069,6567
0.586,22.787,6624
0.601,22.593,6666
0.616,22.069,6779
0.631,21.605,6882
0.646,20.928,7034
0.661,20.271,7189
0.676,19.285,7376
0.69,18.234,7579
0.705,16.651,7825
0.72,15.131,8074
0.735,13.437,8371
0.75,11.192,8876
0.765,8.716,9425
0.78,7.967,9511
0.795,6.213,9670
0.81,5.73,9746
0.825,5.498,9795
0.839,5.398,9816
0.854,5.389,9818
0.87,5.379,9820
0.884,5.37,9822
0.899,5.379,9820
0.914,5.379,9820
0.929,5.384,9819
0.944,5.346,9827
0.959,5.246,9848
0.974,5.123,9874
0.989,5.033,9893
1.003,4.857,9924
1.018,4.744,9943
1.033,4.643,9960
1.048,4.5,9984
1.063,4.333,10012
1.078,4.226,10030
1.093,4.095,10052
1.108,3.964,10073
1.122,3.82,10093
1.137,3.698,10110
1.152,3.496,10138
1.167,3.367,10156
1.182,3.223,10176
1.197,3.065,10198
1.212,2.909,10221
1.227,2.773,10242
1.242,2.636,10263
1.256,2.506,10283
1.271,2.377,10303
1.286,2.26,10321
1.301,2.143,10339
1.316,2.0,10361
1.331,1.874,10377
1.346,1.732,10395
1.361,1.598,10412
1.376,1.472,10428
1.391,1.331,10446
1.405,1.205,10462
1.421,1.087,10477
1.435,0.943,10497
1.45,0.835,10514
1.465,0.753,10527
1.48,0.652,10543
1.495,0.551,10559
1.51,0.43,10578
1.525,0.361,10589
1.539,0.297,10599
1.555,0.203,10614
1.569,0.177,10618
1.584,0.196,10615
1.599,0.196,10615
1.614,0.19,10616
1.629,0.184,10617
1.644,0.196,10615
1.659,0.177,10618
1.674,0.196,10615
1.688,0.196,10615
0.005,0.209,10613
0.02,0.335,10593
0.034,0.494,10568
0.049,0.69,10537
0.064,0.918,10501
0.079,1.181,10465
0.094,1.74,10394
0.109,2.221,10327
0.124,2.831,10233
0.138,3.662,10115
0.153,4.512,9982
0.168,5.398,9816
0.183,6.404,9653
0.198,7.576,9547
0.213,9.532,9284
0.228,10.955,8934
0.243,12.621,8536
0.257,14.983,8100
0.272,16.685,7820
0.287,18.891,7447
0.302,20.826,7058
0.317,21.565,6891
0.332,22.491,6688
0.347,23.375,6518
0.361,23.425,6510
0.376,23.738,6460
0.391,23.887,6436
0.406,23.9,6434
0.421,23.881,6437
0.436,23.887,6436
0.451,23.894,6435
0.466,23.887,6436
0.481,23.906,6433
0.495,23.894,6435
0.51,23.906,6433
0.525,23.788,6452
0.54,23.663,6472
0.555,23.475,6502
0.57,23.094,6563
0.585,22.806,6620
0.6,22.597,6665
0.615,22.13,6766
0.629,21.673,6867
0.644,21.0,7017
0.659,20.335,7174
0.674,19.378,7360
0.689,18.313,7563
0.704,16.893,7789
0.719,15.291,8046
0.734,13.799,8308
0.749,11.721,8749
0.764,9.246,9342
0.779,7.663,9539
0.793,6.281,9664
0.809,5.801,9731
0.823,5.531,9788
0.838,5.422,9811
0.853,5.393,9817
0.868,5.389,9818
0.883,5.379,9820
0.898,5.384,9819
0.913,5.389,9818
0.928,5.403,9815
0.943,5.37,9822
0.958,5.256,9846
0.972,5.147,9869
0.987,5.038,9892
1.002,4.893,9918
1.017,4.756,9941
1.032,4.649,9959
1.047,4.5,9984
1.062,4.411,9999
1.077,4.256,10025
1.091,4.107,10050
1.106,4.0,10068
1.121,3.842,10090
1.136,3.683,10112
1.151,3.525,10134
1.166,3.367,10156
1.181,3.216,10177
1.196,3.036,10202
1.211,2.948,10215
1.226,2.825,10234
1.24,2.636,10263
1.255,2.578,10272
1.27,2.416,10297
1.285,2.26,10321
1.3,2.13,10341
1.315,2.026,10357
1.33,1.89,10375
1.345,1.748,10393
1.36,1.606,10411
1.375,1.48,10427
1.39,1.346,10444
1.404,1.244,10457
1.419,1.071,10479
1.434,0.943,10497
1.449,0.848,10512
1.464,0.741,10529
1.479,0.665,10541
1.494,0.563,10557
1.509,0.468,10572
1.523,0.367,10588
1.538,0.291,10600
1.553,0.215,10612
1.568,0.158,10621
1.583,0.127,10626
1.598,0.146,10623
1.613,0.139,10624
1.628,0.165,10620
1.643,0.146,10623
1.658,0.139,10624
1.672,0.133,10625
1.687,0.146,10623
0.004,0.222,10611
0.019,0.297,10599
0.034,0.443,10576
0.049,0.722,10532
0.064,0.949,10496
0.079,1.173,10466
0.094,1.701,10399
0.108,2.195,10331
0.123,2.786,10240
0.138,3.626,10120
0.153,4.5,9984
0.168,5.355,9825
0.183,6.326,9660
0.198,7.543,9550
0.212,9.532,9284
0.228,10.876,8955
0.242,12.579,8546
0.257,14.949,8106
0.272,16.664,7823
0.287,18.846,7456
0.302,20.818,7060
0.317,21.525,6900
0.332,22.532,6679
0.346,23.356,6521
0.361,23.375,6518
0.376,23.656,6473
0.391,23.863,6440
0.406,23.919,6431
0.421,23.894,6435
0.436,23.894,6435
0.45,23.894,6435
0.466,23.894,6435
0.481,23.881,6437
0.495,23.906,6433
0.51,23.906,6433
0.525,23.775,6454
0.54,23.631,6477
0.555,23.456,6505
0.57,23.1,6562
0.585,22.833,6614
0.6,22.602,6664
0.614,22.13,6766
0.629,21.673,6867
0.644,21.013,7014
0.659,20.356,7169
0.674,19.372,7361
0.689,18.328,7560
0.704,16.926,7784
0.719,15.343,8037
0.734,13.77,8313
0.749,12.174,8641
0.764,10.037,9179
0.778,8.026,9505
0.794,6.292,9663
0.808,5.735,9745
0.823,5.555,9783
0.838,5.412,9813
0.853,5.398,9816
0.868,5.36,9824
0.883,5.37,9822
0.898,5.384,9819
0.913,5.393,9817
0.927,5.374,9821
0.942,5.346,9827
0.957,5.242,9849
0.972,5.161,9866
0.987,5.047,9890
1.002,4.917,9914
1.017,4.762,9940
1.032,4.625,9963
1.046,4.512,9982
1.061,4.387,10003
1.076,4.22,10031
1.091,4.107,10050
1.106,3.993,10069
1.121,3.835,10091
1.136,3.669,10114
1.151,3.504,10137
1.166,3.367,10156
1.181,3.209,10178
1.196,3.086,10195
1.211,2.961,10213
1.225,2.773,10242
1.24,2.662,10259
1.255,2.571,10273
1.27,2.377,10303
1.285,2.266,10320
1.3,2.169,10335
1.315,2.032,10356
1.33,1.858,10379
1.345,1.795,10387
1.359,1.63,10408
1.374,1.425,10434
1.389,1.346,10444
1.404,1.205,10462
1.419,1.087,10477
1.434,0.949,10496
1.449,0.854,10511
1.464,0.734,10530
1.479,0.671,10540
1.493,0.563,10557
1.508,0.449,10575
1.523,0.348,10591
1.538,0.31,10597
1.553,0.196,10615
1.568,0.165,10620
1.583,0.139,10624
1.598,0.12,10627
1.613,0.095,10631
1.627,0.158,10621
